Date,ozone  (µg/m³),Station
2017-01-01,15,Gresivaudan Periurbain
2017-02-01,28,Gresivaudan Periurbain
2014-03-01,44,Roussillon
2014-04-01,53,Roussillon
2014-05-01,64,Roussillon
2014-06-01,67,Roussillon
2014-07-01,40,Roussillon
2014-08-01,36,Roussillon
2014-09-01,35,Roussillon
2014-10-01,23,Roussillon
2014-11-01,17,Roussillon
2014-12-01,19,Roussillon
2015-01-01,21,Roussillon
2015-02-01,36,Roussillon
2015-03-01,29,Roussillon
2015-04-01,47,Roussillon
2015-05-01,57,Roussillon
2015-06-01,65,Roussillon
2015-07-01,77,Roussillon
2015-08-01,63,Roussillon
2015-09-01,43,Roussillon
2015-10-01,17,Roussillon
2015-11-01,14,Roussillon
2015-12-01,17,Roussillon
2016-01-01,21,Roussillon
2016-02-01,28,Roussillon
2016-03-01,40,Roussillon
2016-04-01,54,Roussillon
2016-05-01,60,Roussillon
2016-06-01,52,Roussillon
2016-07-01,64,Roussillon
2016-08-01,58,Roussillon
2016-09-01,54,Roussillon
2016-10-01,24,Roussillon
2016-11-01,22,Roussillon
2016-12-01,7.4,Roussillon
2017-01-01,25,Roussillon
2017-02-01,35.7,Roussillon
2014-03-01,65,Roches-de-Condrieu
2014-04-01,50,Roches-de-Condrieu
2014-05-01,64,Roches-de-Condrieu
2014-06-01,83,Roches-de-Condrieu
2014-07-01,56,Roches-de-Condrieu
2014-08-01,47,Roches-de-Condrieu
2014-09-01,45,Roches-de-Condrieu
2014-10-01,24,Roches-de-Condrieu
2014-11-01,16,Roches-de-Condrieu
2014-12-01,17,Roches-de-Condrieu
2015-01-01,16,Roches-de-Condrieu
2015-02-01,28,Roches-de-Condrieu
2015-03-01,29,Roches-de-Condrieu
2015-04-01,47,Roches-de-Condrieu
2015-05-01,73,Roches-de-Condrieu
2015-06-01,81,Roches-de-Condrieu
2015-07-01,89,Roches-de-Condrieu
2015-08-01,72,Roches-de-Condrieu
2015-09-01,54,Roches-de-Condrieu
2015-10-01,24,Roches-de-Condrieu
2015-11-01,18,Roches-de-Condrieu
2015-12-01,15,Roches-de-Condrieu
2016-01-01,,Roches-de-Condrieu
2016-02-01,,Roches-de-Condrieu
2016-03-01,,Roches-de-Condrieu
2016-04-01,,Roches-de-Condrieu
2016-05-01,70,Roches-de-Condrieu
2016-06-01,61,Roches-de-Condrieu
2016-07-01,75,Roches-de-Condrieu
2016-08-01,64,Roches-de-Condrieu
2016-09-01,55,Roches-de-Condrieu
2016-10-01,30,Roches-de-Condrieu
2016-11-01,26,Roches-de-Condrieu
2016-12-01,6.8,Roches-de-Condrieu
2017-01-01,24.3,Roches-de-Condrieu
2017-02-01,37.8,Roches-de-Condrieu
2014-03-01,52,Sablons
2014-04-01,59,Sablons
2014-05-01,72,Sablons
2014-06-01,86,Sablons
2014-07-01,63,Sablons
2014-08-01,53,Sablons
2014-09-01,51,Sablons
2014-10-01,34,Sablons
2014-11-01,25,Sablons
2014-12-01,25,Sablons
2015-01-01,28,Sablons
2015-02-01,41,Sablons
2015-03-01,45,Sablons
2015-04-01,68,Sablons
2015-05-01,77,Sablons
2015-06-01,81,Sablons
2015-07-01,92,Sablons
2015-08-01,78,Sablons
2015-09-01,59,Sablons
2015-10-01,30,Sablons
2015-11-01,20,Sablons
2015-12-01,24,Sablons
2016-01-01,30,Sablons
2016-02-01,38,Sablons
2016-03-01,56,Sablons
2016-04-01,68,Sablons
2016-05-01,70,Sablons
2016-06-01,60,Sablons
2016-07-01,68,Sablons
2016-08-01,65,Sablons
2016-09-01,61,Sablons
2016-10-01,30,Sablons
2016-11-01,28,Sablons
2016-12-01,7.4,Sablons
2017-01-01,30,Sablons
2017-02-01,44.4,Sablons
2014-03-01,49,Bourgoin-Jallieu
2014-04-01,57,Bourgoin-Jallieu
2014-05-01,66,Bourgoin-Jallieu
2014-06-01,80,Bourgoin-Jallieu
2014-07-01,53,Bourgoin-Jallieu
2014-08-01,48,Bourgoin-Jallieu
2014-09-01,46,Bourgoin-Jallieu
2014-10-01,33,Bourgoin-Jallieu
2014-11-01,20,Bourgoin-Jallieu
2014-12-01,16,Bourgoin-Jallieu
2015-01-01,23,Bourgoin-Jallieu
2015-02-01,35,Bourgoin-Jallieu
2015-03-01,37,Bourgoin-Jallieu
2015-04-01,62,Bourgoin-Jallieu
2015-05-01,68,Bourgoin-Jallieu
2015-06-01,71,Bourgoin-Jallieu
2015-07-01,86,Bourgoin-Jallieu
2015-08-01,72,Bourgoin-Jallieu
2015-09-01,49,Bourgoin-Jallieu
2015-10-01,20,Bourgoin-Jallieu
2015-11-01,15,Bourgoin-Jallieu
2015-12-01,19,Bourgoin-Jallieu
2016-01-01,27,Bourgoin-Jallieu
2016-02-01,31,Bourgoin-Jallieu
2016-03-01,42,Bourgoin-Jallieu
2016-04-01,56,Bourgoin-Jallieu
2016-05-01,63,Bourgoin-Jallieu
2016-06-01,54,Bourgoin-Jallieu
2016-07-01,66,Bourgoin-Jallieu
2016-08-01,59,Bourgoin-Jallieu
2016-09-01,55,Bourgoin-Jallieu
2016-10-01,21,Bourgoin-Jallieu
2016-11-01,24,Bourgoin-Jallieu
2016-12-01,7.3,Bourgoin-Jallieu
2017-01-01,20.6,Bourgoin-Jallieu
2017-02-01,32.2,Bourgoin-Jallieu
2014-03-01,73,Plateau de Bonnevaux
2014-04-01,69,Plateau de Bonnevaux
2014-05-01,,Plateau de Bonnevaux
2014-06-01,,Plateau de Bonnevaux
2014-07-01,,Plateau de Bonnevaux
2014-08-01,,Plateau de Bonnevaux
2014-09-01,62,Plateau de Bonnevaux
2014-10-01,52,Plateau de Bonnevaux
2014-11-01,41,Plateau de Bonnevaux
2014-12-01,37,Plateau de Bonnevaux
2015-01-01,49,Plateau de Bonnevaux
2015-02-01,56,Plateau de Bonnevaux
2015-03-01,65,Plateau de Bonnevaux
2015-04-01,86,Plateau de Bonnevaux
2015-05-01,83,Plateau de Bonnevaux
2015-06-01,89,Plateau de Bonnevaux
2015-07-01,100,Plateau de Bonnevaux
2015-08-01,88,Plateau de Bonnevaux
2015-09-01,74,Plateau de Bonnevaux
2015-10-01,50,Plateau de Bonnevaux
2015-11-01,52,Plateau de Bonnevaux
2015-12-01,55,Plateau de Bonnevaux
2016-01-01,52,Plateau de Bonnevaux
2016-02-01,57,Plateau de Bonnevaux
2016-03-01,69,Plateau de Bonnevaux
2016-04-01,85,Plateau de Bonnevaux
2016-05-01,85,Plateau de Bonnevaux
2016-06-01,70,Plateau de Bonnevaux
2016-07-01,81,Plateau de Bonnevaux
2016-08-01,78,Plateau de Bonnevaux
2016-09-01,73,Plateau de Bonnevaux
2016-10-01,43,Plateau de Bonnevaux
2016-11-01,50,Plateau de Bonnevaux
2016-12-01,38,Plateau de Bonnevaux
2017-01-01,52,Plateau de Bonnevaux
2017-02-01,65,Plateau de Bonnevaux
2014-02-07,,Creys-Mépieu
2017-02-06,,Creys-Mépieu
