Date,ozone  (µg/m³),Station
2017-03-01,51.2,Champ-sur-Drac
2017-04-01,70.9,Champ-sur-Drac
2017-05-01,68.4,Champ-sur-Drac
2017-06-01,77.8,Champ-sur-Drac
2017-07-01,74.2,Champ-sur-Drac
2017-08-01,70,Champ-sur-Drac
2017-09-01,48.2,Champ-sur-Drac
2017-10-01,35.3,Champ-sur-Drac
2017-11-01,25.8,Champ-sur-Drac
2017-12-01,30.1,Champ-sur-Drac
2018-01-01,30.3,Champ-sur-Drac
2018-02-01,36,Champ-sur-Drac
2018-03-01,55,Champ-sur-Drac
2018-04-01,74.2,Champ-sur-Drac
2018-05-01,54.7,Champ-sur-Drac
2018-06-01,68.1,Champ-sur-Drac
2018-07-01,90.5,Champ-sur-Drac
2018-08-01,73.5,Champ-sur-Drac
2018-09-01,64,Champ-sur-Drac
2018-10-01,33.9,Champ-sur-Drac
2018-11-01,19.5,Champ-sur-Drac
2018-12-01,24.1,Champ-sur-Drac
2019-01-01,30.7,Champ-sur-Drac
2019-02-01,28.4,Champ-sur-Drac
2019-03-01,57.1,Champ-sur-Drac
2019-04-01,67.2,Champ-sur-Drac
2019-05-01,73,Champ-sur-Drac
2019-06-01,73,Champ-sur-Drac
2019-07-01,85.6,Champ-sur-Drac
2019-08-01,61.4,Champ-sur-Drac
2019-09-01,49.7,Champ-sur-Drac
2019-10-01,31.5,Champ-sur-Drac
2019-11-01,24.2,Champ-sur-Drac
2019-12-01,26.8,Champ-sur-Drac
2020-01-01,18.5,Champ-sur-Drac
2020-02-01,36.7,Champ-sur-Drac
2017-03-01,50.9,Voiron Urbain
2017-04-01,67.4,Voiron Urbain
2017-05-01,68.7,Voiron Urbain
2017-06-01,72.8,Voiron Urbain
2017-07-01,67.8,Voiron Urbain
2017-08-01,63,Voiron Urbain
2017-09-01,42.3,Voiron Urbain
2017-10-01,30.9,Voiron Urbain
2017-11-01,21.5,Voiron Urbain
2017-12-01,23,Voiron Urbain
2018-01-01,22.1,Voiron Urbain
2018-02-01,37.8,Voiron Urbain
2018-03-01,56.9,Voiron Urbain
2018-04-01,76.6,Voiron Urbain
2018-05-01,61.9,Voiron Urbain
2018-06-01,73.9,Voiron Urbain
2018-07-01,102.1,Voiron Urbain
2018-08-01,79.4,Voiron Urbain
2018-09-01,66.8,Voiron Urbain
2018-10-01,26.6,Voiron Urbain
2018-11-01,12.9,Voiron Urbain
2018-12-01,17,Voiron Urbain
2019-01-01,30.1,Voiron Urbain
2019-02-01,30.3,Voiron Urbain
2019-03-01,52,Voiron Urbain
2019-04-01,68.8,Voiron Urbain
2019-05-01,67.9,Voiron Urbain
2019-06-01,72.7,Voiron Urbain
2019-07-01,88.3,Voiron Urbain
2019-08-01,65.7,Voiron Urbain
2019-09-01,55.1,Voiron Urbain
2019-10-01,28.4,Voiron Urbain
2019-11-01,18,Voiron Urbain
2019-12-01,19,Voiron Urbain
2020-01-01,17.7,Voiron Urbain
2020-02-01,32.8,Voiron Urbain
2017-03-01,43.6,St-Martin-d'Hères
2017-04-01,60.2,St-Martin-d'Hères
2017-05-01,61,St-Martin-d'Hères
2017-06-01,68.6,St-Martin-d'Hères
2017-07-01,66.1,St-Martin-d'Hères
2017-08-01,61.3,St-Martin-d'Hères
2017-09-01,34.8,St-Martin-d'Hères
2017-10-01,27.1,St-Martin-d'Hères
2017-11-01,,St-Martin-d'Hères
2017-12-01,,St-Martin-d'Hères
2018-01-01,19,St-Martin-d'Hères
2018-02-01,27.3,St-Martin-d'Hères
2018-03-01,45,St-Martin-d'Hères
2018-04-01,67.1,St-Martin-d'Hères
2018-05-01,51.1,St-Martin-d'Hères
2018-06-01,,St-Martin-d'Hères
2018-07-01,90.4,St-Martin-d'Hères
2018-08-01,70.6,St-Martin-d'Hères
2018-09-01,55.9,St-Martin-d'Hères
2018-10-01,25.8,St-Martin-d'Hères
2018-11-01,13.2,St-Martin-d'Hères
2018-12-01,10.3,St-Martin-d'Hères
2019-01-01,22.5,St-Martin-d'Hères
2019-02-01,18.8,St-Martin-d'Hères
2019-03-01,43,St-Martin-d'Hères
2019-04-01,59.7,St-Martin-d'Hères
2019-05-01,63.9,St-Martin-d'Hères
2019-06-01,72.1,St-Martin-d'Hères
2019-07-01,91.4,St-Martin-d'Hères
2019-08-01,64.4,St-Martin-d'Hères
2019-09-01,49.6,St-Martin-d'Hères
2019-10-01,24.4,St-Martin-d'Hères
2019-11-01,14.2,St-Martin-d'Hères
2019-12-01,21.1,St-Martin-d'Hères
2020-01-01,12.6,St-Martin-d'Hères
2020-02-01,27.2,St-Martin-d'Hères
2017-03-01,40.8,Grenoble les Frênes
2017-04-01,68.2,Grenoble les Frênes
2017-05-01,60.9,Grenoble les Frênes
2017-06-01,70.2,Grenoble les Frênes
2017-07-01,66.5,Grenoble les Frênes
2017-08-01,60.2,Grenoble les Frênes
2017-09-01,34.9,Grenoble les Frênes
2017-10-01,28.6,Grenoble les Frênes
2017-11-01,19.4,Grenoble les Frênes
2017-12-01,26.6,Grenoble les Frênes
2018-01-01,23.5,Grenoble les Frênes
2018-02-01,30.2,Grenoble les Frênes
2018-03-01,43.1,Grenoble les Frênes
2018-04-01,,Grenoble les Frênes
2018-05-01,52.1,Grenoble les Frênes
2018-06-01,,Grenoble les Frênes
2018-07-01,,Grenoble les Frênes
2018-08-01,75.3,Grenoble les Frênes
2018-09-01,63.4,Grenoble les Frênes
2018-10-01,30.6,Grenoble les Frênes
2018-11-01,14.2,Grenoble les Frênes
2018-12-01,12.5,Grenoble les Frênes
2019-01-01,27.3,Grenoble les Frênes
2019-02-01,23,Grenoble les Frênes
2019-03-01,52.2,Grenoble les Frênes
2019-04-01,69.4,Grenoble les Frênes
2019-05-01,68.5,Grenoble les Frênes
2019-06-01,71.2,Grenoble les Frênes
2019-07-01,82.6,Grenoble les Frênes
2019-08-01,59.5,Grenoble les Frênes
2019-09-01,48.1,Grenoble les Frênes
2019-10-01,,Grenoble les Frênes
2019-11-01,12.6,Grenoble les Frênes
2019-12-01,17.9,Grenoble les Frênes
2020-01-01,12.4,Grenoble les Frênes
2020-02-01,31.4,Grenoble les Frênes
2017-03-01,56.3,Grenoble Periurbain Sud
2017-04-01,73.6,Grenoble Periurbain Sud
2017-05-01,65.6,Grenoble Periurbain Sud
2017-06-01,79.5,Grenoble Periurbain Sud
2017-07-01,77.8,Grenoble Periurbain Sud
2017-08-01,76.6,Grenoble Periurbain Sud
2017-09-01,50.5,Grenoble Periurbain Sud
2017-10-01,40.5,Grenoble Periurbain Sud
2017-11-01,26.5,Grenoble Periurbain Sud
2017-12-01,30.6,Grenoble Periurbain Sud
2018-01-01,31.9,Grenoble Periurbain Sud
2018-02-01,34.4,Grenoble Periurbain Sud
2018-03-01,53.7,Grenoble Periurbain Sud
2018-04-01,73.9,Grenoble Periurbain Sud
2018-05-01,52.5,Grenoble Periurbain Sud
2018-06-01,68.4,Grenoble Periurbain Sud
2018-07-01,91.9,Grenoble Periurbain Sud
2018-08-01,74.4,Grenoble Periurbain Sud
2018-09-01,66.4,Grenoble Periurbain Sud
2018-10-01,36.8,Grenoble Periurbain Sud
2018-11-01,20,Grenoble Periurbain Sud
2018-12-01,21,Grenoble Periurbain Sud
2019-01-01,35.2,Grenoble Periurbain Sud
2019-02-01,40.5,Grenoble Periurbain Sud
2019-03-01,62.8,Grenoble Periurbain Sud
2019-04-01,,Grenoble Periurbain Sud
2019-05-01,69.8,Grenoble Periurbain Sud
2019-06-01,75,Grenoble Periurbain Sud
2019-07-01,88.9,Grenoble Periurbain Sud
2019-08-01,67.8,Grenoble Periurbain Sud
2019-09-01,58.2,Grenoble Periurbain Sud
2019-10-01,37,Grenoble Periurbain Sud
2019-11-01,27.3,Grenoble Periurbain Sud
2019-12-01,30.4,Grenoble Periurbain Sud
2020-01-01,23.4,Grenoble Periurbain Sud
2020-02-01,43.5,Grenoble Periurbain Sud
2017-03-01,41,Gresivaudan Periurbain
2017-04-01,69,Gresivaudan Periurbain
2017-05-01,67,Gresivaudan Periurbain
2017-06-01,74.1,Gresivaudan Periurbain
2017-07-01,64.5,Gresivaudan Periurbain
2017-08-01,63,Gresivaudan Periurbain
2017-09-01,38.9,Gresivaudan Periurbain
2017-10-01,30,Gresivaudan Periurbain
2017-11-01,19.1,Gresivaudan Periurbain
2017-12-01,16.9,Gresivaudan Periurbain
2018-01-01,18.8,Gresivaudan Periurbain
2018-02-01,30.3,Gresivaudan Periurbain
2018-03-01,45.7,Gresivaudan Periurbain
2018-04-01,66,Gresivaudan Periurbain
2018-05-01,55.6,Gresivaudan Periurbain
2018-06-01,71.6,Gresivaudan Periurbain
2018-07-01,92.5,Gresivaudan Periurbain
