Date,ozone  (µg/m³),Station
2023-03-01,50.4,Champ-sur-Drac
2023-04-01,58.8,Champ-sur-Drac
2023-05-01,59.4,Champ-sur-Drac
2023-06-01,74.5,Champ-sur-Drac
2023-07-01,70.7,Champ-sur-Drac
2023-08-01,70.4,Champ-sur-Drac
2023-09-01,53.5,Champ-sur-Drac
2023-10-01,39.8,Champ-sur-Drac
2023-11-01,28.6,Champ-sur-Drac
2023-12-01,22.2,Champ-sur-Drac
2024-01-01,19,Champ-sur-Drac
2024-02-01,35.1,Champ-sur-Drac
2024-03-01,52.9,Champ-sur-Drac
2024-04-01,66,Champ-sur-Drac
2024-05-01,51.5,Champ-sur-Drac
2024-06-01,51.6,Champ-sur-Drac
2024-07-01,55.3,Champ-sur-Drac
2024-08-01,57,Champ-sur-Drac
2024-09-01,43.9,Champ-sur-Drac
2024-10-01,25.3,Champ-sur-Drac
2024-11-01,19.8,Champ-sur-Drac
2024-12-01,19.7,Champ-sur-Drac
2025-01-01,33.5,Champ-sur-Drac
2025-02-01,,Champ-sur-Drac
2023-03-01,49.8,Voiron Urbain
2023-04-01,60.6,Voiron Urbain
2023-05-01,57,Voiron Urbain
2023-06-01,78.5,Voiron Urbain
2023-07-01,70.6,Voiron Urbain
2023-08-01,69.7,Voiron Urbain
2023-09-01,58.1,Voiron Urbain
2023-10-01,41.2,Voiron Urbain
2023-11-01,28.2,Voiron Urbain
2023-12-01,22.5,Voiron Urbain
2024-01-01,23.5,Voiron Urbain
2024-02-01,38.5,Voiron Urbain
2024-03-01,56.8,Voiron Urbain
2024-04-01,66,Voiron Urbain
2024-05-01,59.2,Voiron Urbain
2024-06-01,57.6,Voiron Urbain
2024-07-01,64,Voiron Urbain
2024-08-01,70.9,Voiron Urbain
2024-09-01,50.9,Voiron Urbain
2024-10-01,27.6,Voiron Urbain
2024-11-01,23,Voiron Urbain
2024-12-01,26.1,Voiron Urbain
2025-01-01,36.7,Voiron Urbain
2025-02-01,,Voiron Urbain
2023-03-01,39.2,St-Martin-d'Hères
2023-04-01,47.4,St-Martin-d'Hères
2023-05-01,45.7,St-Martin-d'Hères
2023-06-01,66.1,St-Martin-d'Hères
2023-07-01,60.3,St-Martin-d'Hères
2023-08-01,62.5,St-Martin-d'Hères
2023-09-01,48.6,St-Martin-d'Hères
2023-10-01,28,St-Martin-d'Hères
2023-11-01,17,St-Martin-d'Hères
2023-12-01,11,St-Martin-d'Hères
2024-01-01,14.8,St-Martin-d'Hères
2024-02-01,28.2,St-Martin-d'Hères
2024-03-01,49.4,St-Martin-d'Hères
2024-04-01,63.9,St-Martin-d'Hères
2024-05-01,50.7,St-Martin-d'Hères
2024-06-01,50.1,St-Martin-d'Hères
2024-07-01,58.3,St-Martin-d'Hères
2024-08-01,60.4,St-Martin-d'Hères
2024-09-01,39,St-Martin-d'Hères
2024-10-01,20.6,St-Martin-d'Hères
2024-11-01,17.7,St-Martin-d'Hères
2024-12-01,16.9,St-Martin-d'Hères
2025-01-01,27.9,St-Martin-d'Hères
2025-02-01,,St-Martin-d'Hères
2023-03-01,43,Grenoble les Frênes
2023-04-01,52,Grenoble les Frênes
2023-05-01,51.3,Grenoble les Frênes
2023-06-01,67.2,Grenoble les Frênes
2023-07-01,62.1,Grenoble les Frênes
2023-08-01,65.9,Grenoble les Frênes
2023-09-01,49.6,Grenoble les Frênes
2023-10-01,35.5,Grenoble les Frênes
2023-11-01,23.2,Grenoble les Frênes
2023-12-01,17.7,Grenoble les Frênes
2024-01-01,15.7,Grenoble les Frênes
2024-02-01,34.3,Grenoble les Frênes
2024-03-01,53.1,Grenoble les Frênes
2024-04-01,62.7,Grenoble les Frênes
2024-05-01,50.1,Grenoble les Frênes
2024-06-01,50.9,Grenoble les Frênes
2024-07-01,57.1,Grenoble les Frênes
2024-08-01,60,Grenoble les Frênes
2024-09-01,41.7,Grenoble les Frênes
2024-10-01,22.1,Grenoble les Frênes
2024-11-01,16.5,Grenoble les Frênes
2024-12-01,15.6,Grenoble les Frênes
2025-01-01,27.4,Grenoble les Frênes
2025-02-01,,Grenoble les Frênes
2023-03-01,50.2,Grenoble Periurbain Sud
2023-04-01,55.2,Grenoble Periurbain Sud
2023-05-01,52.9,Grenoble Periurbain Sud
2023-06-01,74.4,Grenoble Periurbain Sud
2023-07-01,70.2,Grenoble Periurbain Sud
2023-08-01,74.6,Grenoble Periurbain Sud
2023-09-01,58.3,Grenoble Periurbain Sud
2023-10-01,46.7,Grenoble Periurbain Sud
2023-11-01,32.2,Grenoble Periurbain Sud
2023-12-01,25.3,Grenoble Periurbain Sud
2024-01-01,21.6,Grenoble Periurbain Sud
2024-02-01,35.8,Grenoble Periurbain Sud
2024-03-01,53.9,Grenoble Periurbain Sud
2024-04-01,67,Grenoble Periurbain Sud
2024-05-01,51.2,Grenoble Periurbain Sud
2024-06-01,50.4,Grenoble Periurbain Sud
