Date,ozone  (µg/m³),Station
2024-07-01,54.8,Grenoble Periurbain Sud
2024-08-01,59.5,Grenoble Periurbain Sud
2024-09-01,41.2,Grenoble Periurbain Sud
2024-10-01,25.6,Grenoble Periurbain Sud
2024-11-01,20.6,Grenoble Periurbain Sud
2024-12-01,21.6,Grenoble Periurbain Sud
2025-01-01,38.1,Grenoble Periurbain Sud
2025-02-01,,Grenoble Periurbain Sud
2023-03-01,44.3,Gresivaudan Periurbain
2023-04-01,56.6,Gresivaudan Periurbain
2023-05-01,55.9,Gresivaudan Periurbain
2023-06-01,76.7,Gresivaudan Periurbain
2023-07-01,72.9,Gresivaudan Periurbain
2023-08-01,68.2,Gresivaudan Periurbain
2023-09-01,47.9,Gresivaudan Periurbain
2023-10-01,29.7,Gresivaudan Periurbain
2023-11-01,22.6,Gresivaudan Periurbain
2023-12-01,15,Gresivaudan Periurbain
2024-01-01,18.3,Gresivaudan Periurbain
2024-02-01,24.3,Gresivaudan Periurbain
2024-03-01,,Gresivaudan Periurbain
2024-04-01,,Gresivaudan Periurbain
2024-05-01,,Gresivaudan Periurbain
2024-06-01,,Gresivaudan Periurbain
2024-07-01,,Gresivaudan Periurbain
2024-08-01,,Gresivaudan Periurbain
2024-09-01,,Gresivaudan Periurbain
2024-10-01,,Gresivaudan Periurbain
2024-11-01,,Gresivaudan Periurbain
2024-12-01,,Gresivaudan Periurbain
2025-01-01,27.3,Gresivaudan Periurbain
2025-02-01,,Gresivaudan Periurbain
2023-03-01,53.9,Roussillon
2023-04-01,55.6,Roussillon
2023-05-01,60.3,Roussillon
2023-06-01,74,Roussillon
2023-07-01,63.9,Roussillon
2023-08-01,68.1,Roussillon
2023-09-01,53.9,Roussillon
2023-10-01,42.3,Roussillon
2023-11-01,28.5,Roussillon
2023-12-01,26.1,Roussillon
2024-01-01,29.5,Roussillon
2024-02-01,40.6,Roussillon
2024-03-01,52.1,Roussillon
2024-04-01,71.8,Roussillon
2024-05-01,51.1,Roussillon
2024-06-01,,Roussillon
2024-07-01,,Roussillon
2024-08-01,,Roussillon
2024-09-01,,Roussillon
2024-10-01,,Roussillon
2024-11-01,24.7,Roussillon
2024-12-01,22.2,Roussillon
2025-01-01,39.1,Roussillon
2025-02-01,,Roussillon
2023-03-01,59.3,Roches-de-Condrieu
2023-04-01,62.6,Roches-de-Condrieu
2023-05-01,70.4,Roches-de-Condrieu
2023-06-01,86.2,Roches-de-Condrieu
2023-07-01,68.7,Roches-de-Condrieu
2023-08-01,75.8,Roches-de-Condrieu
2023-09-01,64.2,Roches-de-Condrieu
2023-10-01,50.8,Roches-de-Condrieu
2023-11-01,34.3,Roches-de-Condrieu
2023-12-01,28,Roches-de-Condrieu
2024-01-01,26.7,Roches-de-Condrieu
2024-02-01,40.7,Roches-de-Condrieu
2024-03-01,54.9,Roches-de-Condrieu
2024-04-01,74.1,Roches-de-Condrieu
2024-05-01,60.7,Roches-de-Condrieu
2024-06-01,62.4,Roches-de-Condrieu
2024-07-01,61.8,Roches-de-Condrieu
2024-08-01,72,Roches-de-Condrieu
2024-09-01,55.9,Roches-de-Condrieu
2024-10-01,35.6,Roches-de-Condrieu
2024-11-01,23,Roches-de-Condrieu
2024-12-01,27.3,Roches-de-Condrieu
2025-01-01,40.9,Roches-de-Condrieu
2025-02-01,,Roches-de-Condrieu
2023-03-01,58.8,Sablons
2023-04-01,59.5,Sablons
2023-05-01,67.6,Sablons
2023-06-01,77.8,Sablons
2023-07-01,68.4,Sablons
2023-08-01,67.5,Sablons
2023-09-01,59.9,Sablons
2023-10-01,52.2,Sablons
2023-11-01,35.4,Sablons
2023-12-01,27.3,Sablons
2024-01-01,29.5,Sablons
2024-02-01,43.6,Sablons
2024-03-01,57.3,Sablons
2024-04-01,76.2,Sablons
2024-05-01,57.4,Sablons
2024-06-01,58.3,Sablons
2024-07-01,55.6,Sablons
2024-08-01,65.1,Sablons
2024-09-01,51.5,Sablons
2024-10-01,37.4,Sablons
2024-11-01,25.5,Sablons
2024-12-01,29.6,Sablons
2025-01-01,,Sablons
2025-02-01,,Sablons
2023-03-01,57.1,Bourgoin-Jallieu
2023-04-01,56,Bourgoin-Jallieu
2023-05-01,59.6,Bourgoin-Jallieu
2023-06-01,75.1,Bourgoin-Jallieu
2023-07-01,,Bourgoin-Jallieu
2023-08-01,,Bourgoin-Jallieu
2023-09-01,61.5,Bourgoin-Jallieu
2023-10-01,,Bourgoin-Jallieu
2023-11-01,37.7,Bourgoin-Jallieu
2023-12-01,27.3,Bourgoin-Jallieu
2024-01-01,35.3,Bourgoin-Jallieu
2024-02-01,44.8,Bourgoin-Jallieu
2024-03-01,56.7,Bourgoin-Jallieu
2024-04-01,73.5,Bourgoin-Jallieu
2024-05-01,63.2,Bourgoin-Jallieu
2024-06-01,65.6,Bourgoin-Jallieu
2024-07-01,62.9,Bourgoin-Jallieu
2024-08-01,74.1,Bourgoin-Jallieu
2024-09-01,55.9,Bourgoin-Jallieu
2024-10-01,36.6,Bourgoin-Jallieu
2024-11-01,23.3,Bourgoin-Jallieu
2024-12-01,28,Bourgoin-Jallieu
2025-01-01,44.4,Bourgoin-Jallieu
2025-02-01,,Bourgoin-Jallieu
2023-03-01,77.5,Plateau de Bonnevaux
2023-04-01,76.5,Plateau de Bonnevaux
2023-05-01,74.3,Plateau de Bonnevaux
2023-06-01,96.4,Plateau de Bonnevaux
2023-07-01,78.7,Plateau de Bonnevaux
2023-08-01,86.7,Plateau de Bonnevaux
2023-09-01,84.7,Plateau de Bonnevaux
2023-10-01,68.9,Plateau de Bonnevaux
2023-11-01,57.8,Plateau de Bonnevaux
2023-12-01,57.1,Plateau de Bonnevaux
2024-01-01,59.5,Plateau de Bonnevaux
2024-02-01,60.5,Plateau de Bonnevaux
2024-03-01,76.6,Plateau de Bonnevaux
2024-04-01,84.1,Plateau de Bonnevaux
2024-05-01,71.6,Plateau de Bonnevaux
2024-06-01,71.2,Plateau de Bonnevaux
2024-07-01,69.5,Plateau de Bonnevaux
2024-08-01,78.9,Plateau de Bonnevaux
2024-09-01,66.9,Plateau de Bonnevaux
2024-10-01,48.6,Plateau de Bonnevaux
2024-11-01,41.8,Plateau de Bonnevaux
2024-12-01,46.7,Plateau de Bonnevaux
2025-01-01,56.7,Plateau de Bonnevaux
2025-02-01,,Plateau de Bonnevaux
2023-02-07,,Creys-Mépieu
2025-02-06,,Creys-Mépieu
