"identifiant";"Opérateur";"Millésime des données";"Énergie concernée";"Code géographique du territoire - Code de la zone";"Code géographique du territoire - Libellé de la zone";"Puissance totale installée sur le réseau (en MW)";"Puissance installée sur le réseau de la filière gaz naturel (en MWh)";"Puissance installée sur le réseau de la filière charbon (en MWh)";"Puissance installée sur le réseau de la filière fioul domestique (en MWh)";"Puissance installée sur le réseau de la filière fioul lourd (en MWh)";"Puissance installée sur le réseau de la filière gpl (en MWh)";"Puissance installée sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Puissance installée sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Puissance installée sur le réseau de la filière biogaz (en MWh)";"Puissance installée sur le réseau de la filière geothermie (en MWh)";"Puissance installée sur le réseau de la filière Pompes à chaleur (en MWh)";"Puissance installée sur le réseau de la filière solaire thermique (en MWh)";"Puissance installée sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Puissance installée sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Puissance installée sur le réseau de la filière autre chaleur recuperee (en MWh)";"Puissance installée sur le réseau de la filière chaudieres electriques (en MWh)";"Puissance installée sur le réseau de la filière autres (en MWh)";"Production totale thermique du réseau (en MW)";"Production thermique sur le réseau de la filière gaz naturel (en MWh)";"Production thermique sur le réseau de la filière charbon (en MWh)";"Production thermique sur le réseau de la filière fioul domestique (en MWh)";"Production thermique sur le réseau de la filière fioul lourd (en MWh)";"Production thermique sur le réseau de la filière gpl (en MWh)";"Production thermique sur le réseau de la filière bois-énergie et résidus agricoles (en MWh)";"Production thermique sur le réseau de la filière déchets urbains incinérés en interne (en MWh)";"Production thermique sur le réseau de la filière chaleur issue d'unités de valorisation énergétique externes (en MWh)";"Production thermique sur le réseau de la filière biogaz (en MWh)";"Production thermique sur le réseau de la filière geothermie (en MWh)";"Production thermique sur le réseau de la filière Pompes à chaleur (en MWh)";"Production thermique sur le réseau de la filière solaire thermique (en MWh)";"Production thermique sur le réseau de la filière Autres énergies renouvelables (en MWh)";"Production thermique sur le réseau de la filière chaleur issue de procédés industriels (en MWh)";"Production thermique sur le réseau de la filière autre chaleur recuperee (en MWh)";"Production thermique sur le réseau de la filière chaudieres electriques (en MWh)";"Production thermique sur le réseau de la filière autres (en MWh)";"Niveau de rejet de CO2 des réseaux (en kg/kWh)";"Pourcentage de chaleur produite par cogénération (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gaz naturel (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière charbon (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul domestique (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière fioul lourd (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière gpl (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière bois-énergie et résidus agricoles (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière déchets urbains incinérés en interne (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière biogaz (en pourcent)";"Pourcentage de chaleur produite par cogénération dans la filière autres (en pourcent)";"Nombre de points de livraison";"Consommation totale (en MWh)";"Consommation dans le secteur résidentiel (en MWh)";"Consommation dans le secteur tertiaire (en MWh)";"Consommation dans le secteur industriel (en MWh)";"Consommation dans le secteur agricole (en MWh)";"Consommation non affectée dans l'un des quatres secteur (en MWh)"
"7716C";"Réseau de Marne la Vallée";"2018";"C";"77468";"Torcy";35.4;25.4;;;;;;;;;10;;;;;;;;56112;11856;;;;;;;;;44256;;;;;;;;0.049656127;;;;;;;;;;;114;49402;43968;5434;;;
"7717C";"Réseau de Chelles";"2018";"C";"77108";"Chelles";49.35;33.95;;;8;;;;;;7.4;;;;;;;;64019;31886;;;35;;;;;;32098;;;;;;;;0.112234239;37.294;74.876;;;;;;;;;80;56039;46512;9527;;;
"7721C";"Réseau de Bailly Romainvilliers";"2018";"C";"77018";"Bailly-Romainvilliers";11.39;9.39;;;;;;;;;;;;;2;;;;2767;308;;;;;;;;;;;;;2459;;;;0.059781146;;;;;;;;;;;3;2111;;2111;;;
"7722C";"Réseau de Village Nature";"2018";"C";"77510";"Villeneuve-Saint-Denis";25;9;;;;;;;;;16;;;;;;;;55099;1850;;;;;;;;;53249;;;;;;;;0.008011235;;;;;;;;;;;16;47350;47350;;;;
"7802C";"Le Val Fourré";"2018";"C";"78361";"Mantes-la-Jolie";80;64;;;;;16;;;;;;;;;;;;98164;46527;;;;;51637;;;;;;;;;;;;0.112277465;39.565;83.476;;;;;;;;;85;85926;61867;24059;;;
"7803C";"Réseau de Versailles";"2018";"C";"78646";"Versailles";133;133;;;;;;;;;;;;;;;;;105710;105710;;;;;;;;;;;;;;;;;0.244155346;58.588;58.588;;;;;;;;;85;89764;25134;64630;;;
"7804C";"Parly II";"2018";"C";"78158";"Le Chesnay";104.6;104.6;;;;;;;;;;;;;;;;;91413;91413;;;;;;;;;;;;;;;;;0.217241358;59.284;59.284;;;;;;;;;35;86036;80874;5162;;;
"7805C";"Réseau de Saint Germain en Laye";"2018";"C";"78551";"Saint-Germain-en-Laye";26.6;19;;;;;6;;;1.6;;;;;;;;;36171;16752;;;;;13422;;;5997;;;;;;;;;0.169286751;33.261;71.818;;;;;;;;;42;33890;24062;7456;2372;;
"7806C";"DOMNIS ACHERES";"2018";"C";"78005";"Achères";14.5;12;;;;;2.5;;;;;;;;;;;;13721.78;7139.34;;;;;6582.44;;;;;;;;;;;;0.105833574;;;;;;;;;;;9;"secret";"secret";768;;;
"7808C";"Grand Ouest et Musiciens";"2018";"C";"78440";"Les Mureaux";18.8;10.72;;0.78;;;5.8;;;;;;;;;1.5;;;37608;6524;;472;;;25005;;;;;;;;;5607;;;0.092139427;;;;;;;;;;;40;32049;27242;4807;;;
"7809C";"Réseau de Vélizy";"2018";"C";"78640";"Vélizy-Villacoublay";140;140;;;;;;;;;;;;;;;;;126419;126419;;;;;;;;;;;;;;;;;0.237771999;52.78;52.78;;;;;;;;;124;109673;70191;30708;8774;;
"7811C";"Réseau de Carrières - Chatou";"2018";"C";"78124";"Carrières-sur-Seine";28;;;27;;;;;1;;;;;;;;;;41423;;;3288;;;;;38135;;;;;;;;;;0.032959608;;;;;;;;;;;33;36765;23897;12868;;;
"7812C";"Réseau de Plaisir - Resop";"2018";"C";"78490";"Plaisir";51.5;28.5;;3;;;;;20;;;;;;;;;;65455;29874;;375;;;;;35206;;;;;;;;;;0.114238192;;;;;;;;;;;25;58245;42519;15726;;;
"7813C";"Réseau de la Boissière";"2018";"C";"78077";"La Boissière-École";1;;;;;;1;;;;;;;;;;;;2077.76;;;;;;2077.76;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;2416;;
"7816C";"Carrière sous Poissy";"2018";"C";"78123";"Carrières-sous-Poissy";2.9;1.15;;;;;0.6;;;1.15;;;;;;;;;3491;1620;;;;;1631;;;240;;;;;;;;;0.115256793;;;;;;;;;;;6;"secret";"secret";;;;
"7901C";"Le Clou Bouchet";"2018";"C";"79191";"Niort";10.4;10.4;;;;;;;;;;;;;;;;;16389.99;16389.99;;;;;;;;;;;;;;;;;0.231720864;59.579;59.579;;;;;;;;;28;14355;11484;2871;;;
"7902C";"Réseau de Bressuire";"2018";"C";"79049";"Bressuire";0.9;;;0.54;;;0.36;;;;;;;;;;;;833.6671;;;91.0915;;;742.5756;;;;;;;;;;;;0.048860462;;;;;;;;;;;7;566;;566;;;
"7903C";"Réseau de Romans";"2018";"C";"79231";"Romans";3.12;;;;;;3.12;;;;;;;;;;;;183.18;;;;;;183.18;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;
"7904C";"Réseau de l'Absie";"2018";"C";"79001";"L'Absie";2.021;;;;;;2.021;;;;;;;;;;;;1738.06;;;;;;1738.06;;;;;;;;;;;;;;;;;;;;;;;25;2021;2021;;;;
"7905C";"Quartier Les Brizeaux";"2018";"C";"79191";"Niort";1.8;1.1;;;;;0.7;;;;;;;;;;;;1830;436;;;;;1394;;;;;;;;;;;;0.051201553;;;;;;;;;;;37;1481;1037;444;;;
"7906C";"Réseau de chaleur CC Mellois en Poitou";"2018";"C";"79148";"Lezay";3.5;;;1.5;;;2;;;;;;;;;;;;3617.0484;;;132.9304;;;3484.118;;;;;;;;;;;;0.025523544;;;;;;;;;;;27;1580;;;;;1580
"8001C";"Etouvie";"2018";"C";"80021";"Amiens";30.7;22.2;;3;;;5.5;;;;;;;;;;;;31655.01;15313;;186.01;;;16156;;;;;;;;;;;;0.12854643;25.456;52.622;;;;;;;;;27;22647;20835;1812;;;
"8002C";"Réseau de la ville d'AMIENS";"2018";"C";"80021";"Amiens";92.3;92.3;;;;;;;;;;;;;;;;;61719;61719;;;;;;;;;;;;;;;;;0.239421901;63.021;63.21;;;;;;;;;61;71288;59169;12119;;;
"8004C";"Rodolphe BRAL";"2018";"C";"80561";"Montdidier";1.9;;;;;;1.9;;;;;;;;;;;;8084;;;;;;8084;;;;;;;;;;;;;;;;;;;;;;;15;"secret";"secret";7896;;;
"8005C";"Réseau d'Abbeville";"2018";"C";"80001";"Abbeville";18;13;;;;;5;;;;;;;;;;;;26106.7996;10342.1396;;;;;15764.66;;;;;;;;;;;;0.086509341;20.313;51.276;;;;;;;;;23;22634;10864;11770;;;
"8101C";"Reseau de Carmaux";"2018";"C";"81060";"Carmaux";2;2;;;;;;;;;;;;;;;;;8564;8564;;;;;;;;;;;;;;;;;0.255427992;89.433;89.433;;;;;;;;;21;"secret";"secret";3743;;;611
"8102C";"Chauffage urbain de Mazamet";"2018";"C";"81163";"Mazamet";8.1;5.6;;;;;2.5;;;;;;;;;;;;7873.02;1843.56;;;;;6029.46;;;;;;;;;;;;0.06710163;;;;;;;;;;;20;"secret";"secret";3504;1565;;
"8103C";"Réseau de Chauffage Urbain Castres Lameilhé";"2018";"C";"81065";"Castres";13.5;7;;;;;6.5;;;;;;;;;;;;16271;677;;;;;15594;;;;;;;;;;;;0.012713602;;;;;;;;;;;17;"secret";"secret";7083;;;
"8104C";"Gaillac - ZAC de Pouille";"2018";"C";"81099";"Gaillac";0.6;0.4;;;;;0.2;;;;;;;;;;;;868.89;260.01;;;;;608.88;;;;;;;;;;;;0.08348534;;;;;;;;;;;6;"secret";"secret";65;;;
"8105C";"Réseau de Graulhet";"2018";"C";"81105";"Graulhet";6;4;;;;;2;;;;;;;;;;;;6894.78;1056.24;;;;;5838.54;;;;;;;;;;;;0.04527437;;;;;;;;;;;15;"secret";"secret";2179;;;
"8106C";"Réseau de chaleur d'ALBAN";"2018";"C";"81003";"Alban";0.86;;;0.56;;;0.3;;;;;;;;;;;;891.81;;;50.73;;;841.08;;;;;;;;;;;;0.020509062;;;;;;;;;;;7;"secret";"secret";750;;;
"8201C";"SIRTOMAD";"2018";"C";"82121";"Montauban";18.5;13;;;;;;;5.5;;;;;;;;;;27663.21;2787.21;;;;;;;24876;;;;;;;;;;0.036865716;;;;;;;;;;;10;"secret";"secret";14638;1722;;
"8202C";"Réseau de Caylus";"2018";"C";"82038";"Caylus";6.37;;;1.16;;;5.21;;;;;;;;;;;;637.57;;;116.45;;;521.12;;;;;;;;;;;;0.083547794;;;;;;;;;;;5;"secret";"secret";402;;;
"8203C";"Chaufferie bois Negrepelisse";"2018";"C";"82134";"Nègrepelisse";2.5;;;;;;2.5;;;;;;;;;;;;2657.4;;;;;;2657.4;;;;;;;;;;;;;;;;;;;;;;;30;3090;1236;1854;;;
"8204C";"Villebrumier";"2018";"C";"82194";"Villebrumier";1.2;;;;;;1.2;;;;;;;;;;;;516;;;;;;516;;;;;;;;;;;;;;;;;;;;;;;31;"secret";"secret";398;;;
"8301C";"La Beaucaire";"2018";"C";"83137";"Toulon";10;;;;;;;10;;;;;;;;;;;15632;;;;;;;15632;;;;;;;;;;;;;;;;;;;;;;14;13448;13045;403;;;
"8304C";"Berthe";"2018";"C";"83126";"La Seyne-sur-Mer";20;;;;;;;20;;;;;;;;;;;20700;;;;;;;20700;;;;;;;;;;;;;;;;;;;;;;21;17781;16359;1422;;;
"8305C";"Chaudière bois";"2018";"C";"83042";"Cogolin";0.14;;;;;;0.14;;;;;;;;;;;;1825;;;356;;;1469;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;
"8306C";"Réseau communal de Puget Ville";"2018";"C";"83100";"Puget-Ville";0.2;;;0.2;;;;;;;;;;;;;;;356.89;;;356.89;;;;;;;;;;;;;;;0.342;;;;;;;;;;;3;1;;1;;;
"8401C";"Le Triennal";"2018";"C";"84007";"Avignon";5;5;;;;;;;;;;;;;;;;;18676;18676;;;;;;;;;;;;;;;;;0.097351119;36.892;36.892;;;;;;;;;10;"secret";"secret";;;;
"8402C";"Réseau communal de Vacqueyras";"2018";"C";"84136";"Vacqueyras";0.1;;;;;;0.1;;;;;;;;;;;;187.51;;;;;;187.51;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;
"8403C";"Réseau communal de Rustrel";"2018";"C";"84103";"Rustrel";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"secret";"secret";57;;;
"8501C";"ZAD Nord-Est";"2018";"C";"85191";"La Roche-sur-Yon";5;5;;;;;;;;;;;;;;;;;7531.28;7531.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;
"8502C";"Réseau les Herbiers";"2018";"C";"85109";"Les Herbiers";1.8;0.8;;;;;1;;;;;;;;;;;;2397;215;;;;;2182;;;;;;;;;;;;0.045253937;;;;;;;;;;;10;"secret";"secret";1094;;;
"8503C";"Réseau de chaleur Saint-pierre-du-chemin";"2018";"C";"85264";"Saint-Pierre-du-Chemin";;;;;;;;;;;;;;;;;;;1838.68;;;;;;1838.68;;;;;;;;;;;;;;;;;;;;;;;17;1358;1141;217;;;
"8601C";"Zup des Couronneries";"2018";"C";"86194";"Poitiers";46.7;33.5;;;;;3.2;;10;;;;;;;;;;82888.68;27389.54;;;;;8169.14;;47330;;;;;;;;;;0.081631487;13.955;42.231;;;;;;;;;98;65474;49760;15714;;;
"8602C";"AVAILLES-LIMOUZINE";"2018";"C";"86015";"Availles-Limouzine";0.12;;;0.12;;;;;;;;;;;;;;;196.3607;;;196.3607;;;;;;;;;;;;;;;0.270773182;;;;;;;;;;;3;220;;;;;220
"8603C";"Réseau de chaleur de Couché";"2018";"C";"86082";"Couhé";0.6;;;;;;0.6;;;;;;;;;;;;1372.871554;;;;;;1372.871554;;;;;;;;;;;;;;;;;;;;;;;7;1459;;1459;;;
"8605C";"Réseau Lusig";"2018";"C";"86139";"Lusignan";1.45;;;;;;1.45;;;;;;;;;;;;1949.3;;;515.3;;;1434;;;;;;;;;;;;0.10054923;;;;;;;;;;;7;1493;;1493;;;
"8606C";"Réseau de Chatellerault";"2018";"C";"86066";"Châtellerault";8.5;8.5;;;;;;;;;;;;;;;;;6994.35;6994.35;;;;;;;;;;;;;;;;;0.220353734;;;;;;;;;;;15;7230;5278;;;;1952
"8607C";"Réseau de Civaux";"2018";"C";"86077";"Civaux";3;;;2.5;;;;;;;;0.5;;;;;;;272.5091;;;272.5091;;;;;;;;;;;;;;;0.089782153;;;;;;;;;;;2;"secret";"secret";2170;;;
"8608C";"Réseau de BEL AIR - 3 CITES";"2018";"C";"86194";"Poitiers";7.5;7.5;;;;;;;;;;;;;;;;;4968;4968;;;;;;;;;;;;;;;;;0.342;43.659;43.659;;;;;;;;;17;4968;4968;;;;
"8609C";"Réseau Saint Cyprien - Clos Gaultier";"2018";"C";"86194";"Poitiers";6.85;6.85;;;;;;;;;;;;;;;;;7110;7110;;;;;;;;;;;;;;;;;0.334201899;42.897;42.897;;;;;;;;;30;7110;7110;;;;
"8701C";"Zup Val de l'Aurence";"2018";"C";"87085";"Limoges";74.7;57;;0.7;;;17;;;;;;;;;;;;108133.69;24727.31;;55.18;;;83351.2;;;;;;;;;;;;0.04991554;6.499;28.422;;;;;;;;;105;103941;50931;53010;;;
"8702C";"Zac de Beaubreuil";"2018";"C";"87085";"Limoges";14;4.7;;;;;;;9.3;;;;;;;;;;41347.86;328.86;;;;;;;41019;;;;;;;;;;0.002251235;;;;;;;;;;;38;33274;15306;5657;;;12311
"8703C";"Réseau de Bellac";"2018";"C";"87011";"Bellac";4.2;4.2;;;;;;;;;;;;;;;;;3313.71;3313.71;;;;;;;;;;;;;;;;;0.283968962;;;;;;;;;;;8;"secret";"secret";;;;851
"8704C";"Quartier de l'Hôtel de Ville";"2018";"C";"87085";"Limoges";5.2;5.2;;;;;;;;;;;;;;;;;4272.23;4272.23;;;;;;;;;;;;;;;;;0.206539156;42.22;42.22;;;;;;;;;10;"secret";"secret";3945;;;
"8705C";"Réseau de Chamboret";"2018";"C";"87033";"Chamboret";0.16;;;;;;0.16;;;;;;;;;;;;293.7501278;;;;;;293.7501278;;;;;;;;;;;;;;;;;;;;;;;1;"secret";"secret";;;;
"8706C";"Réseau de Pageas";"2018";"C";"87112";"Pageas";0.15;;;;;;0.15;;;;;;;;;;;;277.35;;;;;;277.35;;;;;;;;;;;;;;;;;;;;;;;11;"secret";"secret";133;;;
"8801C";"Plateau de la Justice";"2018";"C";"88160";"Épinal";90.89;62.29;;;;;28.6;;;;;;;;;;;;103318.4;14150.4;;;;;89168;;;;;;;;;;;;;66.396;0.66;;;;;76.922;;;;150;85426;47839;37587;;;
"8802C";"Quartier Kellerman";"2018";"C";"88413";"Saint-Dié-des-Vosges";22.24;12.24;;4;;;6;;;;;;;;;;;;32260.2755;10341.7355;;42.72;;;21875.82;;;;;;;;;;;;0.059096333;10.942;34.134;;;;;;;;;58;29232;9354;12862;;;7016
"8805C";"Réseau de Fresse sur Moselle";"2018";"C";"88188";"Fresse-sur-Moselle";1.23;0.48;;;;;0.75;;;;;;;;;;;;1563.6516;132.4998;;;;;1431.1518;;;;;;;;;;;;0.028936251;;;;;;;;;;;12;"secret";"secret";547;;;
"8806C";"Réseau de Monthureux-sur-Saône";"2018";"C";"88310";"Monthureux-sur-Saône";1.76;1.12;;;;;0.64;;;;;;;;;;;;984.1;288.36;;;;;695.74;;;;;;;;;;;;0.078944712;;;;;;;;;;;6;"secret";"secret";716;;;
"8807C";"Chauffage urbain Fraize";"2018";"C";"88181";"Fraize";;;;;;;;;;;;;;;;;;;1553.907;352.917;;;;;1200.99;;;;;;;;;;;;0.043874386;;;;;;;;;;;11;1832;;1832;;;
"8808C";"Réseau de La Bresse 1";"2018";"C";"88075";"La Bresse";2.7;;;1.95;;;0.75;;;;;;;;;;;;1873.21;;;1024.39;;;848.82;;;;;;;;;;;;0.165832444;;;;;;;;;;;8;1874;;1874;;;
"8809C";"Réseau de La Bresse 2";"2018";"C";"88075";"La Bresse";1.36;;;0.85;;;0.51;;;;;;;;;;;;1970.53;;;773.41;;;1197.12;;;;;;;;;;;;0.119101523;;;;;;;;;;;9;"secret";"secret";1675;;;
"8811C";"Réseau de Fremifontaine";"2018";"C";"88184";"Fremifontaine";0.11;;;;;;0.11;;;;;;;;;;;;137.6;;;;;;137.6;;;;;;;;;;;;;;;;;;;;;;;3;138;;;;;138
"8812C";"Réseau de Ventron";"2018";"C";"88500";"Ventron";58.594;;;58;;;0.594;;;;;;;;;;;;562.46;;;51.62;;;510.84;;;;;;;;;;;;0.024018405;;;;;;;;;;;6;652;;652;;;
"8814C";"Vittel";"2018";"C";"88516";"Vittel";13.5;11;;;;;2.5;;;;;;;;;;;;21369.08;8187;;;;;13182.08;;;;;;;;;;;;0.10811001;24.409;63.711;;;;;;;;;25;16703;3341;13362;;;
"8901C";"Zup des Grahuches";"2018";"C";"89387";"Sens";29.1;18.2;;;;;6;4.9;;;;;;;;;;;36147.84;2734;;;;;15273;18140.84;;;;;;;;;;;0.018651983;;;;;;;;;;;32;36629;21245;15384;;;
"8902C";"Zup de Sainte Geneviève";"2018";"C";"89024";"Auxerre";25.3;10.9;;3.6;;;10.8;;;;;;;;;;;;33625;11006;;15;;;22604;;;;;;;;;;;;0.082170701;21.775;66.527;;;;;;;;;25;28380;14190;4825;;;9365
"8903C";"Les Chaillots";"2018";"C";"89387";"Sens";2.5;2.5;;;;;;;;;;;;;;;;;3584;3584;;;;;;;;;;;;;;;;;0.233209705;;;;;;;;;;;6;"secret";"secret";;;;
"8904C";"Réseau de Quarré-les-Tombes";"2018";"C";"89318";"Quarré-les-Tombes";;;;;;;;;;;;;;;;;;;355;;;;;;355;;;;;;;;;;;;;;;;;;;;;;;5;"secret";"secret";256;;;
"9002C";"ZUP DES GLACIS";"2018";"C";"90010";"Belfort";15.4;15.4;;;;;;;;;;;;;;;;;16234.25;16234.25;;;;;;;;;;;;;;;;;0.342;65.947;65.947;;;;;;;;;31;"secret";"secret";8551;;;
"9003C";"Réseau de chaleur de Delle";"2018";"C";"90033";"Delle";3;1.5;;;;;;;;1.5;;;;;;;;;3.078;1.458;;;;;;;;1.62;;;;;;;;;0.000124382;;;;;;;;;;;7;"secret";"secret";;;;
"9101C";"Réseau de Massy - Antony";"2018";"C";"91377";"Massy";172;44;32;44;;;32;;20;;;;;;;;;;265563;24846;64857;1223;;;46280;;128357;;;;;;;;;;0.142279484;;;;;;;;;;;222;223019;167264;55755;;;
"9102C";"Réseau des Ulis";"2018";"C";"91692";"Les Ulis";99.9;87.9;;;;;12;;;;;;;;;;;;154190;55129;;;;;14995;;;;;;;;;84066;;;0.076784127;25.472;71.242;;;;;;;;;86;135501;108401;27100;;;
"9103C";"Réseau d'Evry";"2018";"C";"91228";"Évry";143.9;125.9;;;;;;;;;;;;;;18;;;247677;232283;;;;;;;;;;;;;;15394;;;0.241140855;24.494;26.118;;;;;;;;;367;212882;138373;74509;;;
"9104C";"Domaine du Bois des Roches";"2018";"C";"91570";"Saint-Michel-sur-Orge";42;42;;;;;;;;;;;;;;;;;43005;43005;;;;;;;;;;;;;;;;;0.229739963;76.361;76.361;;;;;;;;;22;41446;38383;3063;;;
"9105C";"Réseau de Grigny";"2018";"C";"91286";"Grigny";32;32;;;;;;;;;;;;;;;;;35797;32513;;;;;;;;;;;;;;3284;;;0.184608224;51.652;56.87;;;;;;;;;29;35268;31036;4232;;;
"9106C";"OROBIA - Réseau de Brétigny-sur-Orge";"2018";"C";"91103";"Brétigny-sur-Orge";9;5;;;;;4;;;;;;;;;;;;10580;3434;;;;;7146;;;;;;;;;;;;0.084780364;;;;;;;;;;;18;8892;7558;1334;;;
"9107C";"Réseau de Dourdan";"2018";"C";"91200";"Dourdan";9.7;9.35;;0.35;;;;;;;;;;;;;;;12222.0211;12002.1644;;219.8567;;;;;;;;;;;;;;;0.245679254;47.586;48.458;;;;;;;;;16;9864;9371;493;;;
"9108C";"CEA DIF";"2018";"C";"91115";"Bruyères-le-Châtel";27.96;20.07;;;;;;;;;2.9;4.99;;;;;;;17585.9;13437.9;;;;;;;;;1273;2875;;;;;;;0.230823644;;;;;;;;;;;13;13847;;13847;;;
"9109C";"DSP - Vigneux - Concorde";"2018";"C";"91657";"Vigneux-sur-Seine";43;29.43;;0.57;;;;;;;13;;;;;;;;39729;22219;;414;;;;;;;17096;;;;;;;;0.138192451;;;;;;;;;;;59;36503;34678;;;;1825
"9114C";"Réseau d'Epinay-sous-Sénart";"2018";"C";"91215";"Épinay-sous-Sénart";41.2;32.2;;;;;;;;;9;;;;;;;;53388.93;24423.93;;;;;;;;;28965;;;;;;;;0.109460658;;;;;;;;;;;66;50824;45742;5082;;;
"9115C";"Réseau de Ris-Orangis";"2018";"C";"91521";"Ris-Orangis";21.36;13.06;;2.5;;;;;;;5.8;;;;;;;;23690;5276;;;;;;;;;18414;;;;;;;;0.060237315;11.005;49.412;;;;;;;;;20;20911;18402;2509;;;
"9116C";"Zup de Saint Hubert et Louis Pergaud";"2018";"C";"91549";"Sainte-Geneviève-des-Bois";17.3;17.3;;;;;;;;;;;;;;;;;7003.26;7003.26;;;;;;;;;;;;;;;;;0.238823185;;;;;;;;;;;24;6679;6679;;;;
"9118C";"Réseau SEER Grigny-Viry";"2018";"C";"91286";"Grigny";58.4;42.4;;;;;;;;;16;;;;;;;;76616.32;30271.32;;;;;;;;;46345;;;;;;;;0.095075135;;;;;;;;;;;57;72523;68897;3626;;;
"9119C";"Parc d'activités";"2018";"C";"91661";"Villebon-sur-Yvette";20;;;;;;;;20;;;;;;;;;;103376;;;;;;;;103376;;;;;;;;;;;;;;;;;;;;;22;15565;;15565;;;
"9120C";"Réseau de Viry Chatillon";"2018";"C";"91687";"Viry-Châtillon";10.4;10.4;;;;;;;;;;;;;;;;;12609;12609;;;;;;;;;;;;;;;;;0.202456869;54.318;54.318;;;;;;;;;18;12091;12091;;;;
"9122C";"Réseau du quartier du Grand Parc de Bondoufle";"2018";"C";"91086";"Bondoufle";2.1;1.6;;;;;0.5;;;;;;;;;;;;1993.453;734.6538;;;;;1258.7992;;;;;;;;;;;;0.091043422;;;;;;;;;;;8;"secret";"secret";;;;
"9201C";"Réseau de Meudon";"2018";"C";"92048";"Meudon";113;113;;;;;;;;;;;;;;;;;90304;90304;;;;;;;;;;;;;;;;;0.233601073;41.183;41.183;;;;;;;;;73;78740;77953;787;;;
"9202C";"Les Fosses Jean Nord";"2018";"C";"92025";"Colombes";21.48;21.48;;;;;;;;;;;;;;;;;19549.35;19549.35;;;;;;;;;;;;;;;;;0.243176983;;;;;;;;;;;15;18312;17030;1282;;;
"9204C";"ZAC Sainte Geneviève";"2018";"C";"92050";"Nanterre";6.5;2.85;;;;;;;;2.85;;0.8;;;;;;;6700.401;3055.401;;;;;;;;1620;;2025;;;;;;;0.17997663;;;;;;;;;;;15;4602;4418;;;;184
"9205C";"Réseau Gennevilliers";"2018";"C";"92036";"Gennevilliers";79.5;62.5;;;;;17;;;;;;;;;;;;96743;46254;;;;;50489;;;;;;;;;;;;0.109757622;32.385;67.735;;;;;;;;;105;86722;72846;13876;;;
"9209C";"Réseau de Chaville";"2018";"C";"92022";"Chaville";12.74;12.74;;;;;;;;;;;;;;;;;14805;14805;;;;;;;;;;;;;;;;;0.207011028;54.191;54.191;;;;;;;;;14;13420;12749;671;;;
"9211C";"Réseau de chaleur de Levallois";"2018";"C";"92044";"Levallois-Perret";;;;;;;;;;;;;;;;;;;158502;;;;;;;;;;;;;;;158502;;;0.190710879;;;;;;;;;;;270;138577;82730;55847;;;
"9219C";"Réseau chaud Seguin Rives de Seine";"2018";"C";"92012";"Boulogne-Billancourt";19;;;;;;;;;;;19;;;;;;;64105.1;;;;;;;;;;;26985;;;;37120.1;;;0.119885973;;;;;;;;;;;86;63734;31867;31867;;;
"9222C";"Réseau de Suresnes";"2018";"C";"92073";"Suresnes";56;56;;;;;;;;;;;;;;;;;66441;66441;;;;;;;;;;;;;;;;;0.257817252;43.827;43.827;;;;;;;;;82;55694;45669;10025;;;
"9224C";"Réseau SEINERGIE";"2018";"C";"92026";"Courbevoie";42;42;;;;;;;;;;;;;;;;;89555;89555;;;;;;;;;;;;;;;;;0.241314778;;;;;;;;;;;126;84442;59954;24488;;;
"9225C";"Réseau de La Défense";"2018";"C";"92026";"Courbevoie";118.19;65.83;;;1.54;;;;;;;28.48;;22.34;;;;;263067;146497;;;3322;;;;;;;63493;;49755;;;;;0.132485076;22.284;4.17;;;;;;;;;200;239550;91748;123368;;;24434
"9226C";"Résidence Villeneuve";"2018";"C";"92078";"Villeneuve-la-Garenne";20.2;20.2;;;;;;;;;;;;;;;;;12868;12868;;;;;;;;;;;;;;;;;0.216785587;67.159;67.159;;;;;;;;;26;11774;9890;1884;;;
"9230C";"Réseau Ciceo";"2018";"C";"92062";"Puteaux";48.8;48.8;;;;;;;;;;;;;;;;;42036;42036;;;;;;;;;;;;;;;;;0.239496117;;;;;;;;;;;38;38770;22874;15896;;;
