"identifiant";"Opérateur";"Millésime.des.données";"Énergie.concernée";"Code.géographique.du.territoire - Code de la zone";"Code.géographique.du.territoire - Libellé de la zone";"Puissance.totale.installée.sur.le.réseau..en.MW.";"Puissance.installée.sur.le.réseau.de.la.filière.gaz.naturel..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.charbon..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.fioul.domestique..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.fioul.lourd..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.gpl..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.bois.énergie.et.résidus.agricoles..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.déchets.urbains.incinérés.en.interne..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.chaleur.issue.d.unités.de.valorisation.énergétique.externes..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.biogaz..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.geothermie..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.Pompes.à.chaleur..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.solaire.thermique..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.Autres.énergies.renouvelables..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.chaleur.issue.de.procédés.industriels..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.autre.chaleur.recuperee..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.chaudieres.electriques..en.MWh.";"Puissance.installée.sur.le.réseau.de.la.filière.autres..en.MWh.";"Puissance.froid.installée.sur.le.réseau.de.la.filière.autres..en.MWh.";"Puissance.froid.installée.sur.le.réseau.de.la.filière.compression..en.MWh.";"Puissance.froid.installée.sur.le.réseau.de.la.filière.absorption..en.MWh.";"Puissance.froid.installée.sur.le.réseau.de.la.filière.Pompes.à.chaleur..en.MWh.";"Puissance.froid.installée.sur.le.réseau.de.la.filière.froid.passif..en.MWh.";"Production.totale.thermique.du.réseau..en.MW.";"Production.thermique.sur.le.réseau.de.la.filière.gaz.naturel..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.charbon..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.fioul.domestique..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.fioul.lourd..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.gpl..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.bois.énergie.et.résidus.agricoles..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.déchets.urbains.incinérés.en.interne..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.chaleur.issue.d.unités.de.valorisation.énergétique.externes..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.biogaz..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.geothermie..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.Pompes.à.chaleur..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.solaire.thermique..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.Autres.énergies.renouvelables..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.chaleur.issue.de.procédés.industriels..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.autre.chaleur.recuperee..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.chaudieres.electriques..en.MWh.";"Production.thermique.sur.le.réseau.de.la.filière.autres..en.MWh.";"Niveau.de.rejet.direct.en.CO2.des.réseaux..en.kg.kWh.";"Niveau.de.rejet.en.CO2.des.réseaux.en.analyse.du.cycle.de.vie..ACV...en.kg.kWh.";"Pourcentage.de.chaleur.produite.par.cogénération..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.gaz.naturel..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.charbon..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.fioul.domestique..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.fioul.lourd..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.gpl..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.bois.énergie.et.résidus.agricoles..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.déchets.urbains.incinérés.en.interne..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.biogaz..en.pourcent.";"Pourcentage.de.chaleur.produite.par.cogénération.dans.la.filière.autres..en.pourcent.";"Nombre.de.points.de.livraison";"Consommation.totale..en.MWh.";"Consommation.dans.le.secteur.résidentiel..en.MWh.";"Consommation.dans.le.secteur.tertiaire..en.MWh.";"Consommation.dans.le.secteur.industriel..en.MWh.";"Consommation.dans.le.secteur.agricole..en.MWh.";"Consommation.non.affectée.dans.l.un.des.quatres.secteur..en.MWh.";"Libelle.commune"
"3804C";"Réseau de chaleur de Vinay";"2022";"C";"38559";"Vinay";5.5;0;0;4;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6272.72;0;0;838.38;0;0;5434.34;0;0;0;0;0;0;0;0;0;0;0;0.061;0.096;0;0;0;0;0;0;0;0;0;0;60;4204;1093;2354;757;0;0;"VINAY"
"3805C";"Réseau de Saint Marcellin";"2022";"C";"38416";"Saint-Marcellin";4.86;0;0;0;0;1.8;3.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6206.36;0;0;0;0;338.58;5867.78;0;0;0;0;0;0;0;0;0;0;0;0.022;0.052;0;0;0;0;0;0;0;0;0;0;22;3951;2015;1936;0;0;0;"SAINT MARCELLIN"
"3806C";"Réseau d'Allevard";"2022";"C";"38006";"Allevard";4.7;0;0;0;0;2.5;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8453;0;0;0;0;441;8012;0;0;0;0;0;0;0;0;0;0;0;0.018;0.048;0;0;0;0;0;0;0;0;0;0;20;5316;1116;4200;0;0;0;"ALLEVARD"
"3807C";"Les Laiches";"2022";"C";"38548";"Villard-de-Lans";1.77;0;0;1.37;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1374.78;0;0;65.86;0;0;1308.92;0;0;0;0;0;0;0;0;0;0;0;0.022;0.051;0;0;0;0;0;0;0;0;0;0;10;923;277;646;0;0;0;"VILLARD DE LANS"
"3808C";"Réseau de Lans-en-Vercors";"2022";"C";"38205";"Lans-en-Vercors";1.68;0;0;0.98;0;0;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1900.5;0;0;201.14;0;0;1699.36;0;0;0;0;0;0;0;0;0;0;0;0.049;0.083;0;0;0;0;0;0;0;0;0;0;"secret";"secret";"secret";"secret";"secret";"secret";"secret";"LANS EN VERCORS"
"3809C";"Réseau de Monestier-de-Clermont";"2022";"C";"38242";"Monestier-de-Clermont";1.13;0;0;0.63;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1078.917;0;0;159.577;0;0;919.34;0;0;0;0;0;0;0;0;0;0;0;0.046;0.072;0;0;0;0;0;0;0;0;0;0;11;1056;0;1056;0;0;0;"MONESTIER DE CLERMONT"
"3811C";"Réseau de Chaleur Bois Pontcharra RCBP";"2022";"C";"38314";"Pontcharra";1.51;0.96;0;0;0;0;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1446;461;0;0;0;0;985;0;0;0;0;0;0;0;0;0;0;0;0.099;0.128;0;0;0;0;0;0;0;0;0;0;6;1154;346;808;0;0;0;"PONTCHARRA"
"3813C";"Réseau de chaleur de Voreppe";"2022";"C";"38565";"Voreppe";7;4.5;0;0;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10530;2160;0;0;0;0;8370;0;0;0;0;0;0;0;0;0;0;0;0.061;0.088;0;0;0;0;0;0;0;0;0;0;32;8244;6760;1484;0;0;0;"VOREPPE"
"3814C";"Réseau de Coublevie";"2022";"C";"38133";"Coublevie";1.9;1.2;0;0;0;0;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2356;369;0;0;0;0;1987;0;0;0;0;0;0;0;0;0;0;0;0.036;0.058;0;0;0;0;0;0;0;0;0;0;9;2320;1508;812;0;0;0;"COUBLEVIE"
"3817C";"Réseau de chaleur de Villard-de-Lans";"2022";"C";"38548";"Villard-de-Lans";5.65;0;0;3.6;0;0;2.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9496.1998;0;0;579.479;0;0;8916.7208;0;0;0;0;0;0;0;0;0;0;0;0.023;0.05;0;0;0;0;0;0;0;0;0;0;42;7595;0;0;0;0;7595;"VILLARD DE LANS"
"3819C";"Réseau YOPLAIT Vienne";"2022";"C";"38544";"Vienne";1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7;0;0;0;0;0;0;0;0;3428;0;0;0;0;0;0;0;0;0;0;0;0;0;3428;0;0;0;0;0.004;0;0;0;0;0;0;0;0;0;0;"secret";"secret";"secret";"secret";"secret";"secret";"secret";"VIENNE"
"3820C";"Réseau de chaleur de Gières Centre";"2022";"C";"38179";"Gières";1.5;0.9;0;0;0;0;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2710.04;526.5;0;0;0;0;2183.54;0;0;0;0;0;0;0;0;0;0;0;0.057;0.083;0;0;0;0;0;0;0;0;0;0;13;2094;1403;691;0;0;0;"GIERES"
"3821C";"Réseau de chaleur de Fontaine ZAC Bastille";"2022";"C";"38169";"Fontaine";1.25;0.7;0;0;0;0;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2410.88;622.08;0;0;0;0;1788.8;0;0;0;0;0;0;0;0;0;0;0;0.069;0.093;0;0;0;0;0;0;0;0;0;0;12;2057;1872;185;0;0;0;"FONTAINE"
