Date,dioxyde d'azote  (µg/m³),Station
2023-02-07,,INSPIRA-MaisonProjet
2025-02-06,,INSPIRA-MaisonProjet
2023-03-01,12.3,Champ-sur-Drac
2023-04-01,7.6,Champ-sur-Drac
2023-05-01,6.1,Champ-sur-Drac
2023-06-01,7,Champ-sur-Drac
2023-07-01,6.3,Champ-sur-Drac
2023-08-01,6.7,Champ-sur-Drac
2023-09-01,8.4,Champ-sur-Drac
2023-10-01,9.4,Champ-sur-Drac
2023-11-01,13.3,Champ-sur-Drac
2023-12-01,17.8,Champ-sur-Drac
2024-01-01,19.3,Champ-sur-Drac
2024-02-01,12.7,Champ-sur-Drac
2024-03-01,,Champ-sur-Drac
2024-04-01,,Champ-sur-Drac
2024-05-01,,Champ-sur-Drac
2024-06-01,,Champ-sur-Drac
2024-07-01,,Champ-sur-Drac
2024-08-01,,Champ-sur-Drac
2024-09-01,,Champ-sur-Drac
2024-10-01,,Champ-sur-Drac
2024-11-01,,Champ-sur-Drac
2024-12-01,,Champ-sur-Drac
2025-01-01,,Champ-sur-Drac
2025-02-01,,Champ-sur-Drac
2023-03-01,15.6,Voiron Urbain
2023-04-01,8.6,Voiron Urbain
2023-05-01,7,Voiron Urbain
2023-06-01,6.9,Voiron Urbain
2023-07-01,5.3,Voiron Urbain
2023-08-01,6.7,Voiron Urbain
2023-09-01,9.1,Voiron Urbain
2023-10-01,12.5,Voiron Urbain
2023-11-01,16.2,Voiron Urbain
2023-12-01,,Voiron Urbain
2024-01-01,20.8,Voiron Urbain
2024-02-01,13.1,Voiron Urbain
2024-03-01,11.8,Voiron Urbain
2024-04-01,8.7,Voiron Urbain
2024-05-01,6.8,Voiron Urbain
2024-06-01,6.3,Voiron Urbain
2024-07-01,5.9,Voiron Urbain
2024-08-01,6.5,Voiron Urbain
2024-09-01,8.7,Voiron Urbain
2024-10-01,9.8,Voiron Urbain
2024-11-01,13.3,Voiron Urbain
2024-12-01,18,Voiron Urbain
2025-01-01,17.5,Voiron Urbain
2025-02-01,,Voiron Urbain
2023-03-01,22.4,St-Martin-d'Hères
