Date,dioxyde d'azote  (µg/m³),Station
2017-02-07,,INSPIRA-MaisonProjet
2020-02-06,,INSPIRA-MaisonProjet
2017-03-01,15,Champ-sur-Drac
2017-04-01,11,Champ-sur-Drac
2017-05-01,11.1,Champ-sur-Drac
2017-06-01,7.5,Champ-sur-Drac
2017-07-01,6.1,Champ-sur-Drac
2017-08-01,8.1,Champ-sur-Drac
2017-09-01,10.2,Champ-sur-Drac
2017-10-01,15.3,Champ-sur-Drac
2017-11-01,25.9,Champ-sur-Drac
2017-12-01,30.6,Champ-sur-Drac
2018-01-01,27,Champ-sur-Drac
2018-02-01,24.3,Champ-sur-Drac
2018-03-01,19.9,Champ-sur-Drac
2018-04-01,9.5,Champ-sur-Drac
2018-05-01,7.8,Champ-sur-Drac
2018-06-01,,Champ-sur-Drac
2018-07-01,6.7,Champ-sur-Drac
2018-08-01,5.8,Champ-sur-Drac
2018-09-01,8.5,Champ-sur-Drac
2018-10-01,13.3,Champ-sur-Drac
2018-11-01,19.9,Champ-sur-Drac
2018-12-01,25.5,Champ-sur-Drac
2019-01-01,22.5,Champ-sur-Drac
2019-02-01,27.9,Champ-sur-Drac
2019-03-01,15.9,Champ-sur-Drac
2019-04-01,11.5,Champ-sur-Drac
2019-05-01,8.4,Champ-sur-Drac
2019-06-01,8.9,Champ-sur-Drac
2019-07-01,9.6,Champ-sur-Drac
2019-08-01,9.3,Champ-sur-Drac
2019-09-01,12.6,Champ-sur-Drac
2019-10-01,13.7,Champ-sur-Drac
2019-11-01,16.8,Champ-sur-Drac
2019-12-01,18.6,Champ-sur-Drac
2020-01-01,25.9,Champ-sur-Drac
2020-02-01,20.1,Champ-sur-Drac
2017-03-01,18,Voiron Urbain
2017-04-01,11,Voiron Urbain
2017-05-01,9.3,Voiron Urbain
2017-06-01,7.5,Voiron Urbain
2017-07-01,7.5,Voiron Urbain
2017-08-01,8.9,Voiron Urbain
2017-09-01,16.3,Voiron Urbain
2017-10-01,22.6,Voiron Urbain
2017-11-01,24.5,Voiron Urbain
2017-12-01,29.4,Voiron Urbain
2018-01-01,26.7,Voiron Urbain
2018-02-01,19.9,Voiron Urbain
2018-03-01,19.2,Voiron Urbain
2018-04-01,13.2,Voiron Urbain
2018-05-01,11,Voiron Urbain
2018-06-01,6.6,Voiron Urbain
2018-07-01,8,Voiron Urbain
2018-08-01,9.5,Voiron Urbain
2018-09-01,14,Voiron Urbain
