Date,dioxyde d'azote  (µg/m³),Station
2020-02-07,,INSPIRA-MaisonProjet
2023-02-06,,INSPIRA-MaisonProjet
2020-03-01,11.1,Champ-sur-Drac
2020-04-01,7,Champ-sur-Drac
2020-05-01,5.2,Champ-sur-Drac
2020-06-01,5,Champ-sur-Drac
2020-07-01,7.7,Champ-sur-Drac
2020-08-01,9,Champ-sur-Drac
2020-09-01,10.5,Champ-sur-Drac
2020-10-01,11.4,Champ-sur-Drac
2020-11-01,18,Champ-sur-Drac
2020-12-01,20.7,Champ-sur-Drac
2021-01-01,19.7,Champ-sur-Drac
2021-02-01,19.4,Champ-sur-Drac
2021-03-01,13.9,Champ-sur-Drac
2021-04-01,9.4,Champ-sur-Drac
2021-05-01,7.1,Champ-sur-Drac
2021-06-01,7.2,Champ-sur-Drac
2021-07-01,7,Champ-sur-Drac
2021-08-01,6.2,Champ-sur-Drac
2021-09-01,9.7,Champ-sur-Drac
2021-10-01,11.7,Champ-sur-Drac
2021-11-01,16.4,Champ-sur-Drac
2021-12-01,21.3,Champ-sur-Drac
2022-01-01,23.4,Champ-sur-Drac
2022-02-01,18.1,Champ-sur-Drac
2022-03-01,16.7,Champ-sur-Drac
2022-04-01,9.6,Champ-sur-Drac
2022-05-01,7.7,Champ-sur-Drac
2022-06-01,8.6,Champ-sur-Drac
2022-07-01,7.5,Champ-sur-Drac
2022-08-01,8.2,Champ-sur-Drac
2022-09-01,7.8,Champ-sur-Drac
2022-10-01,11.1,Champ-sur-Drac
2022-11-01,15.3,Champ-sur-Drac
2022-12-01,19.9,Champ-sur-Drac
2023-01-01,19.6,Champ-sur-Drac
2023-02-01,19.8,Champ-sur-Drac
2020-03-01,11.7,Voiron Urbain
2020-04-01,6.8,Voiron Urbain
2020-05-01,5.8,Voiron Urbain
2020-06-01,6.6,Voiron Urbain
2020-07-01,7.1,Voiron Urbain
2020-08-01,8.3,Voiron Urbain
2020-09-01,12.3,Voiron Urbain
2020-10-01,15,Voiron Urbain
2020-11-01,18.1,Voiron Urbain
2020-12-01,23,Voiron Urbain
2021-01-01,23.1,Voiron Urbain
2021-02-01,21.7,Voiron Urbain
2021-03-01,15.4,Voiron Urbain
2021-04-01,9.9,Voiron Urbain
2021-05-01,7.5,Voiron Urbain
2021-06-01,7.2,Voiron Urbain
2021-07-01,7.3,Voiron Urbain
2021-08-01,,Voiron Urbain
2021-09-01,10.4,Voiron Urbain
2021-10-01,14.2,Voiron Urbain
2021-11-01,18.3,Voiron Urbain
2021-12-01,29.1,Voiron Urbain
2022-01-01,22.3,Voiron Urbain
2022-02-01,18.6,Voiron Urbain
2022-03-01,19.7,Voiron Urbain
2022-04-01,12.1,Voiron Urbain
2022-05-01,9.1,Voiron Urbain
2022-06-01,9.1,Voiron Urbain
2022-07-01,,Voiron Urbain
2022-08-01,7.4,Voiron Urbain
2022-09-01,8.6,Voiron Urbain
2022-10-01,13.8,Voiron Urbain
2022-11-01,19.2,Voiron Urbain
2022-12-01,22.3,Voiron Urbain
2023-01-01,20.4,Voiron Urbain
2023-02-01,23.4,Voiron Urbain
2020-03-01,17,St-Martin-d'Hères
2020-04-01,10,St-Martin-d'Hères
2020-05-01,9.5,St-Martin-d'Hères
2020-06-01,10.2,St-Martin-d'Hères
2020-07-01,11,St-Martin-d'Hères
2020-08-01,12.6,St-Martin-d'Hères
2020-09-01,17.2,St-Martin-d'Hères
2020-10-01,19,St-Martin-d'Hères
2020-11-01,,St-Martin-d'Hères
2020-12-01,29.2,St-Martin-d'Hères
2021-01-01,27.6,St-Martin-d'Hères
2021-02-01,27.8,St-Martin-d'Hères
2021-03-01,21.7,St-Martin-d'Hères
2021-04-01,12.2,St-Martin-d'Hères
2021-05-01,10.1,St-Martin-d'Hères
2021-06-01,8.9,St-Martin-d'Hères
2021-07-01,9.4,St-Martin-d'Hères
2021-08-01,8.5,St-Martin-d'Hères
2021-09-01,14,St-Martin-d'Hères
2021-10-01,19.7,St-Martin-d'Hères
2021-11-01,20.5,St-Martin-d'Hères
2021-12-01,31.8,St-Martin-d'Hères
2022-01-01,32.4,St-Martin-d'Hères
2022-02-01,26.5,St-Martin-d'Hères
2022-03-01,26.7,St-Martin-d'Hères
2022-04-01,15.5,St-Martin-d'Hères
2022-05-01,11.3,St-Martin-d'Hères
2022-06-01,12.4,St-Martin-d'Hères
2022-07-01,10,St-Martin-d'Hères
