Date,dioxyde d'azote  (µg/m³),Station
2015-03-01,20,Grenoble Periurbain Sud
2015-04-01,11,Grenoble Periurbain Sud
2015-05-01,10,Grenoble Periurbain Sud
2015-06-01,10,Grenoble Periurbain Sud
2015-07-01,12,Grenoble Periurbain Sud
2015-08-01,10,Grenoble Periurbain Sud
2015-09-01,10,Grenoble Periurbain Sud
2015-10-01,17,Grenoble Periurbain Sud
2015-11-01,18,Grenoble Periurbain Sud
2015-12-01,24,Grenoble Periurbain Sud
2016-01-01,25,Grenoble Periurbain Sud
2016-02-01,15,Grenoble Periurbain Sud
2016-03-01,17,Grenoble Periurbain Sud
2016-04-01,8,Grenoble Periurbain Sud
2016-05-01,5,Grenoble Periurbain Sud
2016-06-01,5,Grenoble Periurbain Sud
2016-07-01,6,Grenoble Periurbain Sud
2016-08-01,5,Grenoble Periurbain Sud
2016-09-01,7,Grenoble Periurbain Sud
2016-10-01,10,Grenoble Periurbain Sud
2016-11-01,14,Grenoble Periurbain Sud
2016-12-01,24,Grenoble Periurbain Sud
2017-01-01,30,Grenoble Periurbain Sud
2017-02-01,16,Grenoble Periurbain Sud
2014-03-01,52,Grenoble Boulevards
2014-04-01,45,Grenoble Boulevards
2014-05-01,38,Grenoble Boulevards
2014-06-01,45,Grenoble Boulevards
2014-07-01,40,Grenoble Boulevards
2014-08-01,38,Grenoble Boulevards
2014-09-01,44,Grenoble Boulevards
2014-10-01,51,Grenoble Boulevards
2014-11-01,57,Grenoble Boulevards
2014-12-01,56,Grenoble Boulevards
2015-01-01,55,Grenoble Boulevards
2015-02-01,57,Grenoble Boulevards
2015-03-01,52,Grenoble Boulevards
2015-04-01,45,Grenoble Boulevards
2015-05-01,43,Grenoble Boulevards
2015-06-01,43,Grenoble Boulevards
2015-07-01,,Grenoble Boulevards
2015-08-01,,Grenoble Boulevards
2015-09-01,43,Grenoble Boulevards
2015-10-01,49,Grenoble Boulevards
2015-11-01,60,Grenoble Boulevards
2015-12-01,73,Grenoble Boulevards
2016-01-01,64,Grenoble Boulevards
2016-02-01,46,Grenoble Boulevards
2016-03-01,46,Grenoble Boulevards
2016-04-01,45.6,Grenoble Boulevards
2016-05-01,42.1,Grenoble Boulevards
2016-06-01,37.6,Grenoble Boulevards
2016-07-01,36.7,Grenoble Boulevards
2016-08-01,33.7,Grenoble Boulevards
2016-09-01,43.4,Grenoble Boulevards
2016-10-01,39,Grenoble Boulevards
2016-11-01,46,Grenoble Boulevards
2016-12-01,61,Grenoble Boulevards
2017-01-01,56,Grenoble Boulevards
2017-02-01,53,Grenoble Boulevards
2014-03-01,21,Gresivaudan Periurbain
