num_poste,num_poste,nom_usuel,lat,lon,alti,aaaammjj,rr,qrr,tn,qtn,htn,qhtn,tx,qtx,htx,qhtx,tm,qtm,tntxm,qtntxm,tampli,qtampli,tnsol,qtnsol,tn50,qtn50,dg,qdg,ffm,qffm,ff2m,qff2m,fxy,qfxy,dxy,qdxy,hxy,qhxy,fxi,qfxi,dxi,qdxi,hxi,qhxi,fxi2,qfxi2,dxi2,qdxi2,hxi2,qhxi2,fxi3s,qfxi3s,dxi3s,qdxi3s,hxi3s,qhxi3s,drr,qdrr
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20220804,0,1,22,1,257,9,37.6,1,1241,9,29.5,1,29.8,1,15.6,1,17.9,9,20.5,9,0,9,1.7,1,,,4.1,1,100,1,1604,9,9.6,1,330,1,1255,9,,,,,,,7.8,9,,,1255,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20211125,0.2,1,4.9,1,210,9,8.3,1,1350,9,6,1,6.6,1,3.4,1,3.9,9,4.4,9,0,9,1.9,1,,,3.9,1,170,1,6,9,9.3,1,340,9,2251,9,,,,,,,7.7,9,,,102,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20200306,0,1,6.7,1,556,9,12.6,1,1054,9,9.4,1,9.7,1,5.9,1,4.4,9,5.7,9,0,9,1.8,1,,,3.4,1,360,1,429,9,9.3,1,350,9,2249,9,,,,,,,8.3,9,,,2249,9,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20200807,0,1,16.3,1,,,37.1,1,,,,,26.7,1,20.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20220718,0,1,21,1,47,9,38.1,1,1503,9,29.6,1,29.6,1,17.1,1,15.8,9,19,9,0,9,2,1,,,4.3,1,170,1,707,9,10.2,1,300,1,1306,9,,,,,,,8.8,9,,,1436,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20220616,0,1,17.8,1,233,9,35,1,1504,9,27.1,1,26.4,1,17.2,1,14.5,9,16.5,9,0,9,1.7,1,,,3.6,1,320,1,1429,9,9.7,1,360,1,1403,9,,,,,,,8.5,9,,,1403,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20200225,1.4,1,5,1,357,9,14.5,1,1450,9,9.4,1,9.8,1,9.5,1,1.4,9,3.4,9,0,9,1.9,1,,,4.9,1,350,1,1152,9,13.8,1,350,9,2119,9,,,,,,,11.7,9,,,2119,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20210809,0,1,13.2,1,422,9,28.6,1,1331,9,20.8,1,20.9,1,15.4,1,10.1,9,10.4,9,0,9,1.2,1,,,3.1,1,170,9,2155,9,6.4,1,170,1,546,9,,,,,,,5.9,9,,,546,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20210326,3.6,1,6.2,1,502,9,17.8,1,1437,9,12.2,1,12,1,11.6,1,2.4,9,5.3,9,0,9,3,1,,,5.2,1,350,9,2110,9,13.4,1,340,9,2102,9,,,,,,,11.5,9,,,2058,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20200630,0,1,15.7,1,458,9,29.2,1,1606,9,23.1,1,22.5,1,13.5,1,10.9,9,13.7,9,0,9,1.4,1,,,3.7,1,310,1,1442,9,9.4,1,340,1,1415,9,,,,,,,7.9,9,,,1514,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20220605,0,1,21.5,1,2338,9,28.2,1,1138,9,23.3,1,24.9,1,6.7,1,16.6,9,17.5,9,0,9,1.8,1,,,4.3,1,320,1,904,9,13.6,1,340,1,849,9,,,,,,,11.3,9,,,48,9,,
38185012,38185012,GRENOBLE-CEA-RADOME,45.2115,5.682833,213,20200414,0,1,10.7,1,550,9,19.6,1,1511,9,14.5,1,15.2,1,8.9,1,8.1,9,9.9,9,0,9,2.7,1,,,5.1,1,310,1,1237,9,15.7,1,320,1,1132,9,,,,,,,12.5,9,,,1132,9,,
38421002,38421002,ST-M-D'HERES-GALOCHERE,45.169167,5.768833,220,20200501,32,1,9.4,1,,,12.1,1,,,,,10.8,1,2.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
