IRIS,COM,TYP_IRIS,LAB_IRIS,C21_MEN,C21_MENPSEUL,C21_MENHSEUL,C21_MENFSEUL,C21_MENSFAM,C21_MENFAM,C21_MENCOUPSENF,C21_MENCOUPAENF,C21_MENFAMMONO,C21_PMEN,C21_PMEN_MENPSEUL,C21_PMEN_MENHSEUL,C21_PMEN_MENFSEUL,C21_PMEN_MENSFAM,C21_PMEN_MENFAM,C21_PMEN_MENCOUPSENF,C21_PMEN_MENCOUPAENF,C21_PMEN_MENFAMMONO,P21_POP15P,P21_POP1524,P21_POP2554,P21_POP5579,P21_POP80P,P21_POPMEN15P,P21_POPMEN1524,P21_POPMEN2554,P21_POPMEN5579,P21_POPMEN80P,P21_POP15P_PSEUL,P21_POP1524_PSEUL,P21_POP2554_PSEUL,P21_POP5579_PSEUL,P21_POP80P_PSEUL,P21_POP15P_MARIEE,P21_POP15P_PACSEE,P21_POP15P_CONCUB_UNION_LIBRE,P21_POP15P_VEUFS,P21_POP15P_DIVORCEE,P21_POP15P_CELIBATAIRE,C21_MEN_CS1,C21_MEN_CS2,C21_MEN_CS3,C21_MEN_CS4,C21_MEN_CS5,C21_MEN_CS6,C21_MEN_CS7,C21_MEN_CS8,C21_PMEN_CS1,C21_PMEN_CS2,C21_PMEN_CS3,C21_PMEN_CS4,C21_PMEN_CS5,C21_PMEN_CS6,C21_PMEN_CS7,C21_PMEN_CS8,C21_FAM,C21_COUPAENF,C21_FAMMONO,C21_COUPSENF,C21_NE24F0,C21_NE24F1,C21_NE24F2,C21_NE24F3,C21_NE24F4P,C21_MEN-FAM,C21_MEN1FCOUPSENF,C21_MEN1FCOUPUNIQENFCOUP,C21_MEN1FCOUPENF1ADUL,C21_MEN1FMONO,C21_PMENFAM,C21_PMEN1FCOUPSENF,C21_PMEN1FCOUPUNIQENFCOUP,C21_PMEN1FCOUPENF1ADUL,C21_PMEN1FMONO,C21_FAMTRAD,C21_FAMRECOMP
380570000,38057,Z,5,288.906368109773,72.2449379532144,36.1224689766072,36.1224689766072,0.0,216.661430156559,111.936802345012,74.5499393898856,30.174688421661,653.969567259405,72.2449379532144,36.1224689766072,36.1224689766072,0.0,581.724629306191,223.873604690025,272.836845364335,85.0141792518317,573.314597677939,64.6759251698046,206.547137030336,257.128187098371,44.963348379428,573.314597677939,64.6759251698046,206.547137030336,257.128187098371,44.963348379428,72.2449379532144,3.09621162656633,18.577269759398,35.0903984344184,15.4810581328316,308.471233757764,43.7570920595216,50.3153074710435,29.7723631103406,30.7180595343077,110.280541744962,0.0,30.1073827050374,85.7926416821209,50.7417985784345,10.1770863670496,4.87711169876609,107.210347078365,0.0,0.0,89.3338165478332,220.475107810912,110.945600125559,20.210553679261,24.3855584938304,188.61893060201,0.0,216.661430156559,74.5499393898856,30.174688421661,111.936802345012,122.112875285468,40.2051720629678,39.7120477118249,9.75422339753218,4.87711169876609,216.661430156559,111.936802345012,54.6929303123058,19.8570090775797,30.174688421661,581.724629306191,223.873604690025,198.565164667461,74.2716806968737,85.0141792518317,54.6929303123058,19.8570090775797
380590000,38059,Z,5,1028.70150360049,241.018834469408,54.1062689625202,186.912565506888,4.97195257909713,782.710716551981,368.141347151716,349.55580075822,65.0135686420445,2482.50887908107,241.018834469408,54.1062689625202,186.912565506888,9.94390515819426,2231.54613945347,756.713520971903,1309.29746797646,165.535150505105,2115.35601101203,236.859282094316,877.253544486319,796.882834531947,204.360349899447,2068.35699552577,234.859323988518,839.254340476148,789.882981161653,204.360349899447,244.9538358485,2.95125103431928,52.138768272974,123.95254344141,65.9112730997973,1127.38445546191,165.24238934953,198.740466361741,104.685685783774,109.9463357596,409.356678295479,4.97195257909713,55.069657192873,221.097481471809,190.883502909249,95.3356625153578,75.2327977134174,356.491537165026,29.6189120536561,9.94390515819426,145.645563813284,661.887337600375,565.188517403911,272.605083468203,212.310651236452,575.365003188802,39.5628172118504,787.845749157855,354.690833364095,65.0135686420445,368.141347151716,413.267105477372,165.851966569882,167.646416263607,41.0802608469936,0.0,782.710716551981,363.006314545842,319.020334338438,30.5354664197822,65.0135686420445,2231.54613945347,731.038357942532,1182.02056969146,127.276898285003,165.535150505105,324.155366944312,30.5354664197822
380680000,38068,Z,5,565.564629658314,125.530408597773,48.2809263837588,77.2494822140141,0.0,440.034221060541,199.465166908283,202.962579554197,37.6064745980606,1386.6539964024,125.530408597773,48.2809263837588,77.2494822140141,0.0,1261.12358780463,398.930333816567,763.775336924896,98.4179170631642,1143.27873374369,132.706584683034,548.221030971756,402.475122106382,59.8759959825175,1137.27873230475,132.706584683034,543.22102977264,401.475121866558,59.8759959825175,121.667934487072,0.0,42.4872152177077,63.7308228265616,15.4498964428028,573.150531109792,129.582015594098,124.795806159204,41.318446840802,49.7748192932721,224.657114746522,0.0,32.8585940489798,154.121259986776,94.0581960446325,56.1437110849261,42.1379374450118,176.746589766641,9.49834128134683,0.0,88.7656020611904,462.485073302094,243.407399777116,162.757910096078,119.669907272645,290.571421330583,18.9966825626937,440.034221060541,202.962579554197,37.6064745980606,199.465166908283,213.479783111974,102.931653979064,87.4610666076209,31.7155429618345,4.44617440004767,440.034221060541,199.465166908283,184.276424615942,18.6861549382544,37.6064745980606,1261.12358780463,398.930333816567,707.716872110133,56.0584648147633,98.4179170631642,184.276424615942,18.6861549382544
380710000,38071,Z,5,1470.0716063339,438.42997110705,193.117963463819,245.31200764323,15.5142155937512,1016.1274196331,398.008843732719,432.518245075757,185.600330824625,3339.3494350987,438.42997110705,193.117963463819,245.31200764323,31.0284311875023,2869.89103280415,816.324595243317,1620.97384809041,432.592589470419,2749.08837965665,330.671789563906,1242.87137677957,988.690400100859,186.854813212308,2749.08837965665,330.671789563906,1242.87137677957,988.690400100859,186.854813212308,437.386090223461,9.39492795229392,138.836157517232,194.161844347408,94.9931604065274,1292.19490572975,182.028774711769,328.599423060307,189.489672970689,175.317689673869,581.457913510267,0.0,51.4780204982418,113.013488363929,313.093162823888,206.156419475696,266.980707013346,456.908952023603,62.4408561351967,0.0,128.19568211815,307.254591713816,879.071002629044,486.242372571786,740.265444047751,715.19386509129,83.1264769268649,1016.1274196331,432.518245075757,185.600330824625,398.008843732719,485.494711855061,236.458342319301,233.85971592077,50.3470854108758,9.96756412709169,1016.1274196331,398.008843732719,371.454431045393,61.0638140303636,185.600330824625,2869.89103280415,816.324595243317,1392.4640723716,228.509775718809,432.592589470419,371.454431045393,61.0638140303636
381110101,38111,H,4,942.151177391321,312.155049861379,127.932397484172,184.222652377207,5.03338677853189,624.96274075141,266.118662061417,254.048115463878,104.795963226115,2121.74162757808,312.155049861379,127.932397484172,184.222652377207,10.0667735570638,1799.51980415964,570.715619936921,965.077588705995,263.726595516719,1770.55358714929,246.007976772303,744.948591521162,661.22158347087,118.375435384951,1766.55375393528,242.008143558293,744.948591521162,661.22158347087,118.375435384951,310.061129748891,8.18767343898699,74.6890192543855,176.01147806185,51.1729589936687,852.946803312911,106.331177174673,136.759627122789,105.015728628953,127.906550284512,441.593700625448,14.9364471474422,19.4800254819752,133.614917490499,189.568115278057,130.31473042585,88.886688305644,334.978009295475,30.3722439663778,39.6122414756413,77.7590731711263,402.922912752882,479.182755257319,292.354259813026,279.472166668543,500.423566923496,50.014651516045,639.332215068075,263.627765008322,109.585787998337,266.118662061417,300.94105657438,148.543110149996,151.528140872058,33.6086222237096,4.71128524793121,624.96274075141,256.539012516973,219.715529394914,29.5427612967428,104.795963226115,1799.51980415964,522.817372214703,842.760833773901,98.3676310709852,263.726595516719,229.295178939357,34.3325860689646
381110102,38111,H,4,1233.2951406694,394.031784251249,173.988060578474,220.043723672775,0.0,839.263356418155,392.192855788728,351.848818084999,95.2216825444288,2749.57213911901,394.031784251249,173.988060578474,220.043723672775,0.0,2355.54035486776,808.977619345202,1331.36510278872,215.19763273384,2250.91026639382,247.852960621768,974.349221509109,849.131649851498,179.576434411449,2250.91026639382,247.852960621768,974.349221509109,849.131649851498,179.576434411449,388.914488351882,13.3049693383539,129.979315843919,154.54233616088,91.0878670087303,1126.54309482734,198.757728397016,200.691305965599,138.805842378238,140.087631210006,446.024663615623,0.0,49.2690332164068,233.47365053832,264.853978996069,150.199457999182,74.7688744101893,445.378257811136,15.3518876981006,0.0,161.928996407736,650.184265639118,640.67730244821,347.11458429849,192.78829744544,741.526805181916,15.3518876981006,844.133030008534,351.848818084999,95.2216825444288,397.062529379106,431.967457141605,168.99332372446,209.722015261207,28.7389486333312,4.71128524793121,839.263356418155,387.323182198349,288.540399169156,63.3084189158427,95.2216825444288,2355.54035486776,789.498924983688,1078.4534846389,252.911618149821,215.19763273384,288.540399169156,63.3084189158427
381110103,38111,H,4,1245.00530629135,276.333978565811,117.697805685438,158.636172880373,10.0667735570638,958.60455416847,503.0924314155,400.475001187261,55.0371215657091,2976.75665484886,276.333978565811,117.697805685438,158.636172880373,20.1335471141276,2680.28912916892,1020.87506354075,1529.53640838076,129.877657247404,2449.71328465526,258.607040798241,932.95619142461,1088.44625181004,169.703800622369,2449.71328465526,258.607040798241,932.95619142461,1088.44625181004,169.703800622369,285.545111184671,5.11729589936687,55.2667957131622,167.847305499233,57.313714072909,1423.88904256426,162.424183177704,242.377157943988,129.183338461565,108.626731351013,383.212831156736,4.78982477222186,65.0267754868332,282.013217527987,213.253465121141,114.390501034215,74.5212521012008,455.524835435519,35.4854348122282,23.9491238611093,154.158289977955,853.624443791558,615.189992951733,309.868217283272,207.149695907587,757.19790914929,55.6189819263557,968.18551300678,400.475001187261,59.9067951560875,507.803716663431,522.657630561338,183.595600131464,209.322749343828,47.8982477222186,4.71128524793121,958.60455416847,498.222757825122,351.529422812372,44.2342931269576,55.0371215657091,2680.28912916892,1001.39636917924,1349.2468207871,152.021876106073,129.877657247404,356.240708060304,44.2342931269576
381260000,38126,Z,5,1740.41309516362,526.611808795235,222.97977489528,303.632033899955,19.5396418694209,1194.26164449896,579.714637964169,507.129421096065,107.417585438726,4035.27600760724,526.611808795235,222.97977489528,303.632033899955,54.2868820240824,3454.37731678792,1214.70053644091,1944.8946779511,294.782102395909,3424.79460629913,397.885818688614,1421.53971612429,1261.53170626401,343.837365222205,3352.13054541603,397.885818688614,1421.53971612429,1255.30335818832,277.401652414799,520.918708159611,34.158603813745,147.071766420291,226.775175319029,112.913162606546,1798.57864212981,252.527701587699,254.86531073159,224.045760728656,169.526784993812,725.250406127561,0.0,127.120913516094,586.670567169722,180.607554808877,136.130197804078,53.3992488111335,599.06477049512,57.4198425585922,0.0,359.511772754033,1658.70873342029,494.1221094146,339.121517417988,128.69192293966,967.107346048131,88.0126056125368,1209.38736690953,507.129421096065,117.389451401243,584.868494412224,667.999452358865,215.459329653081,214.232688492804,91.2497846518442,20.4461117529373,1194.26164449896,564.588915553597,467.733349542909,39.3960715531557,107.417585438726,3454.37731678792,1143.88993390251,1816.73459732912,128.160080621983,294.782102395909,467.733349542909,39.3960715531557
381500101,38150,H,4,1408.84316512358,544.076943393465,278.783227193346,265.293716200119,28.8373101136956,835.928911616422,350.32283006766,305.966655960502,179.63942558826,2983.51663570242,544.076943393465,278.783227193346,265.293716200119,68.1053840895117,2371.33430821944,715.537110009557,1195.22949208793,460.567706121953,2454.53712510386,353.052453062071,1139.1913237997,777.221002955114,185.072345286977,2454.53712510386,353.052453062071,1139.1913237997,777.221002955114,185.072345286977,544.076943393465,37.770630781034,203.241965631278,219.42937882315,83.6349681580038,958.708476785292,188.377507226506,295.357431589425,149.575758717213,163.642348272721,698.875602512706,4.4965036644088,82.662563018766,152.566991646526,260.604151371728,249.425748777766,192.699735187434,414.565097710582,51.8223737463733,4.4965036644088,217.990235470812,337.719045197476,644.466393252616,585.031280091728,470.256394253789,621.06571391631,102.491069855281,835.928911616422,305.966655960502,179.63942558826,350.32283006766,413.176429271825,165.417731406297,180.287029113366,65.2411244811269,11.8065973438066,835.928911616422,350.32283006766,294.702083209888,11.2645727506136,179.63942558826,2371.33430821944,715.537110009557,1132.02362862682,63.2058634611142,460.567706121953,294.702083209888,11.2645727506136
381500102,38150,H,4,1655.57338016679,557.566454386692,229.321686884849,328.244767501843,9.68820226127298,1088.31872351882,465.787586446279,492.051015755303,130.480121317239,3699.29099849961,557.566454386692,229.321686884849,328.244767501843,24.3402211472919,3117.38432296562,993.113418576685,1801.73233980699,322.538564581943,3103.35079993385,405.65352351613,1377.18432846963,1075.88817828379,244.624769664303,3074.93326276566,405.65352351613,1377.18432846963,1072.22139929435,219.874011485556,560.264356585337,26.9790219864528,164.572034117362,246.408400809602,122.304899671919,1366.36960447548,280.088932775408,330.884982147483,194.512755532793,186.348138393335,745.146386609356,0.0,58.9689090392426,280.595437590192,296.978300564862,218.367183582881,239.100424569042,509.386389464131,52.1767353564338,0.0,167.648334221424,704.845008867526,687.90164785572,561.725159840647,644.601244617299,819.518070687726,113.051532409264,1110.01406013155,492.051015755303,146.960075998913,471.002968377339,544.993490090185,285.592609544734,202.922263264895,64.6990998879338,11.8065973438066,1088.31872351882,444.092249833545,434.088792788099,57.9622229672039,130.480121317239,3117.38432296562,888.184499667089,1556.30511530681,245.427224500185,322.538564581943,434.088792788099,57.9622229672039
