id_lieu,geo_point_2d,nom_lieu,ad_lieu,com_lieu,insee,type,date_maj,ouvert,source,xlong,ylat,nbre_pl,nbre_pmr,duree,horaires,proprio,lumiere,comm
38039-C-002,"45.264413,5.878484",Les Cloyères,Chemin des Fontaines,Bernin,38039,Aire de covoiturage,2020-10-12,true,200018166,5.878484,45.264413,1,,"","",Le Grésivaudan,"",ecov
38214-C-001,"45.30243664,5.907538356",Parking ZA des Longs Prés,135 Chemin des Longs Prés,Lumbin,38214,Parking,2019-07-18,true,200018166,5.907538356,45.30243664,50,,"","",Le Grésivaudan,"",""
38006-C-001,"45.39404017,6.074773472",Place Verdun,Rue de Bréda,Allevard,38006,Parking,2019-07-18,true,200018166,6.074773472,45.39404017,,,"","",Le Grésivaudan,"",""
38006-C-002,"45.392397,6.071227",Les Amoureux,Boulevard Jules Ferry,Allevard,38006,Aire de covoiturage,2020-10-12,true,200018166,6.071227,45.392397,1,,"","",Le Grésivaudan,true,ecov
38547-C-001,"45.234449,5.881249",Parking Gare de Lancey,3 quai des négociants,Villard-Bonnot,38547,Parking,2019-07-18,true,200018166,5.881249,45.234449,118,,"","",Le Grésivaudan,"",""
38249-C-001,"45.224388,5.818692",Parking Pré de l'Eau,Inovallée - 1525 Route de la Doux,Montbonnot-Saint-Martin,38249,Parking,2019-07-18,true,200018166,5.818692,45.224388,150,,"","",Le Grésivaudan,"",""
38249-C-002,"45.223961,5.819406",Pré de l'Eau,ZA Pré Millet - Inovallée,Montbonnot-Saint-Martin,38249,Aire de covoiturage,2020-10-12,true,200018166,5.819406,45.223961,1,,"","",Le Grésivaudan,"",ecov
38249-C-003,"45.218837,5.809946",Croix Verte,ZA Pré Millet - Inovallée,Montbonnot-Saint-Martin,38249,Aire de covoiturage,2020-10-12,true,200018166,5.809946,45.218837,1,,"","",Le Grésivaudan,"",ecov
38397-C-001,"45.254444,5.84029",Parking Mémorial Doyen Gosse,Rue Doyen Gosse,Saint-Ismier,38397,Parking,2019-07-18,true,200018166,5.84029,45.254444,15,,"","",Le Grésivaudan,"",""
38920-C-001,"45.262624,5.901533",Gare de Brignoud,Avenue Robert Huant,Brignoud,38920,Parking,2019-07-18,true,200018166,5.901533,45.262624,115,,"","",Le Grésivaudan,"",""
38181-C-001,"45.347596,5.97549",Gare de Goncelin,15 place de la Gare,Goncelin,38181,Parking,2019-07-18,true,200018166,5.97549,45.347596,120,,"","",Le Grésivaudan,"",""
38314-C-001,"45.432011,6.021332",Gare de Pontcharra,1 avenue de la Gare,Pontcharra,38314,Parking,2019-07-18,true,200018166,6.021332,45.432011,110,,"","",Le Grésivaudan,"",""
38474-C-002,"45.212859,5.6600055",Jean Prévost,Rue du Vercors,Sassenage,38474,Aire de covoiturage,2019-10-15,true,200040715,5.6600055,45.212859,1,0,"","",Grenoble-Alpes Métropole,true,""
