IRIS,COM,TYP_IRIS,LAB_IRIS,P21_LOG,P21_RP,P21_RSECOCC,P21_LOGVAC,P21_MAISON,P21_APPART,P21_RP_1P,P21_RP_2P,P21_RP_3P,P21_RP_4P,P21_RP_5PP,P21_NBPI_RP,P21_RPMAISON,P21_NBPI_RPMAISON,P21_RPAPPART,P21_NBPI_RPAPPART,P21_RP_M30M2,P21_RP_3040M2,P21_RP_4060M2,P21_RP_6080M2,P21_RP_80100M2,P21_RP_100120M2,P21_RP_120M2P,P21_RP_ACHTOT,P21_RP_ACH19,P21_RP_ACH45,P21_RP_ACH70,P21_RP_ACH90,P21_RP_ACH05,P21_RP_ACH18,P21_RPMAISON_ACHTOT,P21_RPMAISON_ACH19,P21_RPMAISON_ACH45,P21_RPMAISON_ACH70,P21_RPMAISON_ACH90,P21_RPMAISON_ACH05,P21_RPMAISON_ACH18,P21_RPAPPART_ACHTOT,P21_RPAPPART_ACH19,P21_RPAPPART_ACH45,P21_RPAPPART_ACH70,P21_RPAPPART_ACH90,P21_RPAPPART_ACH05,P21_RPAPPART_ACH18,P21_MEN,P21_MEN_ANEM0002,P21_MEN_ANEM0204,P21_MEN_ANEM0509,P21_MEN_ANEM10P,P21_PMEN,P21_PMEN_ANEM0002,P21_PMEN_ANEM0204,P21_PMEN_ANEM0509,P21_PMEN_ANEM10P,P21_NBPI_RP_ANEM0002,P21_NBPI_RP_ANEM0204,P21_NBPI_RP_ANEM0509,P21_NBPI_RP_ANEM10P,P21_RP_PROP,P21_RP_LOC,P21_RP_LOCHLMV,P21_RP_GRAT,P21_NPER_RP,P21_NPER_RP_PROP,P21_NPER_RP_LOC,P21_NPER_RP_LOCHLMV,P21_NPER_RP_GRAT,P21_ANEM_RP,P21_ANEM_RP_PROP,P21_ANEM_RP_LOC,P21_ANEM_RP_LOCHLMV,P21_ANEM_RP_GRAT,P21_RP_SDB,P21_RP_CCCOLL,P21_RP_CCIND,P21_RP_CINDELEC,P21_RP_ELEC,P21_RP_EAUCH,P21_RP_BDWC,P21_RP_CHOS,P21_RP_CLIM,P21_RP_TTEGOU,P21_RP_GARL,P21_RP_VOIT1P,P21_RP_VOIT1,P21_RP_VOIT2P,P21_RP_HABFOR,P21_RP_CASE,P21_RP_MIBOIS,P21_RP_MIDUR,C21_RP_HSTU1P,C21_RP_HSTU1P_SUROCC
380570000,38057,Z,5,314.094918246524,290.804697426335,8.10094637223976,15.1892744479495,247.711613525328,63.3404608340903,6.17796000498945,17.4875489099551,26.5598431234623,59.8295609454937,180.749784442434,1440.69292469785,229.484484187789,1248.89192039694,60.3026059445004,190.783397006865,5.16035271094388,7.19556729903502,12.3559200099789,27.5633896996072,56.7612567476345,73.017475603931,108.750735355204,289.787090132289,43.4933468777777,1.99263274454159,37.5281382180006,159.15371937395,38.6729027108425,8.94635020717677,228.466876893743,35.2942301622027,1.99263274454159,33.4573036711808,125.426227701935,24.3677397007517,7.92874291313121,60.3026059445004,8.19911671557494,0.0,4.07083454681984,33.7274916720148,13.2875557160453,1.01760729404557,290.804697426335,28.3415176049763,34.3612373952021,35.0544013793441,193.047541046812,667.0,66.9639612686685,85.0714805983014,109.038636736535,405.925921396495,120.590962677263,142.798332676127,165.125289762559,1012.1783395819,239.916309849814,49.8707802824747,0.0,1.01760729404557,667.0,566.354295970049,98.6104894418597,0.0,2.03521458809113,6292.70391516024,6052.58364171084,232.997022391085,0.0,7.12325105831896,287.737412296055,8.21337727839937,155.548637056392,90.519287837496,,,,,,,243.030160193485,283.594666879156,111.460181941774,172.134484937382,,,,,288.906368109773,4.87711169876609
380590000,38059,Z,5,1099.89250851829,1029.58714166766,16.6512710962021,53.6540957544289,900.626144418145,185.451183505834,10.8318939635504,55.313808149178,110.23265165668,197.469878015547,655.738909882707,5223.5564994067,846.972048663716,4668.98110550961,168.799912409632,525.950642192644,10.8425341345967,20.7333535208632,47.4862509918746,103.198248668872,158.395354026959,224.017631392813,464.913768931682,981.530724679809,78.821128791221,32.9246386091057,145.805906968308,279.037103574922,269.749054974078,175.192891762174,819.755847240406,74.8218248079025,28.978997058967,131.861889754203,250.3155483442,208.168090642033,125.609496633101,147.95969684509,3.01555363854541,3.94564155013871,13.9440172141051,26.754054541176,59.6134636424988,40.6869662586262,1029.58714166766,98.8710633587739,129.221949268253,159.501387479154,641.99274156148,2474.00098451374,238.238380494044,347.733535412087,450.767394754628,1437.26167385298,400.75447598349,562.433035183456,742.883406825174,3517.48558141458,893.161927738675,112.504562970955,4.94014714926204,23.9206509580307,2474.00098451374,2182.03622516842,238.817849351371,6.95043868960137,53.1469099939489,20225.3120483428,19263.6220127455,688.249332187752,35.4578032626245,273.440703409492,1013.67562126108,14.9602659780018,526.294291191957,353.133051436034,,,,,,,922.130288387719,992.098111772517,338.038395866184,654.059715906332,,,,,1023.78275187662,15.1870719477529
380680000,38068,Z,5,601.711549332097,565.333468917052,9.30602057129068,27.0720598437547,513.663641015333,83.5056323548434,0.0,26.8644644349151,50.3476339430571,121.659419137879,366.4619514012,2827.6562532177,486.591581171579,2564.88936882863,75.8916155237874,254.262651085361,0.934307746912722,5.77792676651056,28.732821910422,50.2241759288104,88.0205541208934,160.039268644356,231.604413799146,466.682133133599,51.2053124713033,13.2984518488412,51.9107313055071,160.559821775303,108.92285800285,80.7849577297942,428.9458297866,47.3744071596836,13.2984518488412,49.9794942501568,153.894428641538,93.0984447312737,71.3006031551063,34.8860311253136,3.83090531161972,0.0,1.93123705535035,4.73415607841444,15.8244132715764,8.56531940835269,565.333468917052,64.8681143117797,119.92704299561,45.6512199238569,334.887091685805,1399.99999856106,169.312985794281,337.735701747071,144.304706347072,748.646604672637,262.452843519909,548.39147717241,228.714872821687,1788.0970597037,482.416450459513,72.4825717363977,16.1965807217069,10.4344467211411,1399.99999856106,1194.83815948215,183.576282115841,29.2488654288537,21.5855569630727,10142.5149257327,9719.16871898043,298.108188964293,43.9803257571974,125.238017787937,551.14525792192,10.4499731023631,255.367081224004,181.702415955039,,,,,,,525.449545131102,549.026905068794,193.435909953464,355.59099511533,,,,,565.564629658314,14.0922481098006
380710000,38071,Z,5,1569.10004465587,1469.01968172652,19.6033700583278,80.4769928710301,1081.06831827253,483.912927163878,23.9996604785241,85.425523545213,261.948772555183,510.574469668862,587.071255478734,6286.25115060982,1016.06767018439,4761.1030338213,448.83321232266,1513.86352479657,12.5169707590538,27.0457792823905,139.267674835642,360.75164036645,498.731276151611,264.368709403474,166.337630927897,1384.49866444696,137.328267150566,166.385717291718,340.447557781249,436.454807876817,175.142365730731,128.739948615882,988.501948558746,105.377853467554,132.071517874734,240.022686202805,335.346372151684,116.242604539191,59.4409143227776,391.877916668748,30.9536572703033,33.2703185333959,100.424871578444,101.108435725132,57.8654801519565,68.2551534095164,1469.01968172652,192.754142764038,226.326676109054,168.236926952259,881.701935901165,3339.0,455.212999654989,582.294323049601,484.305679699399,1817.18699759601,703.421338869416,874.978435628597,709.69248069432,3998.15889541748,1125.49607348231,326.917247697647,192.225122193663,16.6063605465613,3339.0,2669.3059277503,642.801970672941,399.593702155025,26.8921015767624,28857.86248979,24857.1659474893,3695.92034132696,2283.6519861644,304.776200973707,1426.64974314911,170.941190607126,846.325333191817,296.395990546617,,,,,,,1174.49990729116,1367.91604221499,603.541256136528,764.37478607846,,,,,1433.53577540831,10.248132142387
381110101,38111,H,4,997.903482720428,947.822924181223,11.0177228786251,39.0628356605799,531.937322456062,457.027050389617,22.3112761076521,107.054006228752,177.630971411225,324.687637627065,316.139032806529,3806.32805398073,503.892209674107,2385.93295118621,436.994826973935,1409.42244306655,22.2877752312812,30.6702117478672,131.981674447943,250.141025222298,263.351624251544,153.092665310839,96.2979479694511,944.005205337826,34.1347932884711,27.8501574904086,246.598109051281,408.710537357904,168.262276780611,58.4493313691502,500.07449083071,26.0962480214882,18.8846792580916,177.982645622698,175.96006036642,64.75240149959,36.3984560624226,436.994826973935,8.03854526698292,6.96556162531186,67.6087860728766,231.79251203704,100.538546664996,22.0508753067275,947.822924181223,82.7034331060592,157.952578386721,142.401725175752,564.765187512691,2151.88450067017,215.000044994988,377.214643142989,376.074042092692,1183.5957704395,295.089618370366,554.801103560433,564.149849089206,2392.28748296072,603.33404546268,316.56057869318,191.706804618716,27.9283000253639,2151.88450067017,1421.88595519227,658.953588287795,414.976280143668,71.0449571901111,16777.3087608272,12859.5025091934,3724.41762662617,2966.7795180187,193.388625007554,900.744912912796,16.0620283084869,542.069583268394,339.761417996353,,,,,,,756.816079436917,852.461272856406,459.376447030312,393.084825826095,,,,,926.79928969322,19.3988455433572
381110102,38111,H,4,1303.15098971583,1234.03981893173,20.032223415682,49.0789473684209,832.713066945537,451.014046361787,20.4691835974675,106.104943746271,215.295142994929,300.380239390942,591.790309202117,5557.17937305165,790.645397772604,4161.95843362203,424.9721559214,1367.58754157304,10.2345917987337,29.6470277422538,118.135276890766,234.179857980919,250.201865440635,251.458238152701,340.182960925717,1227.05746653208,111.512159006047,37.9490459060592,135.675699585814,466.882141427891,208.349750856225,266.688669750043,783.663045372958,78.169948758715,35.9189093704794,113.492491393493,335.346453212249,108.471174513681,112.26406812434,424.9721559214,33.3422102473323,2.03013653557975,22.1832081923206,116.183800517541,96.8081988029243,154.424601625702,1234.03981893173,108.01555907513,223.096288145826,249.276636426268,653.651335284501,2766.65490554294,257.107754864163,527.123440541065,639.053271101635,1343.37043903607,396.630724952227,860.278739596277,1042.21384147858,3258.05606702457,919.567255196282,294.251002446965,123.874569490795,20.2215612884791,2766.65490554294,2164.64169789622,567.182625587102,243.327406819684,34.8305820596144,20367.2111251986,18212.4225205766,1888.12803334907,1013.0116939451,266.660571272893,1216.8910937029,92.0042901001583,679.382266039243,383.873910582927,,,,,,,990.014202526642,1149.27730706807,510.227963696814,639.049343371258,,,,,1212.82595707194,24.7583053872786
381110103,38111,H,4,1324.6320371085,1240.49669876263,30.048335123523,54.0870032223414,1172.45143709396,151.157140834661,3.05359571545313,53.9753776951367,109.182766998396,247.31029614109,826.974662212557,6300.12484665478,1098.33221045594,5863.89403527028,141.14102912682,433.160433844879,0.0,7.14743243494662,64.0432474371637,102.829830141421,224.795626725344,365.448908167493,476.231653856265,1237.52537014661,104.24667223759,27.019855094626,145.743817651598,566.378246933886,171.569032346045,222.567745882865,1095.36088183992,98.2396214031658,24.9729367348793,141.649980932104,552.313965274889,158.579904286234,119.604473208643,141.14102912682,6.0070508344241,2.04691835974675,4.0938367194935,14.0642816589965,11.9656688799373,102.963272674222,1240.49669876263,59.7041233888121,152.847621070136,201.369460659415,826.57549364427,2936.46076057288,160.393394992701,434.630526359092,578.788245695828,1762.64859352526,257.578244224653,686.968327973964,922.939656378376,4432.63861807778,1069.8551421576,145.617737585367,51.3346848537435,25.0238190196708,2936.46076057288,2567.6605014414,310.496275391976,102.376732092908,58.3039837395029,26083.1005626528,24637.1171328136,917.372586202893,415.726123115682,528.610843636353,1226.4662380259,9.06307836616516,667.197462114391,399.528695041907,,,,,,,1119.19788726048,1217.12358450799,417.369377165959,799.754207342033,,,,,1245.00530629135,4.95085352899647
381260000,38126,Z,5,1915.55820338845,1740.37883049457,45.4885664420579,129.690806451825,1317.15614820834,585.048478116878,75.0386532865248,146.566870538145,175.165233069709,236.487693992424,1107.12037960776,8983.56661921261,1241.66448475131,7527.77490710513,487.296452358413,1438.63317991663,50.352704475357,72.2076843920182,112.519453755467,156.176919092934,195.535188701801,265.930942519728,887.655937557262,1636.55737235512,148.421747325378,144.202792223371,412.283166438167,432.880019080547,247.595667865932,251.173979421724,1208.19539338098,108.990084435014,114.372454282432,360.452843529076,328.320173827681,167.122584189073,128.937253117703,416.944085589298,39.4316628903638,27.9167916722677,49.9326226972163,97.9020484545078,79.5242335709215,122.236726304021,1740.37883049457,164.659780473439,341.739155177099,306.262557196185,927.717337647844,4033.00380109713,371.588448022217,879.295069109965,821.065055706483,1961.05522825847,634.211615598867,1530.31218186126,1464.13246518817,5354.91035656432,1319.23266004563,381.390315334761,113.349027018884,39.7558551141795,4033.00380109713,3210.2602747377,730.244564181584,199.001491885802,92.4989621778443,29879.9910979839,27099.3030225966,2349.2175713254,1017.47309031206,431.470504061966,1709.24163812259,104.912992701156,1126.52415521037,415.686460983596,,,,,,,1467.03570361288,1618.38112009108,730.531666406773,887.849453684308,,,,,1645.52808456988,14.8786132233409
381500101,38150,H,4,1519.11908876039,1393.84628336912,22.9507429724464,102.322062418823,483.340562814442,1030.19579636453,36.9169064425758,169.205407284977,459.728222856888,401.369380541445,326.626366243238,5184.15234952665,464.214943670737,2209.82532494958,924.048610116961,2937.08184416066,22.482518322044,61.6128333866365,399.197113495421,414.658467081518,251.144996499062,135.042346336261,109.708008248181,1348.68132633541,74.8516352819412,78.3170785642346,483.567689602332,433.720193318017,166.428854665705,111.795874903183,437.872779137626,45.170969778758,36.2374767004417,77.8674578534153,167.512270212064,59.9827023460481,51.1019022468995,905.225817616361,29.6806655031832,42.0796018637929,403.714705099019,265.308622373072,105.546851586775,58.89537119052,1393.84628336912,201.70527412387,298.873458747988,237.660760654934,655.606789842332,2935.21668003906,379.096266138527,633.958926712245,553.678384873799,1368.48310231449,649.020571729495,1021.02896158718,865.213368979666,2648.88944723032,800.370646747202,569.561552917582,249.846109749789,23.9140837043394,2935.21668003906,1822.80089033098,1057.45006505983,478.3082132454,54.9657246482532,21773.9792104566,16186.9149151134,5376.62309821097,3792.08144062573,210.441197132164,1343.79649500073,354.814819884881,426.536926385691,506.775267785145,,,,,,,742.420675966991,1179.07628241746,707.787255099907,471.289027317555,,,,,1381.86414313713,54.8899511328058
381500102,38150,H,4,1766.26088202131,1673.50162917433,19.1256191437053,73.6336337032655,765.206758655141,991.659983589098,71.3637926586247,218.230217221491,371.96721692378,463.862300436684,548.078101933755,6569.70006907286,726.955520367731,3596.16417795448,940.020811901093,2962.18812637784,21.7655231668569,87.59678224492,264.856792293811,469.25270677485,398.141827849418,250.854614797057,181.033382047421,1477.29752541965,68.853787659306,99.5131802425429,278.625843265892,475.255451485042,319.734986755413,235.314276011454,691.973894748945,49.0670483710456,67.2923332363215,106.97304372109,244.51345352283,184.891264359507,39.2367515381514,778.798333765194,19.7867392882603,32.2208470062213,170.75349881192,228.804357509957,133.944421663025,193.28846948581,1673.50162917433,201.688954068343,402.40963601661,265.91600849958,803.487030589802,3755.44908804538,458.719792782889,973.60403116457,670.388011596326,1652.7372525016,717.167762799139,1395.7399424666,995.156646140496,3461.63571766663,1014.85420793473,624.731148746764,302.75001976579,33.9162724928417,3755.44908804538,2371.41364851096,1317.37674115247,744.432699791927,66.6586983819501,24498.7023630693,18986.542794254,5023.36037718387,3186.04424178973,488.799191631411,1621.44798637863,342.300092959466,906.074977976035,294.030953990779,,,,,,,1247.83975892313,1516.48882693374,839.316270997051,677.172555936686,,,,,1583.62932153624,30.6409772731595
