Date,"particules PM2,5  (µg/m³)",Station
2023-02-07,,INSPIRA-MaisonProjet
2025-02-06,,INSPIRA-MaisonProjet
2023-03-01,13.1,St-Martin-d'Hères
2023-04-01,5.9,St-Martin-d'Hères
2023-05-01,7.7,St-Martin-d'Hères
2023-06-01,9.5,St-Martin-d'Hères
2023-07-01,7.7,St-Martin-d'Hères
2023-08-01,6.8,St-Martin-d'Hères
2023-09-01,8.7,St-Martin-d'Hères
2023-10-01,7.8,St-Martin-d'Hères
2023-11-01,9.6,St-Martin-d'Hères
2023-12-01,16.6,St-Martin-d'Hères
2024-01-01,18.6,St-Martin-d'Hères
2024-02-01,14,St-Martin-d'Hères
2024-03-01,8.1,St-Martin-d'Hères
2024-04-01,5.5,St-Martin-d'Hères
2024-05-01,4.6,St-Martin-d'Hères
2024-06-01,8,St-Martin-d'Hères
2024-07-01,7.1,St-Martin-d'Hères
2024-08-01,9.3,St-Martin-d'Hères
2024-09-01,5.7,St-Martin-d'Hères
2024-10-01,6.9,St-Martin-d'Hères
2024-11-01,14.7,St-Martin-d'Hères
2024-12-01,16.3,St-Martin-d'Hères
2025-01-01,17.3,St-Martin-d'Hères
2025-02-01,,St-Martin-d'Hères
2023-03-01,14,Grenoble les Frênes
2023-04-01,5.8,Grenoble les Frênes
2023-05-01,7.8,Grenoble les Frênes
2023-06-01,9.3,Grenoble les Frênes
2023-07-01,7.1,Grenoble les Frênes
2023-08-01,6.5,Grenoble les Frênes
2023-09-01,8,Grenoble les Frênes
2023-10-01,7.1,Grenoble les Frênes
2023-11-01,6.2,Grenoble les Frênes
2023-12-01,13.9,Grenoble les Frênes
2024-01-01,17.9,Grenoble les Frênes
2024-02-01,12.9,Grenoble les Frênes
2024-03-01,7.3,Grenoble les Frênes
2024-04-01,5.5,Grenoble les Frênes
2024-05-01,4.5,Grenoble les Frênes
2024-06-01,8.2,Grenoble les Frênes
2024-07-01,7,Grenoble les Frênes
2024-08-01,9.3,Grenoble les Frênes
2024-09-01,5.2,Grenoble les Frênes
2024-10-01,6,Grenoble les Frênes
2024-11-01,12.5,Grenoble les Frênes
