Date,"particules PM2,5  (µg/m³)",Station
2014-02-07,,INSPIRA-MaisonProjet
2017-02-06,,INSPIRA-MaisonProjet
2014-02-07,,St-Martin-d'Hères
2017-02-06,,St-Martin-d'Hères
2014-03-01,19,Grenoble les Frênes
2014-04-01,9,Grenoble les Frênes
2014-05-01,6,Grenoble les Frênes
2014-06-01,10,Grenoble les Frênes
2014-07-01,8,Grenoble les Frênes
2014-08-01,7,Grenoble les Frênes
2014-09-01,12,Grenoble les Frênes
2014-10-01,12,Grenoble les Frênes
2014-11-01,18,Grenoble les Frênes
2014-12-01,17,Grenoble les Frênes
2015-01-01,20,Grenoble les Frênes
2015-02-01,20,Grenoble les Frênes
2015-03-01,23,Grenoble les Frênes
2015-04-01,9,Grenoble les Frênes
2015-05-01,9,Grenoble les Frênes
2015-06-01,9,Grenoble les Frênes
2015-07-01,13,Grenoble les Frênes
2015-08-01,11,Grenoble les Frênes
2015-09-01,8,Grenoble les Frênes
2015-10-01,17,Grenoble les Frênes
2015-11-01,20,Grenoble les Frênes
2015-12-01,30,Grenoble les Frênes
2016-01-01,19,Grenoble les Frênes
2016-02-01,14,Grenoble les Frênes
2016-03-01,19,Grenoble les Frênes
2016-04-01,7,Grenoble les Frênes
2016-05-01,7,Grenoble les Frênes
2016-06-01,7,Grenoble les Frênes
2016-07-01,9,Grenoble les Frênes
2016-08-01,9,Grenoble les Frênes
2016-09-01,10,Grenoble les Frênes
2016-10-01,12,Grenoble les Frênes
2016-11-01,15,Grenoble les Frênes
2016-12-01,38,Grenoble les Frênes
2017-01-01,35,Grenoble les Frênes
2017-02-01,15.7,Grenoble les Frênes
2014-02-07,,Gresivaudan Periurbain
2017-02-06,,Gresivaudan Periurbain
2014-02-07,,Rocade Sud Eybens
2017-02-06,,Rocade Sud Eybens
2014-02-07,,Bourgoin-Jallieu
2017-02-06,,Bourgoin-Jallieu
2014-02-07,,Plateau de Bonnevaux
2017-02-06,,Plateau de Bonnevaux
2014-02-07,,A7 Salaise Ouest
2017-02-06,,A7 Salaise Ouest
2014-02-07,,Creys-Mépieu
2017-02-06,,Creys-Mépieu
