Date,"particules PM2,5  (µg/m³)",Station
2017-02-07,,INSPIRA-MaisonProjet
2020-02-06,,INSPIRA-MaisonProjet
2017-03-01,,St-Martin-d'Hères
2017-04-01,,St-Martin-d'Hères
2017-05-01,,St-Martin-d'Hères
2017-06-01,,St-Martin-d'Hères
2017-07-01,,St-Martin-d'Hères
2017-08-01,,St-Martin-d'Hères
2017-09-01,,St-Martin-d'Hères
2017-10-01,,St-Martin-d'Hères
2017-11-01,,St-Martin-d'Hères
2017-12-01,,St-Martin-d'Hères
2018-01-01,,St-Martin-d'Hères
2018-02-01,,St-Martin-d'Hères
2018-03-01,,St-Martin-d'Hères
2018-04-01,,St-Martin-d'Hères
2018-05-01,,St-Martin-d'Hères
2018-06-01,,St-Martin-d'Hères
2018-07-01,,St-Martin-d'Hères
2018-08-01,,St-Martin-d'Hères
2018-09-01,,St-Martin-d'Hères
2018-10-01,,St-Martin-d'Hères
2018-11-01,,St-Martin-d'Hères
2018-12-01,,St-Martin-d'Hères
2019-01-01,,St-Martin-d'Hères
2019-02-01,,St-Martin-d'Hères
2019-03-01,,St-Martin-d'Hères
2019-04-01,,St-Martin-d'Hères
2019-05-01,,St-Martin-d'Hères
2019-06-01,,St-Martin-d'Hères
2019-07-01,,St-Martin-d'Hères
2019-08-01,,St-Martin-d'Hères
2019-09-01,,St-Martin-d'Hères
2019-10-01,,St-Martin-d'Hères
2019-11-01,,St-Martin-d'Hères
2019-12-01,,St-Martin-d'Hères
2020-01-01,,St-Martin-d'Hères
2020-02-01,12.5,St-Martin-d'Hères
2017-03-01,11,Grenoble les Frênes
2017-04-01,11,Grenoble les Frênes
2017-05-01,8,Grenoble les Frênes
2017-06-01,11,Grenoble les Frênes
2017-07-01,9,Grenoble les Frênes
2017-08-01,11,Grenoble les Frênes
2017-09-01,6.4,Grenoble les Frênes
2017-10-01,9.7,Grenoble les Frênes
2017-11-01,15.5,Grenoble les Frênes
2017-12-01,17.1,Grenoble les Frênes
2018-01-01,13.5,Grenoble les Frênes
2018-02-01,20.1,Grenoble les Frênes
2018-03-01,11.6,Grenoble les Frênes
2018-04-01,8.8,Grenoble les Frênes
2018-05-01,9.9,Grenoble les Frênes
2018-06-01,8.4,Grenoble les Frênes
2018-07-01,10.6,Grenoble les Frênes
2018-08-01,9.7,Grenoble les Frênes
2018-09-01,9.9,Grenoble les Frênes
2018-10-01,11.8,Grenoble les Frênes
