Date,"particules PM2,5  (µg/m³)",Station
2018-11-01,14.8,Grenoble les Frênes
2018-12-01,17.2,Grenoble les Frênes
2019-01-01,16.1,Grenoble les Frênes
2019-02-01,18.9,Grenoble les Frênes
2019-03-01,,Grenoble les Frênes
2019-04-01,8,Grenoble les Frênes
2019-05-01,5.5,Grenoble les Frênes
2019-06-01,10,Grenoble les Frênes
2019-07-01,12.1,Grenoble les Frênes
2019-08-01,9.5,Grenoble les Frênes
2019-09-01,7.7,Grenoble les Frênes
2019-10-01,8.2,Grenoble les Frênes
2019-11-01,11.2,Grenoble les Frênes
2019-12-01,13.3,Grenoble les Frênes
2020-01-01,22.4,Grenoble les Frênes
2020-02-01,12.3,Grenoble les Frênes
2017-03-01,,Gresivaudan Periurbain
2017-04-01,,Gresivaudan Periurbain
2017-05-01,,Gresivaudan Periurbain
2017-06-01,,Gresivaudan Periurbain
2017-07-01,,Gresivaudan Periurbain
2017-08-01,,Gresivaudan Periurbain
2017-09-01,,Gresivaudan Periurbain
2017-10-01,,Gresivaudan Periurbain
2017-11-01,,Gresivaudan Periurbain
2017-12-01,,Gresivaudan Periurbain
2018-01-01,,Gresivaudan Periurbain
2018-02-01,,Gresivaudan Periurbain
2018-03-01,,Gresivaudan Periurbain
2018-04-01,,Gresivaudan Periurbain
2018-05-01,,Gresivaudan Periurbain
2018-06-01,,Gresivaudan Periurbain
2018-07-01,,Gresivaudan Periurbain
2018-08-01,,Gresivaudan Periurbain
2018-09-01,,Gresivaudan Periurbain
2018-10-01,,Gresivaudan Periurbain
2018-11-01,,Gresivaudan Periurbain
2018-12-01,,Gresivaudan Periurbain
2019-01-01,,Gresivaudan Periurbain
2019-02-01,,Gresivaudan Periurbain
2019-03-01,,Gresivaudan Periurbain
2019-04-01,,Gresivaudan Periurbain
2019-05-01,,Gresivaudan Periurbain
2019-06-01,,Gresivaudan Periurbain
2019-07-01,,Gresivaudan Periurbain
2019-08-01,,Gresivaudan Periurbain
2019-09-01,,Gresivaudan Periurbain
2019-10-01,,Gresivaudan Periurbain
2019-11-01,,Gresivaudan Periurbain
2019-12-01,,Gresivaudan Periurbain
2020-01-01,,Gresivaudan Periurbain
2020-02-01,11.9,Gresivaudan Periurbain
2017-02-07,,Rocade Sud Eybens
2020-02-06,,Rocade Sud Eybens
2017-02-07,,Bourgoin-Jallieu
2020-02-06,,Bourgoin-Jallieu
2017-03-01,,Plateau de Bonnevaux
2017-04-01,,Plateau de Bonnevaux
2017-05-01,,Plateau de Bonnevaux
2017-06-01,,Plateau de Bonnevaux
2017-07-01,,Plateau de Bonnevaux
2017-08-01,,Plateau de Bonnevaux
2017-09-01,,Plateau de Bonnevaux
2017-10-01,,Plateau de Bonnevaux
2017-11-01,,Plateau de Bonnevaux
2017-12-01,,Plateau de Bonnevaux
2018-01-01,,Plateau de Bonnevaux
2018-02-01,,Plateau de Bonnevaux
2018-03-01,,Plateau de Bonnevaux
2018-04-01,,Plateau de Bonnevaux
2018-05-01,,Plateau de Bonnevaux
2018-06-01,,Plateau de Bonnevaux
2018-07-01,,Plateau de Bonnevaux
2018-08-01,,Plateau de Bonnevaux
2018-09-01,,Plateau de Bonnevaux
2018-10-01,,Plateau de Bonnevaux
2018-11-01,,Plateau de Bonnevaux
2018-12-01,,Plateau de Bonnevaux
2019-01-01,,Plateau de Bonnevaux
2019-02-01,14,Plateau de Bonnevaux
2019-03-01,7.9,Plateau de Bonnevaux
2019-04-01,7.8,Plateau de Bonnevaux
2019-05-01,5.7,Plateau de Bonnevaux
2019-06-01,6.7,Plateau de Bonnevaux
2019-07-01,8.6,Plateau de Bonnevaux
2019-08-01,6.1,Plateau de Bonnevaux
2019-09-01,4.1,Plateau de Bonnevaux
2019-10-01,,Plateau de Bonnevaux
2019-11-01,4.7,Plateau de Bonnevaux
2019-12-01,7,Plateau de Bonnevaux
2020-01-01,,Plateau de Bonnevaux
2020-02-01,,Plateau de Bonnevaux
2017-03-01,,A7 Salaise Ouest
2017-04-01,,A7 Salaise Ouest
2017-05-01,,A7 Salaise Ouest
2017-06-01,,A7 Salaise Ouest
2017-07-01,,A7 Salaise Ouest
2017-08-01,,A7 Salaise Ouest
2017-09-01,,A7 Salaise Ouest
2017-10-01,,A7 Salaise Ouest
2017-11-01,,A7 Salaise Ouest
2017-12-01,,A7 Salaise Ouest
2018-01-01,,A7 Salaise Ouest
2018-02-01,,A7 Salaise Ouest
2018-03-01,,A7 Salaise Ouest
2018-04-01,,A7 Salaise Ouest
2018-05-01,,A7 Salaise Ouest
2018-06-01,,A7 Salaise Ouest
2018-07-01,,A7 Salaise Ouest
2018-08-01,,A7 Salaise Ouest
2018-09-01,,A7 Salaise Ouest
2018-10-01,,A7 Salaise Ouest
2018-11-01,,A7 Salaise Ouest
2018-12-01,,A7 Salaise Ouest
2019-01-01,,A7 Salaise Ouest
2019-02-01,,A7 Salaise Ouest
2019-03-01,,A7 Salaise Ouest
2019-04-01,,A7 Salaise Ouest
2019-05-01,,A7 Salaise Ouest
2019-06-01,,A7 Salaise Ouest
2019-07-01,,A7 Salaise Ouest
2019-08-01,,A7 Salaise Ouest
2019-09-01,,A7 Salaise Ouest
2019-10-01,,A7 Salaise Ouest
2019-11-01,,A7 Salaise Ouest
2019-12-01,,A7 Salaise Ouest
2020-01-01,19.9,A7 Salaise Ouest
2020-02-01,10.7,A7 Salaise Ouest
2017-02-07,,Creys-Mépieu
2020-02-06,,Creys-Mépieu
