Date,"particules PM2,5  (µg/m³)",Station
2022-10-01,9.5,Rocade Sud Eybens
2022-11-01,10.7,Rocade Sud Eybens
2022-12-01,17.4,Rocade Sud Eybens
2023-01-01,15.1,Rocade Sud Eybens
2023-02-01,17.2,Rocade Sud Eybens
2020-02-07,,Bourgoin-Jallieu
2023-02-06,,Bourgoin-Jallieu
2020-02-07,,Plateau de Bonnevaux
2023-02-06,,Plateau de Bonnevaux
2020-03-01,10.4,A7 Salaise Ouest
2020-04-01,9.4,A7 Salaise Ouest
2020-05-01,5,A7 Salaise Ouest
2020-06-01,4,A7 Salaise Ouest
2020-07-01,5.6,A7 Salaise Ouest
2020-08-01,4.3,A7 Salaise Ouest
2020-09-01,5.7,A7 Salaise Ouest
2020-10-01,5.8,A7 Salaise Ouest
2020-11-01,15.1,A7 Salaise Ouest
2020-12-01,8.5,A7 Salaise Ouest
2021-01-01,12.2,A7 Salaise Ouest
2021-02-01,11.3,A7 Salaise Ouest
2021-03-01,10.1,A7 Salaise Ouest
2021-04-01,7.9,A7 Salaise Ouest
2021-05-01,3.9,A7 Salaise Ouest
2021-06-01,6.4,A7 Salaise Ouest
2021-07-01,6.5,A7 Salaise Ouest
2021-08-01,6.4,A7 Salaise Ouest
2021-09-01,7.2,A7 Salaise Ouest
2021-10-01,9.5,A7 Salaise Ouest
2021-11-01,,A7 Salaise Ouest
2021-12-01,14.1,A7 Salaise Ouest
2022-01-01,20.7,A7 Salaise Ouest
2022-02-01,9.5,A7 Salaise Ouest
2022-03-01,15.6,A7 Salaise Ouest
2022-04-01,5.9,A7 Salaise Ouest
2022-05-01,6.1,A7 Salaise Ouest
2022-06-01,5.6,A7 Salaise Ouest
2022-07-01,5.8,A7 Salaise Ouest
2022-08-01,4.6,A7 Salaise Ouest
2022-09-01,3.8,A7 Salaise Ouest
2022-10-01,8.7,A7 Salaise Ouest
2022-11-01,8.6,A7 Salaise Ouest
2022-12-01,13.2,A7 Salaise Ouest
2023-01-01,12.6,A7 Salaise Ouest
2023-02-01,17.7,A7 Salaise Ouest
2020-02-07,,Creys-Mépieu
2023-02-06,,Creys-Mépieu
