OPERATEUR;FILIERE;Année;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Type EPCI;Code Département;Nom Département;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale à usages thermosensibles (MWh);Conso totale à usages non thermosensibles (MWh);Thermosensibilité totale (kWh DJU);Conso totale corrigée de l'aléa climatique à usages thermosensibles (MWh);Conso moyenne à usages thermosensibles (MWh);Conso moyenne à usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh DJU);Conso moyenne corrigée de l'aléa climatique à usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements <30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements >100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique
GRDF;Gaz;2017;38421;Saint-Martin-d'Hères;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;4;4824.0;1206.0;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38421;Saint-Martin-d'Hères;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;67;50988.0;761.014925373134;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38421;Saint-Martin-d'Hères;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;1;582.0;582.0;1;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38423;Saint-Martin-le-Vinoux;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;2;1307.0;653.5;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38485;Seyssinet-Pariset;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;2;964.0;482.0;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38485;Seyssinet-Pariset;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;14;11035.0;788.214285714286;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38485;Seyssinet-Pariset;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;3;6535.0;2178.33333333333;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38516;La Tronche;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;283.0;283.0;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38545;Vif;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;1;536.0;536.0;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38562;Vizille;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;24934.0;24934.0;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRDF;Gaz;2017;38562;Vizille;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;925;23368.0;25.2627027027027;1;2.95e-05;;;1.934;;;;0.00209081081081081;;;;;;;;;;;;;;;;;;;;
Groupement Elise - Régie de Séchilienne;Gaz;2014;38478;Séchilienne;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;35;631.0;18.0285714285714;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRT Gaz;Gaz;2014;38068;Champagnier;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;15002.83;15002.83;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
GRT Gaz;Gaz;2014;38151;Échirolles;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;1;23096.04;23096.04;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38150;Domène;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;28;7236.7;258.453571428571;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38229;Meylan;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;142;33744.74;237.639014084507;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38235;Miribel-Lanchâtre;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;1;2.63;2.63;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38271;Murianette;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;1;2329.46;2329.46;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38277;Notre-Dame-de-Commiers;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;TERTIAIRE;;1;28.42;28.42;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38309;Poisat;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;3;201.94;67.3133333333333;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38364;Saint-Barthélemy-de-Séchilienne;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INCONNU;;1;66.63;66.63;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38388;Saint-Georges-de-Commiers;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;RES;RESIDENTIEL;;984;6434.27;6.53889227642276;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
Enedis;Electricité;2014;38421;Saint-Martin-d'Hères;200040715;Grenoble-Alpes-Métropole;;38;Isère;84;Auvergne-Rhône-Alpes;ENT;INDUSTRIE;;40;7846.59;196.16475;0;0.0;;;0.0;;;;0.0;;;;;;;;;;;;;;;;;;;;
