IRIS,COM,TYP_IRIS,LAB_IRIS,P21_POP,P21_POP0002,P21_POP0305,P21_POP0610,P21_POP1117,P21_POP1824,P21_POP2539,P21_POP4054,P21_POP5564,P21_POP6579,P21_POP80P,P21_POP0014,P21_POP1529,P21_POP3044,P21_POP4559,P21_POP6074,P21_POP75P,P21_POP0019,P21_POP2064,P21_POP65P,P21_POPH,P21_H0014,P21_H1529,P21_H3044,P21_H4559,P21_H6074,P21_H75P,P21_H0019,P21_H2064,P21_H65P,P21_POPF,P21_F0014,P21_F1529,P21_F3044,P21_F4559,P21_F6074,P21_F75P,P21_F0019,P21_F2064,P21_F65P,C21_POP15P,C21_POP15P_CS1,C21_POP15P_CS2,C21_POP15P_CS3,C21_POP15P_CS4,C21_POP15P_CS5,C21_POP15P_CS6,C21_POP15P_CS7,C21_POP15P_CS8,C21_H15P,C21_H15P_CS1,C21_H15P_CS2,C21_H15P_CS3,C21_H15P_CS4,C21_H15P_CS5,C21_H15P_CS6,C21_H15P_CS7,C21_H15P_CS8,C21_F15P,C21_F15P_CS1,C21_F15P_CS2,C21_F15P_CS3,C21_F15P_CS4,C21_F15P_CS5,C21_F15P_CS6,C21_F15P_CS7,C21_F15P_CS8,P21_POP_FR,P21_POP_ETR,P21_POP_IMM,P21_PMEN,P21_PHORMEN
380570000,38057,Z,5,667.0,11.9007359008945,20.6795203900636,31.5907787559908,53.3152534665871,40.8750389783294,78.9599944177818,127.587142612554,102.357106770566,154.771080327805,44.963348379428,93.6854023220607,86.6849645796958,100.429380478467,140.812714909682,164.804344757897,80.5831929521974,124.397821021879,342.867750270888,199.734428707233,321.514061279455,39.4093867291453,37.9348888372506,46.7736661523227,77.3403786335366,81.3137422971911,38.7419986300089,50.334308962963,169.356567211594,101.823185104898,345.485938720545,54.2760155929154,48.7500757424452,53.6557143261441,63.4723362761456,83.4906024607059,41.8411943221885,74.0635120589158,173.511183059294,97.9112436023347,569.665404471987,0.0,40.212152831371,130.804635857303,80.7728961501839,49.6138450538158,19.5777651629005,198.795003542466,49.8891058739479,292.498916512944,0.0,30.0350664643214,75.400633446111,45.439839463865,5.01673365610571,14.7006534641344,101.977678126705,19.9283118917019,277.166487959043,0.0,10.1770863670496,55.4040024111917,35.3330566863189,44.5971113977101,4.87711169876609,96.8173254157609,29.960793982246,654.929919145427,12.0700808545735,43.4632211134828,667.0,0.0
380590000,38059,Z,5,2521.0,63.869173674804,79.2726252851805,138.456035191695,219.415045193176,141.490391737431,356.496053607087,520.757490879232,388.001883248337,408.88095128361,204.360349899447,405.64398898797,328.019233116484,417.175987218851,568.709296124235,481.834130113955,319.617364438505,541.579355076497,1366.17934374045,613.241301183058,1267.90171562588,216.692316108908,171.770999062087,193.870309603928,295.548563448102,233.050143646495,156.969383756358,295.858701322057,673.715776036815,298.327238267006,1253.09828437412,188.951672879062,156.248234054397,223.305677614923,273.160732676133,248.78398646746,162.647980682147,245.72065375444,692.463567703631,314.914062916051,2145.69275493203,4.97195257909713,105.329860193244,372.231611571693,402.572674207218,256.710189434926,130.632251517756,641.139607761822,232.104607666272,1014.6092769288,4.97195257909713,70.2555595692845,186.505466006017,171.076267007949,55.3928964635622,110.68855583057,293.892846812934,121.825732659383,1131.08347800323,0.0,35.0743006239594,185.726145565676,231.49640719927,201.317292971364,19.9436956871866,347.246760948888,110.278875006889,2467.63482018313,53.3651798168702,134.692872742884,2474.00098451374,46.9990154862639
380680000,38068,Z,5,1406.0,40.6528572774067,44.390849666991,89.7732184180132,156.042364024106,64.568561552828,219.906891631805,328.314139339951,175.01868243731,227.456439669071,59.8759959825175,262.721266256311,195.81756464093,259.008667532447,320.390707075212,252.904978430685,115.156816064415,349.196421906534,769.471142441877,287.332435651589,709.66743719768,137.643903840422,108.374261655625,119.958242680903,167.026625542733,121.664369369113,55.0000341088831,182.591216549402,386.494606699475,140.581613948803,696.33256280232,125.077362415889,87.4433029853046,139.050424851544,153.364081532479,131.240609061572,60.156781955532,166.605205357132,382.976535742403,146.750821702786,1102.2005994877,0.0,42.127825878013,251.393671275674,201.6894548805,106.848343672856,83.8826172296922,309.568103893277,106.690582657691,580.703576383211,0.0,32.5505625989637,144.387442803914,89.326939155702,32.8598630522021,69.4772613122671,147.384714039466,64.7167934206964,521.497023104491,0.0,9.5772632790493,107.00622847176,112.362515724798,73.9884806206538,14.4053559174252,162.183389853811,41.9737892369942,1369.58189951681,36.4181004831944,77.3817435412465,1399.99999856106,6.00000143893933
380710000,38071,Z,5,3339.0,104.771994008711,113.854436608431,212.958832487169,279.383316810134,209.614829992814,576.793481490771,666.077895288802,431.730930113204,556.959469987655,186.854813212308,589.911620343353,491.861748491737,611.768423930165,668.953857360888,643.650862035332,332.853487838525,786.35151229845,1808.83420450159,743.814283199963,1620.85632891693,290.382051463443,257.498797417208,295.516608074723,333.63931378718,303.04046453223,140.779093642144,404.41537966856,883.148983831083,333.291965417285,1718.14367108307,299.52956887991,234.362951074529,316.251815855442,335.314543573708,340.610397503102,192.074394196381,381.936132629891,925.685220670504,410.522317782678,2729.83650809298,0.0,71.8800398634524,230.017281060618,507.098651900826,472.085144615891,364.052830193771,766.718560563567,317.983999894859,1341.00421995808,0.0,56.4605025231483,122.505919769816,225.365115843777,77.0514450613694,322.726506041926,398.825717363175,138.069013354862,1388.83228813491,0.0,15.419537340304,107.511361290802,281.733536057049,395.033699554521,41.326324151844,367.892843200391,179.914986539997,3266.06543455144,72.934565448563,201.901387116699,3339.0,0.0
381110101,38111,H,4,2155.88433388418,60.4712601970687,65.1987597492857,130.918993598471,222.589526890523,152.160183071852,314.237447021907,430.711144499255,347.241008337392,313.980575133478,118.375435384951,385.330746734897,340.760187401897,341.767261618319,488.729010256959,413.170053400068,186.127074472043,533.114974368329,1190.41334899743,432.356010518429,1066.78442623839,207.091596915189,186.104707137962,159.483140263495,237.054377439772,201.478033493552,75.5725709884238,288.134358634606,581.145504596279,197.504563007509,1089.09990764579,178.239149819708,154.655480263935,182.284121354824,251.674632817188,211.692019906516,110.554503483619,244.980615733724,609.267844401147,234.85144751092,1746.54351168959,25.003220704506,53.7354253375666,207.47721178557,322.199243515822,263.190796171298,142.622157660262,490.520506554586,241.794949959976,829.483942399566,14.9364471474422,29.2246975084383,128.661334779286,138.246397937325,69.9019074416456,123.139447746908,237.167504286476,88.2062055520447,917.05956929002,10.0667735570638,24.5107278291283,78.815877006284,183.952845578496,193.288888729652,19.4827099133541,253.35300226811,153.588744407931,2079.61090181325,76.2734320709325,169.16114986304,2151.88450067017,3.99983321401027
381110102,38111,H,4,2766.65490554294,79.2344557202128,89.6408468315315,211.460453824773,249.892161221389,133.369682172975,448.440823242845,525.908398266264,409.185665053637,439.945984797861,179.576434411449,515.744639149113,354.622020076748,526.74404304444,557.324944484712,525.514653544645,286.70460524328,677.291448902338,1469.84103743129,619.52241920931,1343.29381195629,264.380310669027,178.647441838976,255.413752781609,268.352824503654,264.404501500806,112.094980662214,347.676383528848,718.353661461023,277.263766966416,1423.36109358665,251.364328480085,175.974578237771,271.330290262831,288.972119981058,261.110152043839,174.609624581065,329.61506537349,751.487375970266,342.258652242894,2238.1326570709,5.03338677853189,88.7148548820599,380.555433395229,427.188941668263,263.917533585748,114.213342764925,731.381536117613,227.127627878535,1095.62987957815,5.03338677853189,69.0738006433101,252.543605066181,179.26736532309,59.586158264676,99.2782489284001,322.315533917343,108.531780656616,1142.50277749276,0.0,19.6410542387498,128.011828329047,247.921576345173,204.331375321072,14.9350938365248,409.06600220027,118.595847221919,2732.86760449775,33.787301045184,117.454706012467,2766.65490554294,0.0
381110103,38111,H,4,2936.46076057288,52.5336408833581,103.96290494365,185.476695590688,252.014031799664,151.367243498496,326.875459660438,606.080731764172,496.711963168023,591.734288642021,169.703800622369,486.747475917615,324.228617040015,452.215288477532,668.534825065321,683.407397077112,321.327156995285,653.646963228804,1521.37570807969,761.43808926439,1449.36658893317,263.395976729822,172.846500253959,207.949283496791,325.031427420505,326.670980188182,153.472420843909,346.287135705386,748.379470151116,354.699983076665,1487.09417163971,223.351499187794,151.382116786056,244.266004980741,343.503397644816,356.73641688893,167.854736151375,307.359827523417,772.996237928569,406.738106187725,2457.26401266157,9.57964954444372,109.185235711335,508.724073735402,370.564403602805,198.64295752036,133.12905728712,796.006249927417,331.432385332682,1143.9134355123,4.78982477222186,69.6568807961464,291.092253591696,158.62084481684,19.8873006764387,123.549407742676,388.007990117768,88.3089329985139,1313.35057714926,4.78982477222186,39.5283549151885,217.631820143706,211.943558785965,178.755656843921,9.57964954444372,407.998259809649,243.123452334168,2892.65432445258,43.8064361202946,120.930419212458,2936.46076057288,0.0
381260000,38126,Z,5,4139.0,104.716391867048,120.314414846371,254.677800890338,405.907863758658,226.474741027074,585.27277459321,836.266941531082,553.381899749267,708.149806514747,343.837365222205,714.205393700875,578.53395675751,644.432113638667,904.40433683036,741.552016496579,555.87218257601,962.937015379692,2124.07581288336,1051.98717173695,2004.08931833398,355.239544832895,302.669359605979,304.86421545521,439.229672580529,359.28089202069,242.805633838674,481.970787053441,1046.85071717546,475.267814105079,2134.91068166602,358.96584886798,275.864597151531,339.567898183457,465.174664249831,382.271124475888,313.066548737336,480.966228326251,1077.2250957079,576.719357631872,3451.90649259689,0.0,225.791259552984,991.479109485774,329.141333851359,259.319278529589,108.087530361399,1068.01923296394,470.068747851839,1619.14129679173,0.0,127.768053754281,559.832522225176,122.302792033053,82.8303383707258,78.6525619149856,453.075532214989,194.679496278518,1832.76519580516,0.0,98.0232057987022,431.646587260598,206.838541818306,176.488940158863,29.4349684464138,614.943700748954,275.389251573321,3981.78580167751,157.214198322491,300.05541948005,4033.00380109713,105.99619890287
381500101,38150,H,4,2935.21668003906,87.2949183012561,65.8489485904125,167.801930769226,272.271706427792,240.514503908586,582.689433821676,556.501889978025,329.754073885757,447.466929069357,185.072345286977,480.679554935202,558.078666739747,570.527014372355,537.586524586461,484.907894673478,303.437024731821,654.341299975279,1648.33610570745,632.539274356334,1394.08477920511,234.649007399507,279.030120662445,267.603917327362,272.767644266806,212.430457984041,127.603631564951,318.044398886058,806.558204322862,269.482175996192,1541.13190083395,246.030547535696,279.048546077303,302.923097044993,264.818880319655,272.477436689436,175.83339316687,336.296901089221,841.77790138459,363.057098360142,2502.90984485135,4.4965036644088,123.203088870527,218.42847013835,435.364950006114,462.056044031878,298.589060705011,662.866891680397,297.904835754661,1219.68388867447,4.4965036644088,87.8779449498263,105.995232181509,219.550367442746,114.803752481372,240.675594791396,328.087901052481,118.196592110732,1283.22595617688,0.0,35.3251439207009,112.433237956841,215.814582563368,347.252291550506,57.9134659136151,334.778990627915,179.70824364393,2767.4758048184,167.740875220663,283.172215070637,2935.21668003906,0.0
381500102,38150,H,4,3784.78331996094,129.267171172278,137.999038337106,232.845930303828,304.573910031724,282.399993698277,724.726643322199,652.457685147428,576.097182810097,499.790995473697,244.624769664303,681.432520027083,620.694014143232,730.997275751859,715.700522648207,650.53529006272,385.423697327834,880.817285050082,2159.55026977285,744.415765137999,1774.77698525217,332.823675182611,320.226601620133,339.962155436077,342.30103585037,299.985879045392,139.477638117589,440.08199008888,1037.59242244272,297.102572720572,2010.00633470876,348.608844844472,300.467412523099,391.035120315783,373.399486797837,350.549411017328,245.946059210244,440.735294961202,1121.95784733013,447.313192417427,3097.47581423355,5.21538193106024,84.5675716830976,456.538765821299,573.769254649234,451.984182721911,319.564154744521,857.779364592595,348.057138089835,1470.13324820766,0.0,39.8319355049154,290.196954355727,250.188719313037,99.6857032624671,246.483405014162,383.561360209914,160.185170547442,1627.34256602589,5.21538193106024,44.7356361781822,166.341811465572,323.580535336197,352.298479459444,73.0807497303581,474.218004382682,187.871967542393,3626.46749720249,158.315822758444,319.261465370713,3755.44908804538,29.3342319155511
