ant_id,geo_point_2d,adres_id,microcell,operateur,ant_techno,x,y,ant_adres_libel,num_cartoradio,num_support,ant_2g,ant_3g,ant_4g
285,"45.1680253993517,5.71188201483343",6556,NON,FREE,3G/4G,1913145,4222238,118 Cours de la Libération et du Général de Gaulle,776971,904860,NON,OUI,OUI
286,"45.1873112433563,5.70611406205786",5918,NON,FREE,3G/4G,1912612,4224365,13 Rue Ampère,779372,637949,NON,OUI,OUI
287,"45.1920052410048,5.71291139276159",6853,NON,FREE,3G/4G,1913132,4224900,4 Avenue Doyen Louis Weil,779373,478450,NON,OUI,OUI
288,"45.1587088201049,5.73407582439271",3840,NON,ORA,2G/3G/4G,1914923,4221262,1 Avenue d'Innsbruck,798355,888816,OUI,OUI,OUI
289,"45.1895199635777,5.72928295122382",11236,NON,ORA,2G/3G/4G,1914427,4224672,7 Rue Vicat,820816,969422,OUI,OUI,OUI
290,"45.1588988629774,5.73451856711",4709,NON,SFR,2G/3G/4G,1914953,4221285,31 Avenue de l'Europe,839072,992208,OUI,OUI,OUI
291,"45.1855578508861,5.71983786788623",10736,NON,BYG,3G/4G,1913700,4224207,38 Rue Thiers,866021,1026780,NON,OUI,OUI
293,"45.1912030721244,5.70463492192742",4377,NON,FREE,3G/4G,1912485,4224794,38 Rue Diderot,874097,1037056,NON,OUI,OUI
294,"45.1810396382761,5.71635143665597",4951,NON,BYG,3G,1913443,4223696,118 Cours Jean Jaurès,880926,1046857,NON,OUI,NON
295,"45.1865884498455,5.74457501148011",12826,NON,FREE,3G/4G,1915639,4224387,7 Avenue de Valmy,889355,1057013,NON,OUI,OUI
280,"45.1586764135344,5.73418336482846",3840,NON,FREE,3G/4G,1914923,4221262,1 Avenue d'Innsbruck,765003,888816,NON,OUI,OUI
281,"45.1612466999492,5.71835305287474",2068,NON,FREE,3G/4G,1913674,4221503,86 Avenue Edmond Esmonin,765148,886266,NON,OUI,OUI
282,"45.1586789838105,5.73417753598388",3840,NON,BYG,2G/3G/4G,1914923,4221262,1 Avenue d'Innsbruck,766758,888816,OUI,OUI,OUI
283,"45.190289059466,5.71943830533687",5005,NON,FREE,3G/4G,1913653,4224729,22 Cours Jean Jaurès,768002,542733,NON,OUI,OUI
260,"45.1905772875476,5.73697994013282",3508,NON,ORA,2G/3G/4G,1915026,4224814,6 Rue Hébert,355057,451131,OUI,OUI,OUI
269,"45.1692486076864,5.71314489220081",6628,NON,ORA,2G/3G,1913235,4222378,131 Cours de la Libération et du Général de Gaulle,429901,641438,OUI,OUI,NON
270,"45.174023638578,5.71706260204467",4486,NON,SFR,2G/3G/4G,1913525,4222914,126 Rue des Alliés,446364,448302,OUI,OUI,OUI
271,"45.1972887544638,5.73840203801706",181,NON,SFR,2G/3G/4G,1915114,4225559,35 Rue Bizanet,473670,640730,OUI,OUI,OUI
305,"45.1641989850791,5.74067706569631",11172,NON,FREE,3G/4G,1915417,4221890,16 Allée du Verderet,1245497,1433742,NON,OUI,OUI
306,"45.1825462850014,5.72229209430218",14845,NON,FREE,3G/4G,1913904,4223879,25 Rue Marceau,1248381,1436920,NON,OUI,OUI
307,"45.1912433728215,5.72723859273809",8221,NON,FREE,3G/4G,1914260,4224858,1 Rue Montorge,1277035,1474722,NON,OUI,OUI
308,"45.1920551522185,5.72869068281457",1247,OUI,BYG,2G/3G,1914371,4224952,13 Rue des Clercs,,,OUI,OUI,NON
309,"45.1929362343603,5.72987870801175",,OUI,BYG,2G/3G,1914461,4225053,15 Rue Brocherie,,,OUI,OUI,NON
296,"45.1747728938768,5.73747937373171",5119,NON,FREE,3G/4G,1915131,4223055,80 Avenue Jean Perrot,1002745,579273,NON,OUI,OUI
