Date,particules PM10  (µg/m³),Station
2023-03-01,19,Grenoble les Frênes
2023-04-01,9.3,Grenoble les Frênes
2023-05-01,12.5,Grenoble les Frênes
2023-06-01,16.6,Grenoble les Frênes
2023-07-01,15.2,Grenoble les Frênes
2023-08-01,14.6,Grenoble les Frênes
2023-09-01,16.6,Grenoble les Frênes
2023-10-01,16.3,Grenoble les Frênes
2023-11-01,8.6,Grenoble les Frênes
2023-12-01,16.6,Grenoble les Frênes
2024-01-01,21.2,Grenoble les Frênes
2024-02-01,17.5,Grenoble les Frênes
2024-03-01,16.9,Grenoble les Frênes
2024-04-01,11.9,Grenoble les Frênes
2024-05-01,8.5,Grenoble les Frênes
2024-06-01,16.7,Grenoble les Frênes
2024-07-01,14.2,Grenoble les Frênes
2024-08-01,17,Grenoble les Frênes
2024-09-01,10.2,Grenoble les Frênes
2024-10-01,12.3,Grenoble les Frênes
2024-11-01,18.4,Grenoble les Frênes
2024-12-01,,Grenoble les Frênes
2025-01-01,20,Grenoble les Frênes
2025-02-01,,Grenoble les Frênes
2023-03-01,14.8,Grenoble Periurbain Sud
2023-04-01,8.3,Grenoble Periurbain Sud
2023-05-01,10.5,Grenoble Periurbain Sud
2023-06-01,14.7,Grenoble Periurbain Sud
2023-07-01,13.5,Grenoble Periurbain Sud
2023-08-01,,Grenoble Periurbain Sud
2023-09-01,12.8,Grenoble Periurbain Sud
2023-10-01,12.6,Grenoble Periurbain Sud
2023-11-01,8.4,Grenoble Periurbain Sud
2023-12-01,12.8,Grenoble Periurbain Sud
2024-01-01,16.2,Grenoble Periurbain Sud
2024-02-01,12.6,Grenoble Periurbain Sud
2024-03-01,14.4,Grenoble Periurbain Sud
2024-04-01,10.5,Grenoble Periurbain Sud
2024-05-01,7.5,Grenoble Periurbain Sud
2024-06-01,15.4,Grenoble Periurbain Sud
2024-07-01,16.3,Grenoble Periurbain Sud
2024-08-01,14.6,Grenoble Periurbain Sud
2024-09-01,8.3,Grenoble Periurbain Sud
2024-10-01,11,Grenoble Periurbain Sud
2024-11-01,14.2,Grenoble Periurbain Sud
2024-12-01,16.8,Grenoble Periurbain Sud
2025-01-01,14.4,Grenoble Periurbain Sud
2025-02-01,,Grenoble Periurbain Sud
2023-03-01,22.2,Grenoble Boulevards
2023-04-01,13.5,Grenoble Boulevards
2023-05-01,,Grenoble Boulevards
2023-06-01,,Grenoble Boulevards
2023-07-01,,Grenoble Boulevards
2023-08-01,,Grenoble Boulevards
2023-09-01,18.3,Grenoble Boulevards
2023-10-01,,Grenoble Boulevards
2023-11-01,16.7,Grenoble Boulevards
2023-12-01,22.6,Grenoble Boulevards
2024-01-01,26.6,Grenoble Boulevards
2024-02-01,20.5,Grenoble Boulevards
2024-03-01,17.8,Grenoble Boulevards
2024-04-01,14.1,Grenoble Boulevards
2024-05-01,10.7,Grenoble Boulevards
2024-06-01,17.5,Grenoble Boulevards
2024-07-01,15.9,Grenoble Boulevards
2024-08-01,16.8,Grenoble Boulevards
2024-09-01,12.1,Grenoble Boulevards
2024-10-01,17.2,Grenoble Boulevards
2024-11-01,23.1,Grenoble Boulevards
2024-12-01,21.6,Grenoble Boulevards
2025-01-01,20.5,Grenoble Boulevards
2025-02-01,,Grenoble Boulevards
2023-03-01,19.8,Gresivaudan Periurbain
2023-04-01,9.6,Gresivaudan Periurbain
2023-05-01,12.8,Gresivaudan Periurbain
2023-06-01,15.5,Gresivaudan Periurbain
2023-07-01,13.7,Gresivaudan Periurbain
2023-08-01,11.9,Gresivaudan Periurbain
2023-09-01,14.8,Gresivaudan Periurbain
2023-10-01,14.4,Gresivaudan Periurbain
2023-11-01,13.1,Gresivaudan Periurbain
2023-12-01,18.7,Gresivaudan Periurbain
2024-01-01,20.2,Gresivaudan Periurbain
2024-02-01,17.8,Gresivaudan Periurbain
2024-03-01,17.7,Gresivaudan Periurbain
2024-04-01,11.1,Gresivaudan Periurbain
2024-05-01,7.9,Gresivaudan Periurbain
2024-06-01,15.3,Gresivaudan Periurbain
2024-07-01,11.2,Gresivaudan Periurbain
2024-08-01,13.1,Gresivaudan Periurbain
2024-09-01,9.8,Gresivaudan Periurbain
2024-10-01,11.1,Gresivaudan Periurbain
2024-11-01,18.6,Gresivaudan Periurbain
2024-12-01,20.2,Gresivaudan Periurbain
2025-01-01,20.8,Gresivaudan Periurbain
2025-02-01,,Gresivaudan Periurbain
2023-03-01,28.7,Rocade Sud Eybens
2023-04-01,17.6,Rocade Sud Eybens
2023-05-01,19.7,Rocade Sud Eybens
2023-06-01,23.2,Rocade Sud Eybens
2023-07-01,22.5,Rocade Sud Eybens
2023-08-01,19,Rocade Sud Eybens
2023-09-01,22.9,Rocade Sud Eybens
2023-10-01,22.4,Rocade Sud Eybens
2023-11-01,19.9,Rocade Sud Eybens
2023-12-01,25.1,Rocade Sud Eybens
2024-01-01,26.5,Rocade Sud Eybens
2024-02-01,23.3,Rocade Sud Eybens
2024-03-01,22.9,Rocade Sud Eybens
2024-04-01,19.1,Rocade Sud Eybens
2024-05-01,15.5,Rocade Sud Eybens
2024-06-01,22.2,Rocade Sud Eybens
2024-07-01,19.3,Rocade Sud Eybens
2024-08-01,19.7,Rocade Sud Eybens
2024-09-01,17.3,Rocade Sud Eybens
2024-10-01,19.2,Rocade Sud Eybens
2024-11-01,,Rocade Sud Eybens
2024-12-01,28.8,Rocade Sud Eybens
2025-01-01,28.4,Rocade Sud Eybens
2025-02-01,,Rocade Sud Eybens
2023-03-01,14.7,Roussillon
2023-04-01,8,Roussillon
2023-05-01,10.3,Roussillon
2023-06-01,13.2,Roussillon
2023-07-01,12.1,Roussillon
2023-08-01,10.6,Roussillon
2023-09-01,12.4,Roussillon
2023-10-01,12.8,Roussillon
2023-11-01,10.7,Roussillon
2023-12-01,16.4,Roussillon
2024-01-01,19.4,Roussillon
2024-02-01,13,Roussillon
2024-03-01,13.3,Roussillon
2024-04-01,9,Roussillon
2024-05-01,7.9,Roussillon
2024-06-01,,Roussillon
2024-07-01,,Roussillon
2024-08-01,,Roussillon
2024-09-01,,Roussillon
2024-10-01,,Roussillon
2024-11-01,,Roussillon
2024-12-01,17.7,Roussillon
2025-01-01,14.7,Roussillon
2025-02-01,,Roussillon
2023-03-01,14.1,Bourgoin-Jallieu
2023-04-01,8.1,Bourgoin-Jallieu
2023-05-01,12,Bourgoin-Jallieu
2023-06-01,15.3,Bourgoin-Jallieu
2023-07-01,13.3,Bourgoin-Jallieu
2023-08-01,11,Bourgoin-Jallieu
2023-09-01,12.9,Bourgoin-Jallieu
2023-10-01,11.4,Bourgoin-Jallieu
2023-11-01,8.3,Bourgoin-Jallieu
2023-12-01,11.9,Bourgoin-Jallieu
2024-01-01,14.3,Bourgoin-Jallieu
2024-02-01,9.3,Bourgoin-Jallieu
2024-03-01,8.2,Bourgoin-Jallieu
2024-04-01,7.4,Bourgoin-Jallieu
2024-05-01,8.1,Bourgoin-Jallieu
2024-06-01,14,Bourgoin-Jallieu
2024-07-01,11.7,Bourgoin-Jallieu
2024-08-01,14.2,Bourgoin-Jallieu
2024-09-01,10.8,Bourgoin-Jallieu
2024-10-01,11.1,Bourgoin-Jallieu
2024-11-01,17,Bourgoin-Jallieu
2024-12-01,15.5,Bourgoin-Jallieu
2025-01-01,16.4,Bourgoin-Jallieu
2025-02-01,,Bourgoin-Jallieu
2023-02-07,,Plateau de Bonnevaux
2025-02-06,,Plateau de Bonnevaux
2023-03-01,20.2,A7 Salaise Ouest
2023-04-01,12.6,A7 Salaise Ouest
2023-05-01,15.6,A7 Salaise Ouest
2023-06-01,18.1,A7 Salaise Ouest
2023-07-01,,A7 Salaise Ouest
2023-08-01,,A7 Salaise Ouest
2023-09-01,,A7 Salaise Ouest
2023-10-01,15.9,A7 Salaise Ouest
2023-11-01,13.4,A7 Salaise Ouest
2023-12-01,19.7,A7 Salaise Ouest
2024-01-01,23.6,A7 Salaise Ouest
2024-02-01,17.7,A7 Salaise Ouest
2024-03-01,17.7,A7 Salaise Ouest
2024-04-01,13.7,A7 Salaise Ouest
2024-05-01,11.2,A7 Salaise Ouest
2024-06-01,15.9,A7 Salaise Ouest
2024-07-01,15.1,A7 Salaise Ouest
2024-08-01,15.9,A7 Salaise Ouest
2024-09-01,12.3,A7 Salaise Ouest
2024-10-01,14.5,A7 Salaise Ouest
2024-11-01,20.5,A7 Salaise Ouest
2024-12-01,19.9,A7 Salaise Ouest
2025-01-01,18.1,A7 Salaise Ouest
2025-02-01,,A7 Salaise Ouest
2023-02-07,,Creys-Mépieu
2025-02-06,,Creys-Mépieu
