Date,particules PM10  (µg/m³),Station
2023-02-07,,INSPIRA-MaisonProjet
2025-02-06,,INSPIRA-MaisonProjet
2023-03-01,13.3,Voiron Urbain
2023-04-01,6.6,Voiron Urbain
2023-05-01,10.2,Voiron Urbain
2023-06-01,13.3,Voiron Urbain
2023-07-01,12.4,Voiron Urbain
2023-08-01,12.3,Voiron Urbain
2023-09-01,12.9,Voiron Urbain
2023-10-01,12.2,Voiron Urbain
2023-11-01,,Voiron Urbain
2023-12-01,12.8,Voiron Urbain
2024-01-01,15.5,Voiron Urbain
2024-02-01,11.8,Voiron Urbain
2024-03-01,12.9,Voiron Urbain
2024-04-01,8.1,Voiron Urbain
2024-05-01,,Voiron Urbain
2024-06-01,,Voiron Urbain
2024-07-01,,Voiron Urbain
2024-08-01,,Voiron Urbain
2024-09-01,,Voiron Urbain
2024-10-01,,Voiron Urbain
2024-11-01,,Voiron Urbain
2024-12-01,15.1,Voiron Urbain
2025-01-01,15.8,Voiron Urbain
2025-02-01,,Voiron Urbain
2023-03-01,19.1,St-Martin-d'Hères
2023-04-01,9.7,St-Martin-d'Hères
2023-05-01,13.1,St-Martin-d'Hères
2023-06-01,17,St-Martin-d'Hères
2023-07-01,16.5,St-Martin-d'Hères
2023-08-01,15.3,St-Martin-d'Hères
2023-09-01,17.9,St-Martin-d'Hères
2023-10-01,16.9,St-Martin-d'Hères
2023-11-01,13.7,St-Martin-d'Hères
2023-12-01,19.9,St-Martin-d'Hères
2024-01-01,23.4,St-Martin-d'Hères
2024-02-01,20.3,St-Martin-d'Hères
2024-03-01,17.9,St-Martin-d'Hères
2024-04-01,11.8,St-Martin-d'Hères
2024-05-01,9,St-Martin-d'Hères
2024-06-01,16.5,St-Martin-d'Hères
2024-07-01,13.8,St-Martin-d'Hères
2024-08-01,16.1,St-Martin-d'Hères
2024-09-01,11.3,St-Martin-d'Hères
2024-10-01,14.1,St-Martin-d'Hères
2024-11-01,21.3,St-Martin-d'Hères
2024-12-01,20.1,St-Martin-d'Hères
2025-01-01,20.8,St-Martin-d'Hères
2025-02-01,,St-Martin-d'Hères
