Date,particules PM10  (µg/m³),Station
2014-12-01,28,Grenoble Boulevards
2015-01-01,30,Grenoble Boulevards
2015-02-01,30,Grenoble Boulevards
2015-03-01,31,Grenoble Boulevards
2015-04-01,20,Grenoble Boulevards
2015-05-01,23,Grenoble Boulevards
2015-06-01,20,Grenoble Boulevards
2015-07-01,,Grenoble Boulevards
2015-08-01,,Grenoble Boulevards
2015-09-01,22,Grenoble Boulevards
2015-10-01,30,Grenoble Boulevards
2015-11-01,35,Grenoble Boulevards
2015-12-01,44,Grenoble Boulevards
2016-01-01,27,Grenoble Boulevards
2016-02-01,20,Grenoble Boulevards
2016-03-01,25,Grenoble Boulevards
2016-04-01,16,Grenoble Boulevards
2016-05-01,17,Grenoble Boulevards
2016-06-01,15,Grenoble Boulevards
2016-07-01,17,Grenoble Boulevards
2016-08-01,17,Grenoble Boulevards
2016-09-01,25,Grenoble Boulevards
2016-10-01,23,Grenoble Boulevards
2016-11-01,25,Grenoble Boulevards
2016-12-01,48,Grenoble Boulevards
2017-01-01,40,Grenoble Boulevards
2017-02-01,25,Grenoble Boulevards
2014-03-01,23,Gresivaudan Periurbain
2014-04-01,21,Gresivaudan Periurbain
2014-05-01,14,Gresivaudan Periurbain
2014-06-01,19,Gresivaudan Periurbain
2014-07-01,14,Gresivaudan Periurbain
2014-08-01,15,Gresivaudan Periurbain
2014-09-01,18,Gresivaudan Periurbain
2014-10-01,22,Gresivaudan Periurbain
2014-11-01,26,Gresivaudan Periurbain
2014-12-01,24,Gresivaudan Periurbain
2015-01-01,23,Gresivaudan Periurbain
2015-02-01,25,Gresivaudan Periurbain
2015-03-01,29,Gresivaudan Periurbain
2015-04-01,16,Gresivaudan Periurbain
2015-05-01,16,Gresivaudan Periurbain
2015-06-01,14,Gresivaudan Periurbain
2015-07-01,23,Gresivaudan Periurbain
2015-08-01,17,Gresivaudan Periurbain
2015-09-01,14,Gresivaudan Periurbain
2015-10-01,23,Gresivaudan Periurbain
2015-11-01,26,Gresivaudan Periurbain
2015-12-01,31,Gresivaudan Periurbain
2016-01-01,21,Gresivaudan Periurbain
2016-02-01,17,Gresivaudan Periurbain
2016-03-01,22,Gresivaudan Periurbain
2016-04-01,15,Gresivaudan Periurbain
2016-05-01,12,Gresivaudan Periurbain
2016-06-01,10,Gresivaudan Periurbain
2016-07-01,13,Gresivaudan Periurbain
2016-08-01,13,Gresivaudan Periurbain
2016-09-01,19,Gresivaudan Periurbain
2016-10-01,17,Gresivaudan Periurbain
2016-11-01,20,Gresivaudan Periurbain
2016-12-01,40,Gresivaudan Periurbain
2017-01-01,38,Gresivaudan Periurbain
2017-02-01,19,Gresivaudan Periurbain
2014-02-07,,Rocade Sud Eybens
2017-02-06,,Rocade Sud Eybens
2014-03-01,35,Roussillon
2014-04-01,22,Roussillon
2014-05-01,14,Roussillon
2014-06-01,23,Roussillon
2014-07-01,19,Roussillon
2014-08-01,16,Roussillon
2014-09-01,25,Roussillon
2014-10-01,27,Roussillon
2014-11-01,32,Roussillon
2014-12-01,30,Roussillon
2015-01-01,32,Roussillon
2015-02-01,29,Roussillon
2015-03-01,34,Roussillon
2015-04-01,18,Roussillon
2015-05-01,15,Roussillon
2015-06-01,15,Roussillon
2015-07-01,19,Roussillon
2015-08-01,17,Roussillon
2015-09-01,14,Roussillon
2015-10-01,22,Roussillon
2015-11-01,29,Roussillon
2015-12-01,29,Roussillon
2016-01-01,21,Roussillon
2016-02-01,23,Roussillon
2016-03-01,26,Roussillon
2016-04-01,15,Roussillon
2016-05-01,,Roussillon
2016-06-01,14,Roussillon
2016-07-01,18,Roussillon
2016-08-01,18,Roussillon
2016-09-01,21,Roussillon
2016-10-01,21,Roussillon
2016-11-01,24,Roussillon
2016-12-01,48,Roussillon
2017-01-01,38,Roussillon
2017-02-01,22,Roussillon
2014-03-01,27,Bourgoin-Jallieu
2014-04-01,18,Bourgoin-Jallieu
2014-05-01,12,Bourgoin-Jallieu
2014-06-01,17,Bourgoin-Jallieu
2014-07-01,13,Bourgoin-Jallieu
2014-08-01,11,Bourgoin-Jallieu
2014-09-01,16,Bourgoin-Jallieu
2014-10-01,,Bourgoin-Jallieu
2014-11-01,,Bourgoin-Jallieu
2014-12-01,18,Bourgoin-Jallieu
2015-01-01,21,Bourgoin-Jallieu
2015-02-01,23,Bourgoin-Jallieu
2015-03-01,27,Bourgoin-Jallieu
2015-04-01,15,Bourgoin-Jallieu
2015-05-01,14,Bourgoin-Jallieu
2015-06-01,14,Bourgoin-Jallieu
2015-07-01,16,Bourgoin-Jallieu
2015-08-01,14,Bourgoin-Jallieu
2015-09-01,12,Bourgoin-Jallieu
2015-10-01,21,Bourgoin-Jallieu
2015-11-01,19,Bourgoin-Jallieu
2015-12-01,22,Bourgoin-Jallieu
2016-01-01,16,Bourgoin-Jallieu
2016-02-01,18,Bourgoin-Jallieu
2016-03-01,25,Bourgoin-Jallieu
2016-04-01,12,Bourgoin-Jallieu
2016-05-01,12,Bourgoin-Jallieu
2016-06-01,11,Bourgoin-Jallieu
2016-07-01,16,Bourgoin-Jallieu
2016-08-01,13,Bourgoin-Jallieu
2016-09-01,18,Bourgoin-Jallieu
2016-10-01,17,Bourgoin-Jallieu
2016-11-01,21,Bourgoin-Jallieu
2016-12-01,41,Bourgoin-Jallieu
2017-01-01,43,Bourgoin-Jallieu
2017-02-01,23,Bourgoin-Jallieu
2014-02-07,,Plateau de Bonnevaux
2017-02-06,,Plateau de Bonnevaux
2014-02-07,,A7 Salaise Ouest
2017-02-06,,A7 Salaise Ouest
2014-02-07,,Creys-Mépieu
2017-02-06,,Creys-Mépieu
