Date,particules PM10  (µg/m³),Station
2017-02-07,,INSPIRA-MaisonProjet
2020-02-06,,INSPIRA-MaisonProjet
2017-03-01,16,Voiron Urbain
2017-04-01,17,Voiron Urbain
2017-05-01,12.2,Voiron Urbain
2017-06-01,17,Voiron Urbain
2017-07-01,12.3,Voiron Urbain
2017-08-01,16,Voiron Urbain
2017-09-01,15.7,Voiron Urbain
2017-10-01,18.1,Voiron Urbain
2017-11-01,18,Voiron Urbain
2017-12-01,18.7,Voiron Urbain
2018-01-01,15.9,Voiron Urbain
2018-02-01,,Voiron Urbain
2018-03-01,10.8,Voiron Urbain
2018-04-01,13.7,Voiron Urbain
2018-05-01,13.7,Voiron Urbain
2018-06-01,13.8,Voiron Urbain
2018-07-01,15.5,Voiron Urbain
2018-08-01,13.9,Voiron Urbain
2018-09-01,17.6,Voiron Urbain
2018-10-01,20.9,Voiron Urbain
2018-11-01,20.8,Voiron Urbain
2018-12-01,17.5,Voiron Urbain
2019-01-01,16.3,Voiron Urbain
2019-02-01,23.3,Voiron Urbain
2019-03-01,15.1,Voiron Urbain
2019-04-01,13.8,Voiron Urbain
2019-05-01,10.1,Voiron Urbain
2019-06-01,15.2,Voiron Urbain
2019-07-01,17,Voiron Urbain
2019-08-01,13.7,Voiron Urbain
2019-09-01,12.1,Voiron Urbain
2019-10-01,13.4,Voiron Urbain
2019-11-01,13,Voiron Urbain
2019-12-01,17.3,Voiron Urbain
2020-01-01,24.3,Voiron Urbain
2020-02-01,15.6,Voiron Urbain
2017-03-01,18,St-Martin-d'Hères
2017-04-01,19,St-Martin-d'Hères
2017-05-01,15,St-Martin-d'Hères
2017-06-01,19,St-Martin-d'Hères
2017-07-01,15.1,St-Martin-d'Hères
2017-08-01,19,St-Martin-d'Hères
2017-09-01,20.6,St-Martin-d'Hères
2017-10-01,21.7,St-Martin-d'Hères
2017-11-01,,St-Martin-d'Hères
2017-12-01,,St-Martin-d'Hères
2018-01-01,14.6,St-Martin-d'Hères
2018-02-01,24.5,St-Martin-d'Hères
2018-03-01,15.2,St-Martin-d'Hères
2018-04-01,18.4,St-Martin-d'Hères
2018-05-01,15.6,St-Martin-d'Hères
2018-06-01,16,St-Martin-d'Hères
2018-07-01,20.9,St-Martin-d'Hères
2018-08-01,14.9,St-Martin-d'Hères
2018-09-01,18.2,St-Martin-d'Hères
2018-10-01,20.8,St-Martin-d'Hères
