Date,particules PM10  (µg/m³),Station
2022-07-01,18.2,Grenoble les Frênes
2022-08-01,15.4,Grenoble les Frênes
2022-09-01,11.3,Grenoble les Frênes
2022-10-01,23.2,Grenoble les Frênes
2022-11-01,15,Grenoble les Frênes
2022-12-01,21.3,Grenoble les Frênes
2023-01-01,20.1,Grenoble les Frênes
2023-02-01,27.1,Grenoble les Frênes
2020-03-01,11.2,Grenoble Periurbain Sud
2020-04-01,14.4,Grenoble Periurbain Sud
2020-05-01,9.7,Grenoble Periurbain Sud
2020-06-01,9.6,Grenoble Periurbain Sud
2020-07-01,11.5,Grenoble Periurbain Sud
2020-08-01,9.9,Grenoble Periurbain Sud
2020-09-01,10.6,Grenoble Periurbain Sud
2020-10-01,9,Grenoble Periurbain Sud
2020-11-01,16.9,Grenoble Periurbain Sud
2020-12-01,13.5,Grenoble Periurbain Sud
2021-01-01,14.8,Grenoble Periurbain Sud
2021-02-01,26.2,Grenoble Periurbain Sud
2021-03-01,15.8,Grenoble Periurbain Sud
2021-04-01,11.4,Grenoble Periurbain Sud
2021-05-01,7.7,Grenoble Periurbain Sud
2021-06-01,15.6,Grenoble Periurbain Sud
2021-07-01,10.8,Grenoble Periurbain Sud
2021-08-01,11.2,Grenoble Periurbain Sud
2021-09-01,11,Grenoble Periurbain Sud
2021-10-01,9.7,Grenoble Periurbain Sud
2021-11-01,15.5,Grenoble Periurbain Sud
2021-12-01,15.5,Grenoble Periurbain Sud
2022-01-01,20.6,Grenoble Periurbain Sud
2022-02-01,11.8,Grenoble Periurbain Sud
2022-03-01,20.8,Grenoble Periurbain Sud
2022-04-01,10.3,Grenoble Periurbain Sud
2022-05-01,13.1,Grenoble Periurbain Sud
2022-06-01,16.8,Grenoble Periurbain Sud
2022-07-01,13.4,Grenoble Periurbain Sud
2022-08-01,11.7,Grenoble Periurbain Sud
2022-09-01,8.7,Grenoble Periurbain Sud
2022-10-01,15.1,Grenoble Periurbain Sud
2022-11-01,10.3,Grenoble Periurbain Sud
2022-12-01,17.7,Grenoble Periurbain Sud
2023-01-01,15.9,Grenoble Periurbain Sud
2023-02-01,17.5,Grenoble Periurbain Sud
2020-03-01,16.5,Grenoble Boulevards
2020-04-01,17.8,Grenoble Boulevards
2020-05-01,15.6,Grenoble Boulevards
2020-06-01,14.6,Grenoble Boulevards
2020-07-01,17,Grenoble Boulevards
2020-08-01,16.1,Grenoble Boulevards
2020-09-01,18.4,Grenoble Boulevards
2020-10-01,15.7,Grenoble Boulevards
2020-11-01,27.5,Grenoble Boulevards
2020-12-01,22,Grenoble Boulevards
2021-01-01,21.2,Grenoble Boulevards
2021-02-01,38.4,Grenoble Boulevards
2021-03-01,23.4,Grenoble Boulevards
2021-04-01,18.1,Grenoble Boulevards
2021-05-01,13.3,Grenoble Boulevards
2021-06-01,20.7,Grenoble Boulevards
2021-07-01,15.9,Grenoble Boulevards
2021-08-01,16,Grenoble Boulevards
2021-09-01,18.5,Grenoble Boulevards
2021-10-01,19.1,Grenoble Boulevards
2021-11-01,24.2,Grenoble Boulevards
2021-12-01,25.1,Grenoble Boulevards
2022-01-01,,Grenoble Boulevards
2022-02-01,21.9,Grenoble Boulevards
2022-03-01,30.1,Grenoble Boulevards
2022-04-01,17.7,Grenoble Boulevards
2022-05-01,21.2,Grenoble Boulevards
2022-06-01,22.9,Grenoble Boulevards
2022-07-01,20,Grenoble Boulevards
2022-08-01,,Grenoble Boulevards
2022-09-01,,Grenoble Boulevards
2022-10-01,24.3,Grenoble Boulevards
2022-11-01,16.7,Grenoble Boulevards
2022-12-01,19.9,Grenoble Boulevards
2023-01-01,22.3,Grenoble Boulevards
2023-02-01,29.9,Grenoble Boulevards
2020-03-01,14.7,Gresivaudan Periurbain
2020-04-01,15.6,Gresivaudan Periurbain
2020-05-01,10.6,Gresivaudan Periurbain
2020-06-01,9,Gresivaudan Periurbain
2020-07-01,13.1,Gresivaudan Periurbain
2020-08-01,10.9,Gresivaudan Periurbain
2020-09-01,13.3,Gresivaudan Periurbain
2020-10-01,12.3,Gresivaudan Periurbain
2020-11-01,23.4,Gresivaudan Periurbain
2020-12-01,22.2,Gresivaudan Periurbain
2021-01-01,22.6,Gresivaudan Periurbain
2021-02-01,33.9,Gresivaudan Periurbain
2021-03-01,20,Gresivaudan Periurbain
2021-04-01,13.9,Gresivaudan Periurbain
2021-05-01,8,Gresivaudan Periurbain
2021-06-01,17.4,Gresivaudan Periurbain
2021-07-01,14.5,Gresivaudan Periurbain
2021-08-01,12.2,Gresivaudan Periurbain
2021-09-01,12.9,Gresivaudan Periurbain
2021-10-01,11.7,Gresivaudan Periurbain
2021-11-01,21,Gresivaudan Periurbain
2021-12-01,20,Gresivaudan Periurbain
2022-01-01,26.3,Gresivaudan Periurbain
2022-02-01,14.1,Gresivaudan Periurbain
2022-03-01,25.8,Gresivaudan Periurbain
2022-04-01,11.9,Gresivaudan Periurbain
2022-05-01,14.7,Gresivaudan Periurbain
2022-06-01,19.1,Gresivaudan Periurbain
2022-07-01,16.1,Gresivaudan Periurbain
2022-08-01,13.4,Gresivaudan Periurbain
2022-09-01,10.3,Gresivaudan Periurbain
2022-10-01,17.2,Gresivaudan Periurbain
2022-11-01,16.5,Gresivaudan Periurbain
2022-12-01,22.6,Gresivaudan Periurbain
2023-01-01,24.3,Gresivaudan Periurbain
2023-02-01,28,Gresivaudan Periurbain
2020-03-01,,Rocade Sud Eybens
2020-04-01,,Rocade Sud Eybens
2020-05-01,,Rocade Sud Eybens
2020-06-01,,Rocade Sud Eybens
2020-07-01,,Rocade Sud Eybens
2020-08-01,,Rocade Sud Eybens
2020-09-01,,Rocade Sud Eybens
2020-10-01,,Rocade Sud Eybens
2020-11-01,,Rocade Sud Eybens
2020-12-01,,Rocade Sud Eybens
2021-01-01,26.1,Rocade Sud Eybens
2021-02-01,39.6,Rocade Sud Eybens
2021-03-01,28.3,Rocade Sud Eybens
2021-04-01,21.3,Rocade Sud Eybens
2021-05-01,17.1,Rocade Sud Eybens
2021-06-01,24.7,Rocade Sud Eybens
2021-07-01,19.4,Rocade Sud Eybens
2021-08-01,18.5,Rocade Sud Eybens
2021-09-01,19.3,Rocade Sud Eybens
2021-10-01,19.2,Rocade Sud Eybens
2021-11-01,23.3,Rocade Sud Eybens
2021-12-01,26.3,Rocade Sud Eybens
2022-01-01,39.1,Rocade Sud Eybens
2022-02-01,23.9,Rocade Sud Eybens
2022-03-01,33.6,Rocade Sud Eybens
2022-04-01,20.8,Rocade Sud Eybens
2022-05-01,26.6,Rocade Sud Eybens
2022-06-01,27,Rocade Sud Eybens
2022-07-01,23.6,Rocade Sud Eybens
2022-08-01,19.1,Rocade Sud Eybens
2022-09-01,16.1,Rocade Sud Eybens
2022-10-01,26,Rocade Sud Eybens
2022-11-01,23.1,Rocade Sud Eybens
2022-12-01,28.7,Rocade Sud Eybens
2023-01-01,28.9,Rocade Sud Eybens
2023-02-01,36.9,Rocade Sud Eybens
2020-03-01,16.9,Roussillon
2020-04-01,18.1,Roussillon
2020-05-01,12.8,Roussillon
2020-06-01,12.7,Roussillon
2020-07-01,16.7,Roussillon
2020-08-01,15,Roussillon
2020-09-01,17.8,Roussillon
2020-10-01,16,Roussillon
2020-11-01,27.9,Roussillon
2020-12-01,16.2,Roussillon
2021-01-01,,Roussillon
2021-02-01,,Roussillon
2021-03-01,,Roussillon
2021-04-01,,Roussillon
2021-05-01,,Roussillon
2021-06-01,18.9,Roussillon
2021-07-01,,Roussillon
2021-08-01,17.6,Roussillon
2021-09-01,20.2,Roussillon
2021-10-01,20.1,Roussillon
2021-11-01,,Roussillon
2021-12-01,21.3,Roussillon
2022-01-01,29.3,Roussillon
2022-02-01,18.9,Roussillon
2022-03-01,26.8,Roussillon
2022-04-01,15.6,Roussillon
2022-05-01,,Roussillon
2022-06-01,21,Roussillon
2022-07-01,15.1,Roussillon
2022-08-01,13.1,Roussillon
2022-09-01,9.8,Roussillon
2022-10-01,17.2,Roussillon
2022-11-01,13.9,Roussillon
2022-12-01,16.4,Roussillon
2023-01-01,15.8,Roussillon
2023-02-01,24,Roussillon
2020-03-01,14.9,Bourgoin-Jallieu
2020-04-01,16.2,Bourgoin-Jallieu
2020-05-01,11.4,Bourgoin-Jallieu
2020-06-01,9.5,Bourgoin-Jallieu
2020-07-01,12.5,Bourgoin-Jallieu
2020-08-01,11.5,Bourgoin-Jallieu
2020-09-01,13.2,Bourgoin-Jallieu
2020-10-01,11,Bourgoin-Jallieu
2020-11-01,19.5,Bourgoin-Jallieu
2020-12-01,10.7,Bourgoin-Jallieu
2021-01-01,14.2,Bourgoin-Jallieu
2021-02-01,20.9,Bourgoin-Jallieu
2021-03-01,15.9,Bourgoin-Jallieu
2021-04-01,12.1,Bourgoin-Jallieu
2021-05-01,7.8,Bourgoin-Jallieu
2021-06-01,14.2,Bourgoin-Jallieu
2021-07-01,12.5,Bourgoin-Jallieu
2021-08-01,11.6,Bourgoin-Jallieu
2021-09-01,12.7,Bourgoin-Jallieu
2021-10-01,12.9,Bourgoin-Jallieu
2021-11-01,13.2,Bourgoin-Jallieu
2021-12-01,13.8,Bourgoin-Jallieu
2022-01-01,21.3,Bourgoin-Jallieu
2022-02-01,13.5,Bourgoin-Jallieu
2022-03-01,21.7,Bourgoin-Jallieu
2022-04-01,11.4,Bourgoin-Jallieu
2022-05-01,14.8,Bourgoin-Jallieu
2022-06-01,,Bourgoin-Jallieu
2022-07-01,14.8,Bourgoin-Jallieu
2022-08-01,13.9,Bourgoin-Jallieu
2022-09-01,12.2,Bourgoin-Jallieu
2022-10-01,21.2,Bourgoin-Jallieu
2022-11-01,11.4,Bourgoin-Jallieu
2022-12-01,15.4,Bourgoin-Jallieu
2023-01-01,13.1,Bourgoin-Jallieu
2023-02-01,21.1,Bourgoin-Jallieu
2020-02-07,,Plateau de Bonnevaux
2023-02-06,,Plateau de Bonnevaux
2020-03-01,17.2,A7 Salaise Ouest
2020-04-01,16.7,A7 Salaise Ouest
2020-05-01,9.8,A7 Salaise Ouest
2020-06-01,10.1,A7 Salaise Ouest
2020-07-01,15.8,A7 Salaise Ouest
2020-08-01,11.7,A7 Salaise Ouest
2020-09-01,12.6,A7 Salaise Ouest
2020-10-01,12.2,A7 Salaise Ouest
2020-11-01,22.2,A7 Salaise Ouest
2020-12-01,12.9,A7 Salaise Ouest
2021-01-01,20,A7 Salaise Ouest
2021-02-01,23.6,A7 Salaise Ouest
2021-03-01,16.5,A7 Salaise Ouest
2021-04-01,15.3,A7 Salaise Ouest
2021-05-01,8.6,A7 Salaise Ouest
2021-06-01,14.5,A7 Salaise Ouest
2021-07-01,12.5,A7 Salaise Ouest
2021-08-01,11.4,A7 Salaise Ouest
2021-09-01,12.1,A7 Salaise Ouest
2021-10-01,13.4,A7 Salaise Ouest
2021-11-01,15.2,A7 Salaise Ouest
2021-12-01,14.9,A7 Salaise Ouest
2022-01-01,22.3,A7 Salaise Ouest
2022-02-01,14.7,A7 Salaise Ouest
2022-03-01,23.5,A7 Salaise Ouest
2022-04-01,14.4,A7 Salaise Ouest
2022-05-01,19.4,A7 Salaise Ouest
2022-06-01,18.2,A7 Salaise Ouest
2022-07-01,17.3,A7 Salaise Ouest
2022-08-01,13.9,A7 Salaise Ouest
2022-09-01,11.5,A7 Salaise Ouest
2022-10-01,21.5,A7 Salaise Ouest
2022-11-01,13.6,A7 Salaise Ouest
2022-12-01,17.6,A7 Salaise Ouest
2023-01-01,17.5,A7 Salaise Ouest
2023-02-01,26.6,A7 Salaise Ouest
2020-02-07,,Creys-Mépieu
2023-02-06,,Creys-Mépieu
