Date,particules PM10  (µg/m³),Station
2020-02-07,,INSPIRA-MaisonProjet
2023-02-06,,INSPIRA-MaisonProjet
2020-03-01,13.8,Voiron Urbain
2020-04-01,14,Voiron Urbain
2020-05-01,7.8,Voiron Urbain
2020-06-01,8.1,Voiron Urbain
2020-07-01,12.8,Voiron Urbain
2020-08-01,11.9,Voiron Urbain
2020-09-01,13.4,Voiron Urbain
2020-10-01,11.3,Voiron Urbain
2020-11-01,19.9,Voiron Urbain
2020-12-01,14,Voiron Urbain
2021-01-01,14.8,Voiron Urbain
2021-02-01,24,Voiron Urbain
2021-03-01,16.5,Voiron Urbain
2021-04-01,13.4,Voiron Urbain
2021-05-01,6.5,Voiron Urbain
2021-06-01,12.4,Voiron Urbain
2021-07-01,11.3,Voiron Urbain
2021-08-01,11.3,Voiron Urbain
2021-09-01,12,Voiron Urbain
2021-10-01,13.5,Voiron Urbain
2021-11-01,16.3,Voiron Urbain
2021-12-01,16.3,Voiron Urbain
2022-01-01,20.1,Voiron Urbain
2022-02-01,12.8,Voiron Urbain
2022-03-01,23.7,Voiron Urbain
2022-04-01,11.2,Voiron Urbain
2022-05-01,14.3,Voiron Urbain
2022-06-01,15.6,Voiron Urbain
2022-07-01,,Voiron Urbain
2022-08-01,13.6,Voiron Urbain
2022-09-01,10.4,Voiron Urbain
2022-10-01,17.6,Voiron Urbain
2022-11-01,12.3,Voiron Urbain
2022-12-01,15.3,Voiron Urbain
2023-01-01,14.1,Voiron Urbain
2023-02-01,17.5,Voiron Urbain
2020-03-01,17.2,St-Martin-d'Hères
2020-04-01,16.2,St-Martin-d'Hères
2020-05-01,11.5,St-Martin-d'Hères
2020-06-01,,St-Martin-d'Hères
2020-07-01,13.7,St-Martin-d'Hères
2020-08-01,12.2,St-Martin-d'Hères
2020-09-01,13.7,St-Martin-d'Hères
2020-10-01,12.5,St-Martin-d'Hères
2020-11-01,24.3,St-Martin-d'Hères
2020-12-01,16.4,St-Martin-d'Hères
2021-01-01,17.4,St-Martin-d'Hères
2021-02-01,31.6,St-Martin-d'Hères
2021-03-01,20.3,St-Martin-d'Hères
2021-04-01,14.8,St-Martin-d'Hères
2021-05-01,,St-Martin-d'Hères
2021-06-01,16.7,St-Martin-d'Hères
2021-07-01,13.3,St-Martin-d'Hères
2021-08-01,14.5,St-Martin-d'Hères
2021-09-01,15.3,St-Martin-d'Hères
2021-10-01,14.1,St-Martin-d'Hères
2021-11-01,19.7,St-Martin-d'Hères
2021-12-01,21.4,St-Martin-d'Hères
2022-01-01,35.5,St-Martin-d'Hères
2022-02-01,17.8,St-Martin-d'Hères
2022-03-01,32,St-Martin-d'Hères
2022-04-01,14.9,St-Martin-d'Hères
2022-05-01,17.8,St-Martin-d'Hères
2022-06-01,21.9,St-Martin-d'Hères
2022-07-01,18.8,St-Martin-d'Hères
2022-08-01,15.8,St-Martin-d'Hères
2022-09-01,11.7,St-Martin-d'Hères
2022-10-01,22.5,St-Martin-d'Hères
2022-11-01,15.3,St-Martin-d'Hères
2022-12-01,20,St-Martin-d'Hères
2023-01-01,20.5,St-Martin-d'Hères
2023-02-01,30.4,St-Martin-d'Hères
2020-03-01,17.9,Grenoble les Frênes
2020-04-01,18.2,Grenoble les Frênes
2020-05-01,13.9,Grenoble les Frênes
2020-06-01,12.8,Grenoble les Frênes
2020-07-01,17.4,Grenoble les Frênes
2020-08-01,15.9,Grenoble les Frênes
2020-09-01,13,Grenoble les Frênes
2020-10-01,10.8,Grenoble les Frênes
2020-11-01,19.5,Grenoble les Frênes
2020-12-01,13.9,Grenoble les Frênes
2021-01-01,15.4,Grenoble les Frênes
2021-02-01,27.3,Grenoble les Frênes
2021-03-01,18.1,Grenoble les Frênes
2021-04-01,13.3,Grenoble les Frênes
2021-05-01,7.5,Grenoble les Frênes
2021-06-01,15.7,Grenoble les Frênes
2021-07-01,12.5,Grenoble les Frênes
2021-08-01,12.3,Grenoble les Frênes
2021-09-01,,Grenoble les Frênes
2021-10-01,12.1,Grenoble les Frênes
2021-11-01,16.7,Grenoble les Frênes
2021-12-01,20,Grenoble les Frênes
2022-01-01,27.5,Grenoble les Frênes
2022-02-01,14.4,Grenoble les Frênes
2022-03-01,28.2,Grenoble les Frênes
2022-04-01,13.9,Grenoble les Frênes
2022-05-01,17,Grenoble les Frênes
2022-06-01,19.4,Grenoble les Frênes
